Year,RCDTS,Total_Enrolled,PBE_total,PME_total
2012,10010010260001,220,0,0
2012,10010010262002,295,0,1
2012,10010020260001,195,0,0
2012,10010020262002,457,2,0
2012,10010030260001,270,2,0
2012,10010030261001,268,3,0
2012,10010030262003,282,2,0
2012,10010030262008,117,0,0
2012,10010040260001,217,0,0
2012,10010040261001,249,0,0
2012,10010040262004,142,0,0
2012,10010040262006,98,0,0
2012,10011720220003,1419,5,16
2012,10011720221003,1457,9,8
2012,10011720222004,400,4,0
2012,10011720222006,248,0,0
2012,10011720222007,329,1,0
2012,10011720222008,209,0,0
2012,10011720222009,395,4,2
2012,10011720222016,268,5,0
2012,10011720222017,279,0,0
2012,10011720222019,1460,3,13
2012,10011720223004,519,1,0
2012,10011720223005,9,0,0
2012,10750030260002,107,0,0
2012,10750030262001,202,0,0
2012,10750040260002,98,0,0
2012,10750040261002,144,0,0
2012,10750040262001,171,0,0
2012,10750100260009,356,4,0
2012,10750100262007,397,0,1
2012,10750100262010,587,2,0
2012,10750120260001,171,0,0
2012,10750120261001,190,0,0
2012,10750120262001,285,0,0
2012,20020010220001,175,0,0
2012,20020010222004,357,0,0
2012,20020050260001,128,1,0
2012,20020050261001,121,0,0
2012,20020050262002,317,1,0
2012,20440010260001,182,0,0
2012,20440010262001,442,0,0
2012,20440320032003,261,0,0
2012,20440430032001,69,0,0
2012,20440550022001,427,1,2
2012,20440640022001,137,0,0
2012,20441330170001,330,3,0
2012,20610010260001,655,2,0
2012,20610010261001,297,0,0
2012,20610010262001,180,0,0
2012,20610010262002,194,0,0
2012,20610010262003,555,1,0
2012,20610010262006,152,0,0
2012,20610010262010,168,0,0
2012,20610380260001,109,0,0
2012,20610380262001,187,3,0
2012,20771000260001,224,15,0
2012,20771000262004,196,20,0
2012,20771010260001,146,0,0
2012,20771010262005,448,3,0
2012,20910160042001,126,0,0
2012,20910170220001,160,1,0
2012,20910170221001,128,0,0
2012,20910170222002,315,0,0
2012,20910370041001,295,1,0
2012,20910370042002,161,0,0
2012,20910370042003,282,2,0
2012,20910430042001,428,0,0
2012,20910660220001,76,0,0
2012,20910660221001,35,0,0
2012,20910660222001,133,0,0
2012,20910840260001,126,0,0
2012,20910840261002,127,0,0
2012,20910840262004,67,0,0
2012,20910840262005,69,0,0
2012,30030010260001,130,2,0
2012,30030010261001,51,0,1
2012,30030010262001,264,0,0
2012,30030020260001,572,7,0
2012,30030020261002,308,2,0
2012,30030020262003,703,8,1
2012,30030020262004,236,2,0
2012,30030020262005,186,2,0
2012,30250100260001,256,0,0
2012,30250100262002,510,0,1
2012,30250200260001,191,0,0
2012,30250200262003,176,0,1
2012,30250300260001,203,2,0
2012,30250300262002,252,3,0
2012,30250400260001,832,3,0
2012,30250400261001,576,0,0
2012,30250400262002,647,5,0
2012,30250400262004,68,0,0
2012,30250400262006,215,1,0
2012,30250400262008,367,2,0
2012,30250500260001,362,7,0
2012,30250500261001,165,0,0
2012,30250500262002,544,2,0
2012,30262010261001,161,0,0
2012,30262010262001,217,0,0
2012,30262020260002,143,0,0
2012,30262020261001,74,0,0
2012,30262020262001,277,2,1
2012,30262030260001,463,0,0
2012,30262030261002,484,0,0
2012,30262030262004,276,0,1
2012,30262030262008,333,0,0
2012,30262040260002,144,1,0
2012,30262040262001,349,0,0
2012,40041000260001,1200,0,0
2012,40041000260002,1455,8,3
2012,40041000260003,47,0,0
2012,40041000261002,927,1,0
2012,40041000261003,1066,1,0
2012,40041000262003,484,1,1
2012,40041000262004,301,1,0
2012,40041000262005,634,6,1
2012,40041000262007,294,2,0
2012,40041000262008,781,0,0
2012,40041000262009,587,0,0
2012,40041000262010,713,6,4
2012,40042000260003,530,6,0
2012,40042000261001,281,2,0
2012,40042000262001,204,1,0
2012,40042000262002,132,5,1
2012,40042000262004,310,1,0
2012,40042000262005,272,3,0
2012,41011220220002,2327,0,0
2012,41011220221005,1123,0,0
2012,41011220222005,331,1,0
2012,41011220222006,311,0,0
2012,41011220222007,341,4,0
2012,41011220222008,354,1,0
2012,41011220222010,398,3,2
2012,41011220222011,441,3,0
2012,41011220222013,440,0,0
2012,41011220222014,465,3,0
2012,41011220222015,595,2,1
2012,41011310041002,731,10,1
2012,41011310042001,435,3,1
2012,41011310042002,436,3,2
2012,41011310042003,388,5,0
2012,41011330041001,366,4,1
2012,41011330042001,391,8,1
2012,41011340042001,130,0,0
2012,41011400041001,559,2,0
2012,41011400042001,485,9,0
2012,41011400042002,488,1,1
2012,41012050250001,1842,4,2
2012,41012050250002,1769,7,9
2012,41012050250003,1762,5,0
2012,41012050250004,1796,3,0
2012,41012050251001,792,0,0
2012,41012050251006,864,2,0
2012,41012050251008,1021,5,1
2012,41012050251009,742,2,1
2012,41012050251010,707,0,0
2012,41012050252014,658,0,0
2012,41012050252016,212,0,0
2012,41012050252017,395,3,0
2012,41012050252018,474,2,2
2012,41012050252019,372,5,0
2012,41012050252020,217,0,0
2012,41012050252022,440,0,0
2012,41012050252024,461,0,0
2012,41012050252027,435,1,0
2012,41012050252029,342,2,0
2012,41012050252034,302,1,0
2012,41012050252037,462,0,0
2012,41012050252039,425,4,0
2012,41012050252040,327,0,0
2012,41012050252041,415,0,0
2012,41012050252043,438,0,0
2012,41012050252046,396,1,0
2012,41012050252047,507,0,0
2012,41012050252051,581,3,0
2012,41012050252054,715,2,1
2012,41012050252056,426,2,0
2012,41012050252059,329,4,0
2012,41012050252062,422,0,2
2012,41012050252063,330,0,0
2012,41012050252064,380,4,0
2012,41012050252066,347,1,0
2012,41012050252067,317,4,1
2012,41012050252078,493,5,0
2012,41012050252080,257,0,0
2012,41012050252082,498,0,0
2012,41012050252084,557,0,0
2012,41012050252085,274,5,0
2012,41012050252086,1110,1,1
2012,41012050252087,550,6,0
2012,41012050253001,383,0,0
2012,41012050253069,40,0,2
2012,41012050253073,634,7,2
2012,41012050253075,352,0,0
2012,41012050253078,617,0,0
2012,41012070160001,2099,9,0
2012,41013200260001,268,1,0
2012,41013200261002,176,1,0
2012,41013200262003,236,3,1
2012,41013200262004,233,2,2
2012,41013200262005,146,1,0
2012,41013210260001,314,1,0
2012,41013210261001,270,0,0
2012,41013210262002,356,2,0
2012,41013220260001,232,0,0
2012,41013220261001,85,1,0
2012,41013220262001,322,6,0
2012,41013230260001,570,1,0
2012,41013230261002,342,1,1
2012,41013230262003,315,8,0
2012,41013230262005,321,5,0
2012,50160150041011,801,4,3
2012,50160150041014,577,3,0
2012,50160150041016,767,1,1
2012,50160150041018,723,8,2
2012,50160150042001,750,1,2
2012,50160150042003,575,1,0
2012,50160150042004,552,5,1
2012,50160150042005,555,2,0
2012,50160150042006,710,7,0
2012,50160150042007,814,3,0
2012,50160150042008,845,1,0
2012,50160150042009,803,9,0
2012,50160150042010,571,4,0
2012,50160150042013,533,8,0
2012,50160150042015,824,2,2
2012,50160150042018,511,5,2
2012,50160150042019,446,3,0
2012,50160150042020,561,4,1
2012,50160150042023,624,2,1
2012,50160150043001,400,3,0
2012,50160210041002,680,3,1
2012,50160210041006,772,0,0
2012,50160210041007,699,1,2
2012,50160210042003,584,0,0
2012,50160210042004,585,4,0
2012,50160210042007,478,2,1
2012,50160210042009,423,1,2
2012,50160210042010,405,4,0
2012,50160210042011,348,0,0
2012,50160210042013,484,1,1
2012,50160210042014,470,0,0
2012,50160210042015,564,0,0
2012,50160210043001,541,2,0
2012,50160230021002,506,0,2
2012,50160230022001,360,6,2
2012,50160230022004,344,2,0
2012,50160230022005,311,1,1
2012,50160250021014,902,10,1
2012,50160250021015,902,7,0
2012,50160250022002,496,1,1
2012,50160250022004,385,5,3
2012,50160250022005,490,6,0
2012,50160250022009,567,6,1
2012,50160250022011,450,9,1
2012,50160250022016,625,2,1
2012,50160250022018,461,1,0
2012,50160260021006,471,0,0
2012,50160260022001,444,0,0
2012,50160260022003,441,6,1
2012,50160270021005,411,0,0
2012,50160270022002,375,3,1
2012,50160270022004,392,1,0
2012,50160280021004,617,1,0
2012,50160280022002,386,5,1
2012,50160280022003,416,6,1
2012,50160280022006,301,4,0
2012,50160290022001,189,1,0
2012,50160290022002,304,0,1
2012,50160300021001,414,0,0
2012,50160300022002,334,2,0
2012,50160300022003,372,5,2
2012,50160310021001,330,6,0
2012,50160310022002,524,3,2
2012,50160340041006,834,4,0
2012,50160340041007,815,0,3
2012,50160340042001,541,2,1
2012,50160340042002,537,3,1
2012,50160340042003,588,5,0
2012,50160340042004,466,1,0
2012,50160340042005,511,0,0
2012,50160340042008,526,1,4
2012,50160350021001,641,9,0
2012,50160350022001,276,10,5
2012,50160350022002,350,2,1
2012,50160360021005,467,2,1
2012,50160360022001,348,6,0
2012,50160360022002,297,4,0
2012,50160360022003,292,1,0
2012,50160360022004,446,0,0
2012,50160370021001,271,0,1
2012,50160370022003,426,4,1
2012,50160380022001,559,4,2
2012,50160390021008,828,0,0
2012,50160390022002,504,0,4
2012,50160390022003,368,0,0
2012,50160390022005,561,5,1
2012,50160390022006,553,2,0
2012,50160390022007,876,1,2
2012,50160540041001,711,1,6
2012,50160540041012,593,2,3
2012,50160540041018,597,4,5
2012,50160540041019,653,5,1
2012,50160540041020,599,3,2
2012,50160540042002,665,4,5
2012,50160540042003,553,1,1
2012,50160540042005,480,2,2
2012,50160540042006,431,1,1
2012,50160540042007,623,4,3
2012,50160540042008,425,7,4
2012,50160540042009,389,5,0
2012,50160540042010,595,3,1
2012,50160540042011,420,5,4
2012,50160540042013,449,0,1
2012,50160540042015,414,7,4
2012,50160540042018,546,4,0
2012,50160540042019,420,4,0
2012,50160540042022,497,0,1
2012,50160540042023,598,8,1
2012,50160540042026,504,5,3
2012,50160540042027,660,3,2
2012,50160540042028,436,1,0
2012,50160540042029,563,0,1
2012,50160540042030,499,7,0
2012,50160540042031,474,4,2
2012,50160540042032,370,6,3
2012,50160570021004,712,1,2
2012,50160570022002,441,4,0
2012,50160570022005,458,3,0
2012,50160570022008,533,8,0
2012,50160590041010,850,2,0
2012,50160590041012,551,0,0
2012,50160590041016,736,1,0
2012,50160590042001,450,1,2
2012,50160590042002,332,0,1
2012,50160590042003,381,3,0
2012,50160590042006,420,0,0
2012,50160590042008,448,1,3
2012,50160590042009,498,0,0
2012,50160590042014,394,0,0
2012,50160590042016,474,2,1
2012,50160590042018,474,3,0
2012,50160590042019,403,0,0
2012,50160590042020,356,2,1
2012,50160620041001,647,1,0
2012,50160620041003,670,2,1
2012,50160620042001,475,2,1
2012,50160620042002,312,4,0
2012,50160620042004,273,2,1
2012,50160620042005,679,0,1
2012,50160620042008,555,2,1
2012,50160620042009,348,0,0
2012,50160620042010,332,0,0
2012,50160620042011,239,0,0
2012,50160620042012,286,4,1
2012,50160630021003,765,2,0
2012,50160630022006,622,0,0
2012,50160630022008,471,0,0
2012,50160630022009,386,1,0
2012,50160630022010,385,2,0
2012,50160630022011,425,4,1
2012,50160630022012,605,3,3
2012,50160640041006,797,4,0
2012,50160640041007,724,8,0
2012,50160640042001,414,7,0
2012,50160640042004,644,17,1
2012,50160640042005,454,0,0
2012,50160640042011,669,7,1
2012,50160640042012,601,5,2
2012,50160640043001,45,0,1
2012,50160650041002,562,11,3
2012,50160650041007,751,7,4
2012,50160650041012,550,8,1
2012,50160650042004,369,6,4
2012,50160650042005,491,7,4
2012,50160650042009,474,3,0
2012,50160650042010,409,0,0
2012,50160650042014,416,7,1
2012,50160650042015,376,9,0
2012,50160650042019,336,4,2
2012,50160650042020,497,10,6
2012,50160650042021,519,4,0
2012,50160650042022,570,6,2
2012,50160650042023,389,2,4
2012,50160650042024,361,8,0
2012,50160650043017,25,0,0
2012,50160650043020,204,1,0
2012,50160670021002,240,0,0
2012,50160670022003,341,4,0
2012,50160680021002,613,2,0
2012,50160680022001,393,3,0
2012,50160680022004,376,1,0
2012,50160680022005,351,0,0
2012,50160690021003,573,1,0
2012,50160690022001,555,3,0
2012,50160690022004,606,3,1
2012,50160700022003,878,2,1
2012,50160710022001,497,1,0
2012,50160720022002,647,5,3
2012,50160730022001,579,2,0
2012,50160735021003,334,5,0
2012,50160735022002,550,3,0
2012,50160735022003,170,0,0
2012,50160740021001,425,1,0
2012,50160740022003,395,0,0
2012,50160740022004,430,2,0
2012,50162020170001,3172,39,1
2012,50162030170001,3202,19,6
2012,50162030170002,1025,7,2
2012,50162070170001,1927,2,1
2012,50162070170003,2503,16,1
2012,50162070170004,2201,1,0
2012,50162070173002,27,0,0
2012,50162110170001,2378,23,14
2012,50162110170002,2787,13,13
2012,50162110170003,2723,4,2
2012,50162110170004,2382,10,8
2012,50162110170006,1971,8,9
2012,50162110173001,42,0,0
2012,50162110173002,36,0,0
2012,50162140170002,1996,6,3
2012,50162140170004,2090,11,0
2012,50162140170005,2106,11,9
2012,50162140170006,1787,3,13
2012,50162140170007,1843,6,9
2012,50162140170008,2053,4,12
2012,50162140173001,76,0,0
2012,50162140173004,64,0,0
2012,50162140173005,86,0,0
2012,50162140173006,18,0,0
2012,50162190170002,2277,7,0
2012,50162190170003,2688,6,2
2012,50162250170001,2090,8,6
2012,50162250170002,2687,9,0
2012,50162250173001,33,0,0
2012,60160780022001,275,0,0
2012,60160790022001,412,6,1
2012,60160800022001,543,4,0
2012,60160800022002,473,2,1
2012,60160810021001,354,0,0
2012,60160810022001,712,0,0
2012,60160810022003,291,0,0
2012,60160830021003,841,0,0
2012,60160830022004,641,2,0
2012,60160830022005,655,2,0
2012,60160830023001,23,0,0
2012,60160840021002,447,0,1
2012,60160840022003,258,2,1
2012,60160840022004,260,1,0
2012,60160840022005,376,0,1
2012,60160845022001,672,0,0
2012,60160855022001,612,0,0
2012,60160860022001,594,2,1
2012,60160870021005,515,0,0
2012,60160870021006,444,0,0
2012,60160870022003,363,2,0
2012,60160870022007,453,0,0
2012,60160870022008,484,1,0
2012,60160870022010,569,0,0
2012,60160880021007,512,0,0
2012,60160880022001,517,0,0
2012,60160880022003,531,0,0
2012,60160880022005,431,0,0
2012,60160880022006,327,0,0
2012,60160880022009,154,0,0
2012,60160880023003,285,0,0
2012,60160890022001,470,0,0
2012,60160890022002,367,1,1
2012,60160890022003,400,0,0
2012,60160890022004,422,0,1
2012,60160890022005,290,0,0
2012,60160890022006,722,0,0
2012,60160890022007,919,0,0
2012,60160890022008,364,0,0
2012,60160890022010,999,3,0
2012,60160890022012,352,0,0
2012,60160900021002,624,3,1
2012,60160900022001,388,3,1
2012,60160900022005,322,5,0
2012,60160910021001,269,0,0
2012,60160910022001,143,0,0
2012,60160910022003,168,1,0
2012,60160910022004,158,0,0
2012,60160910022005,115,0,0
2012,60160920022001,489,0,1
2012,60160925021001,388,0,0
2012,60160925022002,412,1,0
2012,60160925022003,446,3,1
2012,60160930022001,514,0,1
2012,60160940022001,522,1,0
2012,60160950021001,398,3,0
2012,60160950022002,696,6,4
2012,60160960021004,570,6,0
