Year,RCDTS,Enrollment,PBE,PME
2007-2008,10010030262008,140,1,0
2007-2008,10011720222011,173,1,1
2007-2008,10011720222008,187,1,1
2007-2008,10011720222006,224,1,0
2007-2008,10010010260001,266,1,0
2007-2008,10010030261001,266,1,0
2007-2008,10011720222016,272,1,1
2007-2008,10011720222004,277,1,0
2007-2008,10011720222009,373,1,0
2007-2008,10010020262002,468,1,1
2007-2008,10011720223004,641,1,5
2007-2008,10011720222017,215,2,1
2007-2008,10011720222019,1354,3,20
2007-2008,10011720221003,1512,3,9
2007-2008,10011720220003,1625,3,2
2007-2008,10011720223005,15,0,0
2007-2008,10010040262005,113,0,0
2007-2008,10010040262004,119,0,0
2007-2008,10010040262006,134,0,0
2007-2008,10010020260001,178,0,0
2007-2008,10010040260001,203,0,0
2007-2008,10010040261001,207,0,0
2007-2008,10010030262003,243,0,0
2007-2008,10011720222007,292,0,2
2007-2008,10010010262002,296,0,1
2007-2008,10010030260001,325,0,0
2007-2008,01001006X100000,329,2,0
2007-2008,01001009X100000,408,0,0
2007-2008,01001012Y100000,461,4,0
2007-2008,01001002X060000,148,0,0
2007-2008,01001005X100000,185,0,1
2007-2008,01001025Z260000,45,2,0
2007-2008,Adams County Total,11694,30,45
2007-2008,20020050261001,128,1,0
2007-2008,20020050260001,197,2,0
2007-2008,20020050262002,293,6,0
2007-2008,20020010222003,149,0,0
2007-2008,20020010222004,239,0,0
2007-2008,20020010220001,256,0,0
2007-2008,02002004Y140000,23,0,0
2007-2008,02002002Z250000,10,0,0
2007-2008,Alexander County Total,1295,9,0
2007-2008,30030010262001,255,1,0
2007-2008,30030020260001,588,0,1
2007-2008,30030020262003,578,5,0
2007-2008,30030010261001,71,0,0
2007-2008,30030010260001,126,0,0
2007-2008,30030020262005,154,0,1
2007-2008,30030020262004,199,0,0
2007-2008,30030020261002,314,0,1
2007-2008,Bond County Total,2285,6,3
2007-2008,40042000262004,214,1,0
2007-2008,40042000261001,251,1,0
2007-2008,40042000262001,252,1,0
2007-2008,40042000262005,267,1,0
2007-2008,40041000262005,690,1,1
2007-2008,40041000262009,665,2,0
2007-2008,40041000260001,1351,2,1
2007-2008,40041000262007,293,3,0
2007-2008,40042000260003,503,3,0
2007-2008,40041000260002,1287,4,0
2007-2008,40042000262002,244,4,0
2007-2008,40041000261003,1159,4,0
2007-2008,40041000262010,716,5,1
2007-2008,40041000262004,244,0,0
2007-2008,40041000262003,647,0,4
2007-2008,40041000261002,966,0,0
2007-2008,40041000262008,1043,0,0
2007-2008,04004002X100000,187,0,0
2007-2008,04004001X060000,331,0,0
2007-2008,Boone County Total,11310,32,7
2007-2008,460050010261002,213,0,0
2007-2008,460050010260001,285,0,0
2007-2008,460050010262002,308,0,0
2007-2008,46005001X100000,70,2,0
2007-2008,Brown County Total,876,2,0
2007-2008,280063400262005,159,1,1
2007-2008,280061150022004,229,1,1
2007-2008,280061150022006,238,1,0
2007-2008,280065020170001,446,1,0
2007-2008,280065000150001,656,1,1
2007-2008,280063030262003,102,2,1
2007-2008,280063400260001,427,2,2
2007-2008,280060990042002,489,2,0
2007-2008,280061150021001,409,3,1
2007-2008,280063400261001,218,4,0
2007-2008,280061030222001,408,5,0
2007-2008,280061750042001,48,0,0
2007-2008,280065050160001,53,0,1
2007-2008,280060920022001,70,0,0
2007-2008,280060980022001,73,0,0
2007-2008,280060170042001,86,0,0
2007-2008,280063070242001,87,0,0
2007-2008,280061030220001,96,0,0
2007-2008,280060840042001,103,0,0
2007-2008,280063030260001,105,0,0
2007-2008,280063030262004,133,0,0
2007-2008,280061150023001,195,0,0
2007-2008,280060940042001,199,0,0
2007-2008,280060990042001,236,0,2
2007-2008,280061150022005,263,0,0
2007-2008,280063400262001,428,0,1
2007-2008,28006005X260000,60,6,1
2007-2008,28006003X100000,115,0,0
2007-2008,28006001Y100000,280,0,1
2007-2008,Bureau County Total,6411,29,13
2007-2008,400070400260001,196,0,0
2007-2008,400070420262001,85,0,0
2007-2008,400070420260001,89,0,0
2007-2008,400070400262001,364,0,0
2007-2008,40007002X100000,41,0,0
2007-2008,40007003X100000,69,0,0
2007-2008,Calhoun County Total,844,0,0
2007-2008,80083080262002,211,1,0
2007-2008,80083080260001,248,3,0
2007-2008,80083990262001,76,1,0
