Year ,RCDTS,Enrollment,PBE,PME
2008-2009,10010010262002,282,0,0
2008-2009,10010020260001,281,0,1
2008-2009,10010020262002,387,1,0
2008-2009,01001002X060000,140,0,0
2008-2009,10010030260001,331,0,0
2008-2009,10010030261001,277,1,0
2008-2009,10010030262003,242,0,0
2008-2009,10010030262008,138,0,1
2008-2009,10010040260001,202,0,0
2008-2009,10010040261001,224,0,0
2008-2009,10010040262004,121,0,0
2008-2009,10010040262005,109,0,0
2008-2009,10010040262006,140,0,0
2008-2009,01001005X100000,175,0,1
2008-2009,01001006X100000,314,2,0
2008-2009,01001007X100000,147,0,0
2008-2009,01001009X100000,408,0,10
2008-2009,01001012Y100000,436,3,0
2008-2009,01001025Z260000,55,3,0
2008-2009,10011720220003,"1,614",5,0
2008-2009,10011720221003,"1,487",4,12
2008-2009,10011720222004,346,2,4
2008-2009,10011720222006,228,2,1
2008-2009,10011720222007,313,0,3
2008-2009,10011720222008,229,1,1
2008-2009,10011720222009,354,1,0
2008-2009,10011720222016,274,0,5
2008-2009,10011720222017,267,0,1
2008-2009,10011720222019,"1,416",6,13
2008-2009,10011720223004,703,1,0
2008-2009,Adams County Total,"11,640",32,53
2008-2009,20020010220001,244,0,0
2008-2009,20020010222003,162,0,0
2008-2009,20020010222004,201,0,0
2008-2009,20020050260001,190,1,0
2008-2009,20020050261001,113,1,0
2008-2009,20020050262002,316,3,0
2008-2009,Alexander County Total,"1,226",5,0
2008-2009,30030010260001,129,0,0
2008-2009,30030010261001,67,1,0
2008-2009,30030010262001,271,1,0
2008-2009,30030020260001,593,0,1
2008-2009,30030020261002,319,0,0
2008-2009,30030020262003,565,1,2
2008-2009,30030020262004,199,0,1
2008-2009,30030020262005,155,0,0
2008-2009,Bond County Total,"2,298",3,4
2008-2009,04004001X060000,332,0,0
2008-2009,04004002X100000,183,1,0
2008-2009,40041000260001,"1,169",0,1
2008-2009,40041000260002,"1,524",6,1
2008-2009,40041000261002,954,1,1
2008-2009,40041000261003,"1,128",1,1
2008-2009,40041000262003,605,0,1
2008-2009,40041000262004,256,0,0
2008-2009,40041000262005,691,1,1
2008-2009,40041000262007,305,0,1
2008-2009,40041000262008,"1,143",6,0
2008-2009,40041000262009,647,3,0
2008-2009,40041000262010,706,2,0
2008-2009,40042000260003,514,3,0
2008-2009,40042000261001,279,3,0
2008-2009,40042000262001,204,1,0
2008-2009,40042000262002,197,5,0
2008-2009,40042000262004,300,2,0
2008-2009,40042000262005,249,1,0
2008-2009,Boone County Total,"11,386",36,7
2008-2009,460050010260001,276,0,0
2008-2009,460050010261002,208,0,0
2008-2009,460050010262002,323,0,0
2008-2009,46005001X100000,77,2,0
2008-2009,Brown County Total,884,2,0
2008-2009,28006001Y100000,303,2,1
2008-2009,28006003X100000,121,0,0
2008-2009,28006005X260000,67,4,3
2008-2009,280060170042001,87,0,0
2008-2009,280060840042001,106,1,1
2008-2009,280060920022001,70,0,0
2008-2009,280060940042001,199,0,0
2008-2009,280060980022001,62,0,0
2008-2009,280060990042001,256,0,0
2008-2009,280060990042002,500,2,1
2008-2009,280061030220001,90,0,0
2008-2009,280061030222001,409,0,0
2008-2009,280061150021001,387,3,0
2008-2009,280061150022004,239,1,0
2008-2009,280061150022005,266,1,1
2008-2009,280061150022006,234,1,1
2008-2009,280061150023001,179,1,1
2008-2009,280061750042001,52,0,0
2008-2009,280063030260001,88,0,0
2008-2009,280063030262003,91,3,1
2008-2009,280063030262004,118,0,0
2008-2009,280063070242001,84,0,0
2008-2009,280063400260001,403,3,0
2008-2009,280063400261001,233,3,0
2008-2009,280063400262001,403,0,0
2008-2009,280063400262005,186,0,3
2008-2009,280065000150001,673,1,2
2008-2009,280065020170001,442,0,0
2008-2009,280065050160001,51,0,1
2008-2009,Bureau County Total,"6,399",26,16
2008-2009,40007002X100000,40,0,0
2008-2009,40007003X100000,81,0,0
2008-2009,400070400260001,207,0,0
2008-2009,400070400262001,370,0,0
2008-2009,400070420260001,83,0,0
2008-2009,400070420262001,87,0,0
