Year,RCDTS,Enrollment,PME,PBE
2009-2010,140161630022008,234,1,0
2009-2010,540921180243104,19,0,0
2009-2010,140162180160007,1944,0,2
2009-2010,041012050252059,307,0,0
2009-2010,140160960022001,334,0,4
2009-2010,340491870262008,389,0,0
2009-2010,560990860052011,612,0,2
2009-2010,400560060262002,148,0,0
2009-2010,56099365U261003,792,0,0
2009-2010,34049080P003101,38,0,0
2009-2010,310450460221003,544,0,3
2009-2010,50082083P003101,25,0,0
2009-2010,14016994P003101,28,0,0
2009-2010,140160990022006,694,0,0
2009-2010,330482170260001,250,0,0
2009-2010,330482170261002,180,0,1
2009-2010,140160970022007,566,1,8
2009-2010,190220410022001,631,1,8
2009-2010,500821180022001,454,0,3
2009-2010,041012050251009,710,0,0
2009-2010,460092620262001,170,0,0
2009-2010,460092620260002,130,0,0
2009-2010,460092620261002,132,0,0
2009-2010,15016299025002C,322,0,0
2009-2010,14016302X100000,100,0,0
2009-2010,14016498X100000,18,0,0
2009-2010,041012050250005,60,0,0
2009-2010,34049025X100000,334,0,0
2009-2010,14016608X100000,170,0,0
2009-2010,14016271X100000,680,0,1
2009-2010,14016756X160000,128,0,0
2009-2010,15016299025009C,510,0,0
2009-2010,380540270022003,124,0,0
2009-2010,010011720222004,332,2,0
2009-2010,150162990252051,915,1,0
2009-2010,190220880160001,1819,0,3
2009-2010,340491250130001,4433,0,14
2009-2010,140160540042028,430,4,3
2009-2010,340490700022007,297,1,2
2009-2010,140160590042002,341,0,0
2009-2010,140160540042023,541,1,8
2009-2010,140160540043102,19,0,0
2009-2010,21100015Y260000,57,0,0
2009-2010,14016634X260000,5,0,0
2009-2010,150162990252052,400,0,4
2009-2010,150162990250848,126,0,0
2009-2010,14016210X050000,214,0,4
2009-2010,210280910042001,126,0,0
2009-2010,320460530022003,549,0,3
2009-2010,340491090021005,526,0,3
2009-2010,150162990252850,270,0,0
2009-2010,130140630022001,205,0,1
2009-2010,410570070262012,498,0,0
2009-2010,140160540042026,512,3,1
2009-2010,200240010262001,485,0,9
2009-2010,150162990252053,503,1,1
2009-2010,150162990250849,83,0,0
2009-2010,14016744X160000,137,0,3
2009-2010,440630190242001,216,0,1
