Year,RCDTS,Enrollment ,PBE,PME
2013-2014,460092620262001,206,0,0
2013-2014,460092620260002,124,0,0
2013-2014,460092620261002,150,0,0
2013-2014,190220040022011,371,2,0
2013-2014,190220040022002,530,0,0
2013-2014,190220040022003,499,2,0
2013-2014,190220040021009,1356,5,1
2013-2014,190220040022004,422,1,0
2013-2014,190220040022005,457,0,0
2013-2014,190220040022010,379,2,0
2013-2014,190220040022008,353,1,0
2013-2014,340491250130001,3850,9,0
2013-2014,210280910042001,95,0,0
2013-2014,130140630022001,186,4,17
2013-2014,440630190242001,237,4,0
2013-2014,440630190240002,126,1,0
2013-2014,440630190241001,87,1,0
2013-2014,200930170242001,166,0,0
2013-2014,070161260022001,318,0,0
2013-2014,070161260022002,278,0,1
2013-2014,070161260021005,354,2,0
2013-2014,070161260022004,643,2,0
2013-2014,030250100262002,510,2,0
2013-2014,030250100260001,277,0,0
2013-2014,410570110260001,2006,11,2
2013-2014,410570110261006,1436,6,0
2013-2014,410570110263004,261,0,0
2013-2014,410570110262029,547,4,0
2013-2014,410570110262007,300,0,0
2013-2014,410570110262010,315,0,0
2013-2014,410570110262015,300,2,0
2013-2014,410570110262024,296,1,1
2013-2014,410570110262030,543,4,1
2013-2014,410570110262028,540,1,0
2013-2014,280372250260001,202,0,0
2013-2014,280372250262003,188,0,0
2013-2014,470522720262003,265,0,0
2013-2014,470522720260001,234,1,0
2013-2014,470522720261002,220,0,0
2013-2014,020910370041001,302,0,0
2013-2014,020910370042002,177,0,0
2013-2014,020910370042003,244,2,1
2013-2014,020910810160001,463,3,0
2013-2014,280372260262002,291,2,0
2013-2014,280372260260001,132,1,0
2013-2014,340490340041002,999,3,0
2013-2014,340490340042006,709,8,0
2013-2014,340490340042004,474,4,0
2013-2014,340490340042005,480,4,0
2013-2014,340491020041002,461,3,0
2013-2014,340491020042002,512,1,3
2013-2014,340491020042005,496,4,0
2013-2014,340491020042003,639,5,0
2013-2014,070161450021001,623,2,0
2013-2014,070161450022002,239,0,0
2013-2014,070161450022004,308,0,0
2013-2014,070161450022003,303,0,0
2013-2014,110213060262002,480,2,0
2013-2014,110213060260001,308,2,0
2013-2014,390550010262002,499,1,0
2013-2014,390550010260001,309,1,0
2013-2014,390550010261001,229,0,0
2013-2014,070162170160001,1871,0,0
2013-2014,050160250022002,514,2,0
2013-2014,050160250022004,406,7,0
2013-2014,050160250022005,513,5,0
2013-2014,050160250022009,568,8,0
2013-2014,050160250022011,455,5,1
2013-2014,050160250021014,864,8,0
2013-2014,050160250021015,952,6,1
2013-2014,050160250022016,619,6,1
2013-2014,050160250022018,461,2,0
2013-2014,540922250170001,130,0,0
2013-2014,540920610032001,73,0,0
2013-2014,110213050262003,378,18,1
2013-2014,110213050261001,77,2,0
2013-2014,110213050260001,181,2,0
2013-2014,110213050262004,228,7,0
2013-2014,130950150042001,155,0,0
2013-2014,470522750260001,178,0,0
2013-2014,220290010262001,180,0,0
2013-2014,220290010260001,101,0,0
2013-2014,220290010261001,90,0,0
2013-2014,380652130261001,148,0,1
2013-2014,380652130260001,306,0,0
2013-2014,380652130262003,419,6,1
2013-2014,380652130262001,232,1,0
2013-2014,390740390262003,427,0,0
2013-2014,070161250021001,221,0,0
2013-2014,070161250022003,256,0,0
2013-2014,070161250022004,216,0,0
2013-2014,510840100262003,389,4,1
2013-2014,510840100260001,409,1,0
2013-2014,510840100261001,301,1,1
2013-2014,510840100262004,306,1,1
2013-2014,310451310221002,1020,0,0
2013-2014,310451310222011,383,0,0
2013-2014,310451310222005,883,0,1
2013-2014,310451310223002,150,0,0
2013-2014,310451310223001,195,0,0
2013-2014,310451310220001,3656,5,0
2013-2014,310451310222015,519,0,0
2013-2014,310451310222008,642,0,0
2013-2014,310451310221004,1019,0,0
2013-2014,310451310222009,749,2,0
2013-2014,310451310221003,911,0,0
2013-2014,310451310222007,534,0,0
2013-2014,310451310222014,505,0,0
2013-2014,310451310222010,861,0,0
2013-2014,310451310222013,732,0,0
2013-2014,310451310222004,810,1,0
2013-2014,310451310222012,326,0,0
2013-2014,310451310222006,372,1,0
2013-2014,310451290222017,677,10,0
2013-2014,310451290222005,593,6,0
2013-2014,310451290222006,419,4,1
2013-2014,310451290222007,679,0,0
2013-2014,310451290222008,638,0,0
2013-2014,310451290221006,712,1,0
2013-2014,310451290222009,603,1,0
2013-2014,310451290223017,188,2,0
2013-2014,310451290221003,755,0,0
2013-2014,310451290221005,747,1,0
2013-2014,310451290222011,650,1,0
2013-2014,310451290222012,357,2,0
2013-2014,310451290222014,544,8,0
2013-2014,310451290222015,509,0,0
2013-2014,310451290223020,369,2,0
2013-2014,310451290221004,756,0,0
2013-2014,310451290220001,3674,13,0
2013-2014,130140210022001,110,3,0
2013-2014,050160370022003,432,3,1
2013-2014,050160370021001,280,1,0
2013-2014,510840050262003,639,8,1
2013-2014,510840050262004,580,4,1
2013-2014,510840050262006,627,4,2
2013-2014,510840050260001,1396,4,0
2013-2014,510840050262005,686,0,7
2013-2014,510840050261002,715,5,1
2013-2014,340491060022001,176,2,0
2013-2014,340492200262007,449,12,0
2013-2014,340492200262009,494,6,3
2013-2014,340492200260004,3068,24,1
2013-2014,340492200261004,1137,12,1
2013-2014,340492200261003,1036,20,0
2013-2014,340492200262001,422,10,0
2013-2014,340492200263001,257,4,0
2013-2014,340492200262004,488,7,0
2013-2014,340492200262002,300,5,0
2013-2014,340492200262005,428,4,0
2013-2014,340492200262006,441,10,0
2013-2014,340492200262003,406,2,0
2013-2014,130140570022001,134,0,0
2013-2014,480720660022001,259,0,0
2013-2014,310451010222003,519,8,0
2013-2014,310451010220001,1974,13,1
2013-2014,310451010222009,455,2,1
2013-2014,310451010222007,457,6,0
2013-2014,310451010222010,413,5,0
2013-2014,310451010222005,489,8,0
2013-2014,310451010222006,429,4,0
2013-2014,310451010221002,1475,10,1
2013-2014,340490030041006,859,2,1
2013-2014,340490030042004,398,3,1
2013-2014,340490030042006,443,1,0
2013-2014,340490030042005,358,1,0
2013-2014,340490030042002,329,1,1
2013-2014,46009015026001C,35,0,0
2013-2014,460090150260007,769,1,0
2013-2014,460090150262002,121,0,0
2013-2014,460090150262003,552,1,1
2013-2014,460090150263002,144,0,0
2013-2014,030250200262003,140,0,0
2013-2014,030250200260001,193,0,0
2013-2014,56099200U262002,442,4,0
2013-2014,56099200U260001,373,4,0
2013-2014,56099200U261001,245,3,0
2013-2014,500821190022001,574,0,0
2013-2014,500821190021001,399,0,0
2013-2014,500821180022001,489,1,0
2013-2014,500821180021012,446,2,1
2013-2014,500821180022004,275,3,0
2013-2014,500821180022005,181,2,0
2013-2014,500821180022006,161,0,0
2013-2014,500821180022007,383,0,0
2013-2014,500821180022009,334,0,0
2013-2014,500821180022010,474,1,0
2013-2014,500821180022012,258,2,1
2013-2014,500821180021013,340,0,0
2013-2014,500821180022013,547,2,0
2013-2014,500822010170001,2476,4,2
2013-2014,500822010170002,2302,6,2
2013-2014,500822010173001,111,0,0
2013-2014,060160880023003,239,0,0
2013-2014,060160880022001,396,0,0
2013-2014,060160880022009,100,0,0
2013-2014,060160880022003,511,0,0
2013-2014,060160880022005,418,0,0
2013-2014,060160880021007,503,0,0
2013-2014,060160880022006,524,0,0
2013-2014,040041000261003,1040,1,0
2013-2014,040041000260001,1211,1,0
2013-2014,040041000260002,1415,6,0
2013-2014,040041000261002,873,0,0
2013-2014,040041000262003,469,4,0
2013-2014,040041000262005,575,3,2
2013-2014,040041000262009,665,3,0
2013-2014,040041000262007,276,2,1
2013-2014,040041000262010,747,2,6
2013-2014,040041000262008,912,2,0
2013-2014,390740050262001,166,0,0
2013-2014,390740050260001,112,0,0
2013-2014,390740050261001,100,0,0
2013-2014,190220250021001,321,4,0
2013-2014,190220250022002,393,16,1
2013-2014,190220020021001,693,1,0
2013-2014,190220020022005,678,0,2
2013-2014,190220020022006,802,2,1
2013-2014,210280470041002,451,0,0
2013-2014,210280470042001,751,6,0
2013-2014,210281030130001,566,0,2
2013-2014,060160870022007,420,0,0
2013-2014,060160870022003,408,2,0
2013-2014,060160870021005,501,0,0
2013-2014,060160870021006,401,0,0
2013-2014,060160870022008,477,0,0
2013-2014,060160870022010,636,0,0
2013-2014,060160980022003,671,0,0
2013-2014,060160980022002,675,0,0
2013-2014,060160980021004,1082,0,0
2013-2014,060160980022001,971,1,0
2013-2014,060161000022001,357,0,0
2013-2014,060161000021003,676,0,0
2013-2014,060161000021002,561,0,1
2013-2014,060161000022008,541,3,1
2013-2014,060161000022003,544,1,0
2013-2014,060161000022004,511,1,0
2013-2014,060161000022006,482,0,0
2013-2014,060161000022007,374,0,0
2013-2014,410570080262003,374,0,0
2013-2014,410570080260001,768,0,0
2013-2014,410570080262007,386,1,0
2013-2014,410570080262009,360,1,0
2013-2014,410570080263002,30,0,0
2013-2014,410570080261002,585,0,0
2013-2014,250410820022001,166,0,0
2013-2014,540920010262001,301,6,1
2013-2014,540920010260005,313,2,1
2013-2014,540920010261001,256,2,1
2013-2014,070162060170001,1645,0,0
2013-2014,070162060170002,1502,0,0
2013-2014,070162060173001,81,0,0
2013-2014,190220130022002,375,9,0
2013-2014,190220130022004,448,7,2
2013-2014,190220130021001,416,7,0
2013-2014,170640870252003,438,5,0
2013-2014,170640870250001,1406,5,0
2013-2014,170640870251002,1184,4,0
2013-2014,170640870252006,344,0,0
2013-2014,170640870252009,532,2,0
2013-2014,170640870253001,185,0,0
2013-2014,170640870252011,405,5,2
2013-2014,170640870252012,452,2,0
2013-2014,170640870252013,522,8,4
2013-2014,170200180260001,246,0,0
2013-2014,170200180262005,295,0,1
2013-2014,170200180262003,265,0,0
2013-2014,250411140042001,274,0,0
2013-2014,030030020260001,545,6,1
2013-2014,030030020262003,674,6,3
2013-2014,030030020261002,295,1,0
2013-2014,030030020262004,244,1,0
2013-2014,030030020262005,181,2,0
2013-2014,320460530022003,472,4,0
2013-2014,320460530021001,551,0,0
2013-2014,320460530022005,541,0,0
2013-2014,320460530022004,348,0,0
2013-2014,320460530022001,290,1,0
2013-2014,320460530022002,287,2,1
2013-2014,240320750022001,162,1,0
2013-2014,280880010262001,99,0,1
2013-2014,280880010261001,56,0,0
2013-2014,320463070160001,2058,5,0
2013-2014,320460610021001,500,0,0
2013-2014,320460610022002,667,7,2
2013-2014,320460610022003,484,1,1
2013-2014,130140120042002,184,1,0
2013-2014,130140120042001,436,1,0
2013-2014,070162280160001,1440,0,1
2013-2014,070162280160003,1157,0,0
2013-2014,070162280160004,1409,14,0
2013-2014,070162280160002,1246,2,0
2013-2014,480723090262002,731,14,0
2013-2014,060160950022002,727,10,3
2013-2014,060160950021001,396,2,0
2013-2014,500821880222001,98,0,0
2013-2014,500821880221001,23,0,0
2013-2014,500821880220001,35,0,0
2013-2014,070161670021002,283,1,0
2013-2014,070161670022001,263,1,0
2013-2014,070161670022004,338,0,0
2013-2014,070161670022003,375,2,0
2013-2014,460050010262002,354,1,0
2013-2014,460050010260001,212,1,0
2013-2014,460050010261002,205,0,0
2013-2014,030262010262001,224,0,0
2013-2014,030262010260003,133,0,0
2013-2014,030262010261001,38,0,0
2013-2014,400070420262001,54,0,0
2013-2014,400070420260001,65,0,0
2013-2014,020440430032001,63,0,0
2013-2014,400560080260001,201,0,0
2013-2014,400560080262003,315,0,0
2013-2014,400560080261001,139,0,0
2013-2014,070161110022010,270,0,0
2013-2014,070161110022007,290,1,0
2013-2014,070161110022011,443,1,0
2013-2014,070161110022005,367,0,0
2013-2014,070161110021001,749,0,0
2013-2014,070161110022001,542,3,0
2013-2014,070161110022006,383,1,0
2013-2014,070161110022002,322,0,0
2013-2014,280063400262005,156,5,0
2013-2014,280063400260001,320,2,0
2013-2014,280063400262001,408,3,0
2013-2014,280063400261001,257,3,0
2013-2014,070161545022001,196,0,0
2013-2014,260621700262003,393,2,1
2013-2014,260621700260001,198,1,0
2013-2014,260621700261002,183,0,0
2013-2014,190220530022002,297,6,1
2013-2014,190220530021001,163,0,0
2013-2014,190220530023001,9,0,0
2013-2014,470712260260001,499,2,0
2013-2014,470712260261001,380,4,0
2013-2014,470712260262003,677,16,0
2013-2014,500821870261014,241,0,0
2013-2014,500821870261015,234,0,0
2013-2014,500821870260011,1002,0,0
2013-2014,500821870262014,333,0,0
2013-2014,500821870262009,273,0,0
2013-2014,500821870262005,364,0,0
2013-2014,500821870262007,268,0,0
2013-2014,500821870262008,288,0,0
2013-2014,500821870262002,231,0,0
2013-2014,500821870262010,367,0,0
2013-2014,020020010222004,322,0,0
2013-2014,020020010220001,226,0,0
2013-2014,400070400262001,261,2,0
2013-2014,400070400260001,173,0,0
2013-2014,070161550022004,344,0,0
2013-2014,070161550021001,408,0,0
2013-2014,070161550022002,476,0,0
2013-2014,070161320022003,451,0,0
2013-2014,070161320022001,390,0,0
2013-2014,070161320022002,367,0,1
2013-2014,280372270262001,300,5,0
2013-2014,280372270260002,208,2,0
2013-2014,220290660250001,726,3,2
2013-2014,220290660252009,436,1,0
2013-2014,220290660251002,792,1,0
2013-2014,220290660252008,225,5,0
2013-2014,220290660252003,413,2,0
2013-2014,490810360022002,291,0,0
2013-2014,300391650160001,1030,8,1
2013-2014,300390950021004,389,3,1
2013-2014,300390950022008,300,6,0
2013-2014,300390950022005,495,7,0
2013-2014,300390950022003,299,2,0
2013-2014,400560010260002,421,4,0
2013-2014,400560010262006,296,4,0
2013-2014,400560010261001,332,3,0
2013-2014,400560010262005,438,4,0
2013-2014,130140010262002,406,2,0
2013-2014,130140010260001,363,1,2
2013-2014,130140010261001,362,3,1
2013-2014,200970050263001,12,0,0
2013-2014,200970050261007,198,0,0
2013-2014,200970050260001,395,0,1
2013-2014,200970050262007,276,0,0
2013-2014,200970050262005,197,1,1
2013-2014,200970050262006,249,2,1
2013-2014,200970050263002,98,1,0
2013-2014,200830020262002,326,0,0
2013-2014,200830020260001,125,0,0
2013-2014,400310010262001,393,0,0
2013-2014,400310010260003,225,0,0
2013-2014,211000050260001,571,5,0
2013-2014,211000050261001,312,2,0
2013-2014,211000050262001,688,4,0
2013-2014,260343170041006,170,6,0
2013-2014,260343170042005,276,0,1
2013-2014,440630260042002,372,5,0
2013-2014,440630260041004,964,8,1
2013-2014,440630260042005,539,12,0
2013-2014,440630260042004,640,8,1
2013-2014,11012004C260001,446,3,1
2013-2014,11012004C262003,473,0,0
2013-2014,190220630021001,317,3,0
2013-2014,190220630022002,423,3,0
2013-2014,540920050262001,365,2,1
2013-2014,540920050260002,165,0,0
2013-2014,070161460042006,346,0,0
2013-2014,070161460042002,623,9,0
2013-2014,070161460041001,762,4,1
2013-2014,070161460042003,353,8,0
2013-2014,070161460042005,317,6,0
2013-2014,070161680041003,540,0,0
2013-2014,070161680042001,429,0,0
2013-2014,070161680042002,560,0,0
2013-2014,190221800042002,398,4,0
2013-2014,190221800041001,283,2,0
2013-2014,300732040042001,167,1,0
2013-2014,050160620041001,662,2,0
2013-2014,050160620042002,304,2,0
2013-2014,050160620041003,685,5,1
2013-2014,050160620042004,283,4,0
2013-2014,050160620042005,667,0,0
2013-2014,050160620042001,475,0,0
2013-2014,050160620042008,592,1,0
2013-2014,050160620042009,339,0,0
2013-2014,050160620042010,329,0,0
2013-2014,050160620042011,243,2,3
2013-2014,050160620042012,255,3,0
2013-2014,190220890042001,332,3,0
2013-2014,190220890042002,307,6,0
2013-2014,190220890041003,619,9,1
2013-2014,190220890042004,409,3,0
2013-2014,190220890042006,299,2,0
2013-2014,190220930042001,302,2,0
2013-2014,190220930042011,599,5,0
2013-2014,190220930042007,354,2,0
2013-2014,190220930042010,410,5,2
2013-2014,190220930042009,604,4,0
2013-2014,190220930042004,308,0,0
2013-2014,190220930041004,623,4,0
2013-2014,190220930042006,419,2,1
2013-2014,190220660022002,295,6,0
2013-2014,190220660021001,357,4,0
2013-2014,190220660022004,382,3,0
2013-2014,110870210263001,24,0,0
2013-2014,130140710160001,533,0,0
2013-2014,130581330022001,275,1,0
2013-2014,010010030262008,131,0,0
2013-2014,010010030262003,195,2,0
2013-2014,010010030260001,278,4,0
2013-2014,010010030261001,257,1,0
2013-2014,310453010260001,1048,3,0
2013-2014,310453010261001,255,1,0
2013-2014,310453010262007,589,3,0
2013-2014,310453010262003,298,7,0
2013-2014,310453010262004,172,9,0
2013-2014,310453010261002,521,5,0
2013-2014,310453010262006,649,7,2
2013-2014,320380040263001,72,0,1
2013-2014,320380040260001,348,0,0
2013-2014,320380040262003,384,2,0
2013-2014,320380040261002,342,0,0
2013-2014,500821040022001,362,1,0
2013-2014,500821040021001,231,0,0
2013-2014,530900510022001,698,4,1
2013-2014,530900510022004,570,5,2
2013-2014,070161100022002,456,0,1
2013-2014,130582000170001,926,1,0
2013-2014,130581350021001,550,0,0
2013-2014,130581350023001,38,0,0
2013-2014,130581350022003,214,0,0
2013-2014,130581350022006,241,0,0
2013-2014,130581350022007,141,0,0
2013-2014,130581350022008,198,0,0
2013-2014,020771000262004,179,14,0
2013-2014,020771000260001,223,16,0
2013-2014,390741000262003,239,0,0
2013-2014,390741000260001,183,0,0
2013-2014,390741000261001,125,0,0
2013-2014,080083990262001,69,1,0
2013-2014,080083990261001,129,2,0
2013-2014,080083990262002,164,1,0
2013-2014,080083990260002,162,4,0
2013-2014,090100040262007,472,1,1
2013-2014,090100040262008,465,1,0
2013-2014,090100040260001,1419,4,0
2013-2014,090100040260002,1264,7,0
2013-2014,090100040263016,276,1,0
2013-2014,090100040262010,451,6,1
2013-2014,090100040261003,652,0,0
2013-2014,090100040261007,618,0,1
2013-2014,090100040262011,534,0,0
2013-2014,090100040261005,703,7,0
2013-2014,090100040262013,360,1,0
2013-2014,090100040262017,444,4,0
2013-2014,090100040262024,307,7,0
2013-2014,090100040262026,477,0,0
