Adequate Immunization Rate,Compliant with Idaho Regulations,Conditional Admit Records Rate,DTaP Adequate Rate,Exemption Record Rate,Grade,Hep. A Adequate Rate,Hep. B Adequate Rate,Incomplete or No Records Rate,MMR Adequate Rate,Meningitis Adequate Rate,Number of Records,Polio Adequate Rate,School District,School Name,School City,SchoolYear,State,Tdap Adequate Rate,Total Adequate,Total Conditional Admit Records,Total Enrollment,Total Exempt,Total Incomplete or No Records,Varicella Adequate Rate,X,Y,Address,City CAPS,City,testing,Zip
38.5%,100.0%,0.0%,38.5%,61.5%,First Grade,38.5%,46.2%,0.0%,46.2%,N/A,1,38.5%,Private,House of the Lord Christian Academy,House of the Lord Christian Academy OLDTOWN,2017-2018,ID,N/A,5,0,13,8,0,38.5%,-117.031620693,48.172061480,754 Silver Birch Lane,OLDTOWN,Oldtown,HOUSE OF THE LORD CHRISTIAN ACADEMY,83822
27.6%,93.1%,0.0%,51.7%,65.5%,Combined (School-level Rate),36.8%,58.6%,6.9%,51.7%,30.0%,1,48.3%,Private,House of the Lord Christian Academy,House of the Lord Christian Academy OLDTOWN,2017-2018,ID,30.0%,8,0,29,19,2,31.6%,-117.031620693,48.172061480,754 Silver Birch Lane,OLDTOWN,Oldtown,HOUSE OF THE LORD CHRISTIAN ACADEMY,83822
20.0%,80.0%,0.0%,70.0%,60.0%,Seventh Grade,N/A,80.0%,20.0%,70.0%,30.0%,1,70.0%,Private,House of the Lord Christian Academy,House of the Lord Christian Academy OLDTOWN,2017-2018,ID,30.0%,2,0,10,6,2,N/A,-117.031620693,48.172061480,754 Silver Birch Lane,OLDTOWN,Oldtown,HOUSE OF THE LORD CHRISTIAN ACADEMY,83822
96.0%,100.0%,0.0%,96.0%,4.0%,Combined (School-level Rate),96.0%,96.0%,0.0%,96.0%,N/A,1,96.0%,Private,Children's House Montessori  / Lewiston,Children's House Montessori  / Lewiston LEWISTON,2017-2018,ID,N/A,24,0,25,1,0,96.0%,-117.027156204,46.421423505,101 5th Street,LEWISTON,Lewiston,CHILDREN'S HOUSE MONTESSORI SCHOOL - LEWISTON,83501
94.4%,100.0%,0.0%,94.4%,5.6%,Kindergarten,94.4%,94.4%,0.0%,94.4%,N/A,1,94.4%,Private,Children's House Montessori  / Lewiston,Children's House Montessori  / Lewiston LEWISTON,2017-2018,ID,N/A,17,0,18,1,0,94.4%,-117.027156204,46.421423505,101 5th Street,LEWISTON,Lewiston,CHILDREN'S HOUSE MONTESSORI SCHOOL - LEWISTON,83501
93.3%,100.0%,0.0%,100.0%,6.7%,First Grade,100.0%,93.3%,0.0%,100.0%,N/A,1,100.0%,Private,All Saints Catholic,All Saints Catholic LEWISTON,2017-2018,ID,N/A,14,0,15,1,0,100.0%,-117.024170896,46.415680124,641 5th Ave,LEWISTON,Lewiston,ALL SAINTS CATHOLIC SCHOOL,83501
89.2%,100.0%,0.0%,94.6%,10.8%,Combined (School-level Rate),94.6%,89.2%,0.0%,94.6%,N/A,1,94.6%,Private,All Saints Catholic,All Saints Catholic LEWISTON,2017-2018,ID,N/A,33,0,37,4,0,91.9%,-117.024170896,46.415680124,641 5th Ave,LEWISTON,Lewiston,ALL SAINTS CATHOLIC SCHOOL,83501
86.4%,100.0%,0.0%,90.9%,13.6%,Kindergarten,90.9%,86.4%,0.0%,90.9%,N/A,1,90.9%,Private,All Saints Catholic,All Saints Catholic LEWISTON,2017-2018,ID,N/A,19,0,22,3,0,86.4%,-117.024170896,46.415680124,641 5th Ave,LEWISTON,Lewiston,ALL SAINTS CATHOLIC SCHOOL,83501
87.5%,93.8%,0.0%,87.5%,6.3%,First Grade,87.5%,87.5%,6.3%,87.5%,N/A,1,87.5%,Private,Cornerstone Christian Lewiston,Cornerstone Christian Lewiston LEWISTON,2017-2018,ID,N/A,14,0,16,1,1,87.5%,-117.021508814,46.403042686,1700 8th St.,LEWISTON,Lewiston,CORNERSTONE CHRISTIAN SCHOOL - LEWISTON,83501
83.3%,91.7%,0.0%,91.7%,8.3%,Seventh Grade,N/A,100.0%,8.3%,91.7%,83.3%,1,91.7%,Private,Cornerstone Christian Lewiston,Cornerstone Christian Lewiston LEWISTON,2017-2018,ID,83.3%,10,0,12,1,1,N/A,-117.021508814,46.403042686,1700 8th St.,LEWISTON,Lewiston,CORNERSTONE CHRISTIAN SCHOOL - LEWISTON,83501
