COUNTY_DESC,BEDS Code,POPULAR_NAME,GRADE_ORG_DESC,INST_SUB_TYPE_DESC,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,UGE,UGS,KFULL,KHALF,PK,Enrollment
ALBANY,10100115658,ST ANNE INSTITUTE,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,0,0,6,26,30,8,9,0,0,0,0,7,86
ALBANY,10100115665,BLESSED SACRAMENT SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,18,18,16,16,15,11,15,28,0,0,0,0,0,0,22,0,33,192
ALBANY,10100115671,MATER  CHRISTI SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,22,14,16,20,14,18,25,19,0,0,0,0,0,0,19,0,27,194
ALBANY,10100115684,ALL SAINTS' CATHOLIC ACADEMY,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,12,17,9,10,15,14,22,12,0,0,0,0,0,0,12,0,23,146
ALBANY,10100115685,ACAD OF HOLY NAME-LOWER SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,5,6,11,11,14,0,0,0,0,0,0,0,0,0,5,0,18,70
ALBANY,10100115705,LA SALLE SCHOOL,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,2,4,9,25,24,17,14,0,0,0,0,0,95
ALBANY,10100115724,ACADEMY OF HOLY NAMES-UPPER SCHOOL,Senior High,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,22,26,22,38,43,42,46,0,0,0,0,0,239
ALBANY,10100118044,BISHOP MAGINN HIGH SCHOOL,Senior High,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,0,0,0,48,30,31,31,0,0,0,0,0,140
ALBANY,10100208496,MAIMONIDES HEBREW DAY SCHOOL,K-12 School,JEWISH,5,8,7,4,8,9,4,3,4,1,1,2,0,0,9,0,6,71
ALBANY,10100317828,ST MATTHEW LUTHERAN SCHOOL,Elementary,LUTHERAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,14
ALBANY,10100996053,HARRIET TUBMAN DEMOCRATIC HS,Senior High,INDEPENDENT,0,0,0,0,0,0,0,0,3,3,8,3,0,0,0,0,0,17
ALBANY,10100996428,ALBANY ACADEMIES (THE),K-12 School,INDEPENDENT,32,25,34,39,46,58,61,59,113,109,113,94,0,2,17,0,14,816
ALBANY,10100996557,HELLMAN SCHOOL-PARSONS CENTER,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,21,145,0,0,0,166
