COUNTY,BEDS Code,SCHOOL_NAME,GRADE_ORG_DESC,AFFILIATION,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,UGE,UGS,KFULL,KHALF,PK,Enrollment
ALBANY,10100115658,SAINT ANNE INSTITUTE,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,0,2,7,18,27,6,8,0,0,0,0,7,75
ALBANY,10100115665,BLESSED SACRAMENT SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,22,15,24,13,13,15,13,15,0,0,0,0,0,0,16,0,49,195
ALBANY,10100115671,MATER  CHRISTI SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,17,20,14,18,20,18,18,24,0,0,0,0,0,0,25,0,38,212
ALBANY,10100115684,ALL SAINTS' CATHOLIC ACADEMY,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,10,11,15,11,11,14,10,21,0,0,0,0,0,0,20,0,22,145
ALBANY,10100115685,ACADEMY OF HOLY NAME-LOWER SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,8,5,5,11,13,0,0,0,0,0,0,0,0,0,9,0,15,66
ALBANY,10100115705,LA SALLE SCHOOL,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,0,2,15,25,25,12,10,0,0,0,0,0,89
ALBANY,10100115724,ACADEMY OF HOLY NAMES-UPPER SCHOOL,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,19,27,28,45,43,42,42,0,0,0,0,0,246
ALBANY,10100118044,BISHOP MAGINN HIGH SCHOOL,Senior High,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,0,0,0,32,41,27,30,0,0,0,0,0,130
ALBANY,10100208496,MAIMONIDES HEBREW DAY SCHOOL,Junior Senior School,JEWISH,9,6,8,7,4,9,6,4,2,5,1,1,0,0,7,0,13,82
ALBANY,10100317828,SAINT MATTHEW LUTHERAN SCHOOL,Pre-K Only,LUTHERAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,18
ALBANY,10100996053,HARRIET TUBMAN SCHOOL DEMOCRATIC HIGH SCHOOL,Senior High,INDEPENDENT,0,0,0,0,0,0,0,0,10,5,4,5,0,0,0,0,0,24
ALBANY,10100996428,ALBANY ACADEMIES (THE),K-12 School,INDEPENDENT,21,37,28,37,44,58,66,73,96,117,112,110,0,0,14,0,18,831
ALBANY,10100996557,HELLMAN SCHOOL-PARSONS CENTER,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,15,145,0,0,0,160
ALBANY,10100997616,FREE SCHOOL,Elementary,INDEPENDENT,5,4,4,1,3,6,3,2,0,0,0,0,0,0,6,0,15,49
ALBANY,10100997791,SAINT CATHERINE'S CENTER FOR CHILDREN,Elementary,INDEPENDENT,6,7,6,10,14,10,0,0,0,0,0,0,0,0,0,0,0,53
ALBANY,10100997850,CENTER FOR DISABILITY SERVICES,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,92,112,0,0,77,281
ALBANY,10201805052,HELDERBERG CHRISTIAN SCHOOL,Junior Senior School,CHRISTIAN FUNDAMENTALIST,4,3,5,5,4,2,2,2,5,0,0,0,0,0,2,0,0,34
ALBANY,10306115761,SAINT THOMAS THE APOSTLE SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,18,17,24,20,19,30,24,19,0,0,0,0,0,0,28,0,0,199
ALBANY,10306809859,MT MORIAH ACADEMY,Junior Senior School,CHRISTIAN FUNDAMENTALIST,1,4,2,5,1,5,1,3,2,2,4,6,0,0,1,0,10,47
ALBANY,10306999575,BETHLEHEM CHILDRENS SCHOOL,Elementary,INDEPENDENT,0,2,1,2,2,1,2,2,0,0,0,0,0,0,3,0,14,29
ALBANY,10500996017,"ALBANY MONTESSORI EDUCATION CENTER, LLC",Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9
ALBANY,10601115674,CHRISTIAN BROTHERS ACADEMY,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,28,37,47,89,97,66,61,0,0,0,0,0,425
ALBANY,10601216559,HEBREW ACADEMY OF THE CAPITAL DISTRICT,Elementary,JEWISH,12,17,8,8,9,5,11,1,0,0,0,0,0,0,12,0,0,83
ALBANY,10601315801,OUR SAVIOR'S LUTHERAN SCHOOL,Elementary,LUTHERAN,12,17,6,15,12,7,9,5,0,0,0,0,0,0,9,6,48,146
ALBANY,10601629639,AN NUR ISLAMIC SCHOOL,Junior Senior School,ISLAMIC,16,20,17,10,16,9,9,9,5,0,0,0,0,0,16,0,19,146
ALBANY,10623115655,SAINT AMBROSE SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,19,14,13,11,11,10,13,19,0,0,0,0,0,0,42,0,67,219
ALBANY,10623115753,SAINT PIUS X SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,59,67,78,65,73,65,55,58,0,0,0,0,0,0,76,0,102,698
ALBANY,10623116561,SAINT GREGORY'S SCHOOL FOR BOYS,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,9,10,15,10,13,10,7,10,0,0,0,0,0,0,13,0,14,111
ALBANY,10623806562,LOUDONVILLE CHRISTIAN SCHOOL,K-12 School,CHRISTIAN FUNDAMENTALIST,18,14,20,18,21,18,23,25,19,30,26,23,0,0,19,0,15,289
ALBANY,10623995677,SAINT COLMAN'S SCHOOL,Junior Senior School,INDEPENDENT,0,0,0,1,0,6,5,2,1,0,0,0,26,36,0,0,0,77
ALBANY,10802115707,SAINT MADELEINE SOPHIE SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,21,17,15,27,15,0,0,0,0,0,0,0,0,0,13,0,49,157
ALLEGANY,20801659054,VALLEYVIEW AMISH SCHOOL,Elementary,MENNONITES,3,2,3,3,3,4,1,5,0,0,0,0,0,0,0,0,0,24
ALLEGANY,21601658896,FRIENDSHIP AMISH SCHOOL,Elementary,MENNONITES,3,3,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,15
ALLEGANY,22001807067,HOUGHTON ACADEMY,Junior Senior School,CHRISTIAN FUNDAMENTALIST,0,0,0,0,0,7,5,15,16,24,41,30,0,0,0,0,0,138
ALLEGANY,22601136563,IMMACULATE CONCEPTION SCHOOL,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,16,18,14,13,20,12,15,13,0,0,0,0,0,0,10,0,29,160
BROOME,30200185471,SETON CATHOLIC CENTRAL JUNIOR-SENIOR HIGH SCHOOL,Junior Senior School,ROMAN CATHOLIC - SYRACUSE DIOCESE,0,0,0,0,0,0,52,75,57,47,67,62,0,0,0,0,0,360
BROOME,30200185488,SAINT JOHN SCHOOL,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,34,19,12,20,10,27,0,0,0,0,0,0,0,0,16,0,48,186
BROOME,30701998080,CHILDREN'S UNIT FOR TREATMENT & EVALUATION,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,34,0,5,0,9,48
BROOME,30701998858,CHILDREN'S HOME OF WYOMING CONFERENCE,Junior Senior School,INDEPENDENT,3,2,3,13,8,10,9,7,12,10,5,4,0,0,0,0,0,86
BROOME,31401996149,UPWARD LOOK CHRISTIAN CADEMY,Junior Senior School,INDEPENDENT,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,5
BROOME,31501187966,SETON CATHOLIC AT ALL SAINTS,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,19,20,26,26,19,27,0,0,0,0,0,0,0,0,26,0,63,226
BROOME,31502185486,SAINT JAMES SCHOOL,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,14,11,12,15,17,14,0,0,0,0,0,0,0,0,11,0,46,140
BROOME,31502995612,CRESCENT ACADEMY (THE),Elementary,INDEPENDENT,9,4,7,7,5,0,0,0,0,0,0,0,0,0,6,0,10,48
BROOME,31601227054,HILLEL ACADEMY,Elementary,JEWISH,5,4,4,4,1,0,0,0,0,0,0,0,0,0,6,0,6,30
BROOME,31601806564,ROSS CORNERS CHRISTIAN ACADEMY,K-12 School,CHRISTIAN FUNDAMENTALIST,5,4,9,5,7,4,7,17,7,20,9,7,0,0,6,0,10,117
CATTARAUGUS,42400136448,ARCHBISHOP WALSH HIGH SCHOOL,Senior High,ROMAN CATHOLIC BUFFALO DIOCESE,0,0,0,0,0,0,0,0,9,6,10,11,0,0,0,0,0,36
