County,BEDS Code,School Name,Grade Org Desc,Affiliation,GR 1,GR 2,GR 3,GR 4,GR 5,GR 6,GR 7,GR 8,GR 9,GR 10,GR 11,GR 12,UGE,UGS,FULLK,HALFK,PREK,Enrollment
ALBANY,10100115658,Saint Anne Institute,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,0,4,5,25,8,8,2,0,0,0,0,6,58
ALBANY,10100115665,Blessed Sacrament School,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,12,20,16,23,10,14,17,14,0,0,0,0,0,0,17,0,39,182
ALBANY,10100115671,Mater  Christi School,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,23,21,20,17,20,24,23,17,0,0,0,0,0,0,20,0,33,218
ALBANY,10100115684,All Saints' Catholic Academy,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,19,15,10,13,11,13,16,13,0,0,0,0,0,0,19,0,30,159
ALBANY,10100115685,Academy Of Holy Name-Lower School,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,11,8,5,5,13,0,0,0,0,0,0,0,0,0,7,0,7,56
ALBANY,10100115705,La Salle School,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,1,2,12,28,19,17,8,0,2,0,0,0,89
ALBANY,10100115724,Academy Of Holy Names-Upper School,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,18,21,35,46,41,43,40,0,0,0,0,0,244
ALBANY,10100118044,Bishop Maginn High School,Senior High,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,0,0,0,37,29,46,27,0,0,0,0,0,139
ALBANY,10100208496,Maimonides Hebrew Day School,Junior Senior School,JEWISH,7,10,3,9,6,4,8,4,4,2,4,0,0,0,6,0,14,81
ALBANY,10100317828,Saint Matthew Lutheran School,Pre-K Only,LUTHERAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
ALBANY,10100996053,Harriet Tubman School Democratic High School,Senior High,INDEPENDENT,0,0,0,0,0,0,0,0,6,2,5,5,0,0,0,0,0,18
ALBANY,10100996179,Castle Island Bilingual Montessori,Elementary,INDEPENDENT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8
ALBANY,10100996428,Albany Academies (The),K-12 School,INDEPENDENT,15,23,36,39,44,53,62,74,104,100,122,110,0,0,20,0,18,820
ALBANY,10100996557,Parsons Child And Family Center,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,21,139,0,0,0,160
ALBANY,10100997616,Free School,Elementary,INDEPENDENT,7,3,2,5,2,4,5,2,0,0,0,0,0,0,2,0,14,46
ALBANY,10100997791,Saint Catherine'S Center For Children,Elementary,INDEPENDENT,2,9,13,8,8,11,0,0,0,0,0,0,8,0,0,0,0,59
ALBANY,10100997850,Center For Disability Services,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,91,105,0,0,77,273
ALBANY,10201805052,Helderberg Christian School,Junior Senior School,CHRISTIAN FUNDAMENTALIST,2,4,2,5,5,4,2,0,2,4,0,0,0,0,3,1,0,34
ALBANY,10306115761,Saint Thomas The Apostle School,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,22,20,18,23,21,19,29,19,0,0,0,0,0,0,25,0,43,239
ALBANY,10306809859,Mt Moriah Academy,Junior Senior School,CHRISTIAN FUNDAMENTALIST,0,0,3,1,2,1,4,1,3,3,4,5,0,0,4,0,9,40
ALBANY,10306999575,Bethlehem Childrens School,Elementary,INDEPENDENT,2,1,1,1,3,2,1,2,0,0,0,0,0,0,2,1,10,26
ALBANY,10500996017,"Albany Montessori Education Center, Llc",Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,9
ALBANY,10601115674,Christian Brothers Academy,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,38,45,50,78,88,86,60,0,0,0,0,0,445
ALBANY,10601216559,Hebrew Academy Of The Capital District,Elementary,JEWISH,9,10,14,6,6,9,5,10,0,0,0,0,0,0,9,0,0,78
ALBANY,10601315801,Our Savior'S Lutheran School,Elementary,LUTHERAN,12,11,15,7,12,10,7,4,0,0,0,0,0,0,9,9,44,140
ALBANY,10601629639,An Nur Islamic School,Junior Senior School,ISLAMIC,8,13,14,14,13,11,8,9,3,3,0,0,0,0,19,0,16,131
ALBANY,10623115655,Saint Ambrose School,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,14,21,18,15,12,8,5,11,0,0,0,0,0,0,43,0,64,211
ALBANY,10623115753,Saint Pius X School,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,58,55,65,76,63,63,44,52,0,0,0,0,0,0,65,0,107,648
ALBANY,10623116561,Saint Gregory'S School For Boys,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,6,7,10,16,9,12,9,7,0,0,0,0,0,0,15,0,10,101
ALBANY,10623806562,Loudonville Christian School,K-12 School,CHRISTIAN FUNDAMENTALIST,20,16,10,23,18,20,20,22,27,16,27,23,0,0,20,0,17,279
ALBANY,10623995677,Saint Colman'S School,Junior Senior School,INDEPENDENT,0,0,0,0,1,3,3,3,4,0,1,0,31,38,0,0,0,84
ALBANY,10802115707,Saint Madeleine Sophie School,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,14,25,18,14,26,0,0,0,0,0,0,0,0,0,25,0,52,174
ALLEGANY,20801659054,Valleyview Amish School,Elementary,MENNONITES,3,3,2,3,3,3,4,1,0,0,0,0,0,0,0,0,0,22
ALLEGANY,21601658896,Friendship Amish School,Elementary,MENNONITES,3,3,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,17
ALLEGANY,22001807067,Houghton Academy,Junior Senior School,CHRISTIAN FUNDAMENTALIST,0,0,0,0,0,5,9,10,22,18,38,38,0,0,0,0,0,140
ALLEGANY,22601136563,Immaculate Conception School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,12,16,18,12,11,15,12,16,0,0,0,0,0,0,11,0,11,134
BROOME,30200185471,Seton Catholic Central Junior-Senior High School,Junior Senior School,ROMAN CATHOLIC - SYRACUSE DIOCESE,0,0,0,0,0,0,69,48,79,59,46,63,0,0,0,0,0,364
