County,BEDS Code,Name,Grade Org,Affiliation,GR1,GR2,GR3,GR4,GR5,GR6,UGE,GR7,GR8,GR9,GR10,GR11,GR12,UGS,FullK,HalfK,PreK,Enrollment
ALBANY,010100115658,ST ANNE INSTITUTE,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,0,0,1,6,14,20,15,7,0,0,0,10,73
ALBANY,010100115665,BLESSED SACRAMENT SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,16,18,12,12,23,14,0,19,14,0,0,0,0,0,13,0,23,164
ALBANY,010100115671,MATER  CHRISTI SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,24,23,20,22,22,18,0,22,13,0,0,0,0,0,20,0,32,216
ALBANY,010100115684,ALL SAINTS' CATHOLIC ACADEMY,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,19,15,15,20,14,13,0,16,18,0,0,0,0,0,14,0,42,186
ALBANY,010100115705,LA SALLE SCHOOL,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,2,0,0,10,5,30,17,5,10,0,0,0,0,79
ALBANY,010100115724,ACADEMY OF HOLY NAMES-UPPER SCHOOL,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,8,0,19,23,46,41,46,50,0,0,0,0,233
ALBANY,010100118044,BISHOP MAGINN HIGH SCHOOL,Senior High,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,0,0,0,0,27,26,28,33,0,0,0,0,114
ALBANY,010100208496,MAIMONIDES HEBREW DAY SCHOOL,Junior Senior School,JEWISH,6,8,6,7,11,2,0,10,4,3,5,0,1,0,0,6,14,83
ALBANY,010100317828,ST MATTHEW LUTHERAN SCHOOL,Pre-K Only,LUTHERAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
ALBANY,010100996179,CASTLE ISLAND BILINGUAL MONTESSORI,Elementary,INDEPENDENT,5,2,2,0,1,0,1,0,0,0,0,0,0,0,4,0,7,22
ALBANY,010100996428,ALBANY ACADEMIES (THE),K-12 School,INDEPENDENT,26,22,26,21,27,63,0,59,74,106,108,111,116,6,17,0,25,807
ALBANY,010100996557,PARSONS CHILD AND FAMILY CENTER,Special School,INDEPENDENT,0,0,0,0,0,0,26,0,0,0,0,0,0,131,0,0,0,157
ALBANY,010100997616,FREE SCHOOL,Elementary,INDEPENDENT,1,4,4,2,5,2,0,5,1,0,0,0,0,0,2,0,0,26
ALBANY,010100997791,ST CATHERINE'S CENTER FOR CHILDREN,Elementary,INDEPENDENT,2,4,5,8,9,16,3,0,0,0,0,0,0,0,1,0,0,48
ALBANY,010100997850,CENTER FOR DISABILITY SERVICES,Special School,INDEPENDENT,0,0,0,0,0,0,102,0,0,0,0,0,0,105,0,0,82,289
ALBANY,010201805052,HELDERBERG CHRISTIAN SCHOOL,Junior Senior School,CHRISTIAN FUNDAMENTALIST,3,1,4,4,4,5,0,2,5,1,0,0,1,0,3,0,0,33
ALBANY,010306115761,ST THOMAS THE APOSTLE SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,22,25,18,20,23,15,0,21,16,0,0,0,0,0,18,0,29,207
ALBANY,010306809859,MT MORIAH ACADEMY,Junior Senior School,CHRISTIAN FUNDAMENTALIST,3,2,4,0,1,4,0,1,5,2,0,0,2,0,3,0,3,30
ALBANY,010306999575,BETHLEHEM CHILDRENS SCHOOL,Elementary,INDEPENDENT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,28,32
ALBANY,010601115674,CHRISTIAN BROTHERS ACADEMY,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,18,51,0,47,90,92,87,94,74,0,0,0,0,553
ALBANY,010601216559,HEBREW ACADEMY-CAPITAL DISTRICT,Elementary,JEWISH,4,8,5,8,6,8,0,5,4,0,0,0,0,0,8,0,0,56
ALBANY,010601315801,OUR SAVIOR'S LUTHERAN SCHOOL,Elementary,LUTHERAN,8,14,11,8,3,9,0,11,6,0,0,0,0,0,12,8,22,112
ALBANY,010601629639,AN NUR ISLAMIC SCHOOL,K-12 School,ISLAMIC,16,16,20,17,18,21,0,11,8,9,1,5,0,0,11,0,6,159
ALBANY,010623115655,ST AMBROSE SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,15,12,10,5,13,9,0,8,9,0,0,0,0,0,18,0,61,160
ALBANY,010623115753,ST PIUS X SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,48,62,49,65,59,55,0,44,32,0,0,0,0,0,54,0,145,613
ALBANY,010623116561,SAINT GREGORY'S SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,10,3,15,18,16,5,0,8,3,0,0,0,0,0,16,0,15,109
ALBANY,010623806562,LOUDONVILLE CHRISTIAN SCHOOL,K-12 School,CHRISTIAN FUNDAMENTALIST,18,16,20,17,22,17,0,29,22,23,21,21,16,0,10,0,19,271
ALBANY,010623995677,ST COLMAN'S SCHOOL,Junior Senior School,INDEPENDENT,3,1,5,5,6,9,5,7,4,3,2,0,1,16,0,0,0,67
ALBANY,010623996017,"ALBANY MONTESSORI EDUCATION CTR, LLC",Other,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4
ALBANY,010802115707,ST MADELEINE SOPHIE SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,24,19,24,17,19,0,0,0,0,0,0,0,0,0,16,0,56,175
ALLEGANY,020801659054,VALLEYVIEW AMISH SCHOOL,Elementary,MENNONITES,4,2,1,2,4,0,0,2,0,0,0,0,0,0,0,0,0,15
ALLEGANY,021601658896,FRIENDSHIP AMISH SCHOOL,Elementary,MENNONITES,2,3,3,3,3,3,0,2,0,0,0,0,0,0,0,0,0,19
ALLEGANY,022001807067,HOUGHTON ACADEMY,Junior Senior School,CHRISTIAN FUNDAMENTALIST,0,0,0,0,0,0,0,7,10,12,28,25,33,0,0,0,0,115
ALLEGANY,022601136563,IMMACULATE CONCEPTION SCHOOL,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,14,11,12,17,14,16,0,9,8,0,0,0,0,0,18,0,9,128
BROOME,030200185471,SETON CATHOLIC CENTRAL JR/SR HIGH,Junior Senior School,ROMAN CATHOLIC - SYRACUSE DIOCESE,0,0,0,0,0,0,0,47,65,54,76,57,72,0,0,0,0,371
BROOME,030200185488,ST JOHN SCHOOL,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,17,14,16,13,36,15,0,0,0,0,0,0,0,0,18,0,46,175
BROOME,030701998080,CHILDREN'S UNIT FOR TREATMENT & EVAL,Special School,INDEPENDENT,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,22,60
BROOME,030701998858,CHILDREN'S HOME OF WYOMING CONFER,K-12 School,INDEPENDENT,0,1,9,9,12,14,0,8,10,11,8,7,2,0,0,0,0,91
BROOME,031401996149,UPWARD LOOK CHRISTIAN ACADEMY,Junior Senior School,INDEPENDENT,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
BROOME,031501187966,ALL SAINTS SCHOOL,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,13,18,24,21,18,17,0,0,0,0,0,0,0,0,21,0,49,181
BROOME,031502185486,ST JAMES SCHOOL,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,19,17,22,9,9,12,0,0,0,0,0,0,0,0,22,0,35,145
BROOME,031502995612,CRESCENT ACADEMY (THE),Elementary,INDEPENDENT,8,10,11,5,10,0,0,0,0,0,0,0,0,0,12,0,8,64
BROOME,031601227054,HILLEL ACADEMY,Elementary,JEWISH,6,7,3,4,3,0,0,0,0,0,0,0,0,0,4,0,1,28
BROOME,031601806564,ROSS CORNERS CHRISTIAN ACADEMY,Junior Senior School,CHRISTIAN FUNDAMENTALIST,6,8,7,6,0,6,0,6,6,8,11,7,13,0,9,0,10,103
CATTARAUGUS,042400136448,ARCHBISHOP WALSH HIGH SCHOOL,Senior High,ROMAN CATHOLIC BUFFALO DIOCESE,0,0,0,0,0,0,0,0,0,13,10,10,13,0,0,0,0,46
CATTARAUGUS,042400139126,SOUTHERN TIER CATHOLIC SCHOOL,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,15,17,14,15,7,18,0,16,10,0,0,0,0,0,9,0,13,134
CATTARAUGUS,042400805651,NEW LIFE CHRISTIAN SCHOOL,K-12 School,CHRISTIAN FUNDAMENTALIST,3,2,3,3,4,2,0,1,3,3,5,7,4,0,2,0,0,42
CATTARAUGUS,042901858658,PORTVILLE BAPTIST CHRISTIAN SCHOOL,Elementary,BAPTIST,1,1,0,1,1,2,0,0,0,0,0,0,0,0,4,0,0,10
CATTARAUGUS,043001658554,AXEVILLE SCHOOL,Elementary,MENNONITES,4,5,5,3,3,4,0,3,3,0,0,0,0,0,0,0,0,30
CATTARAUGUS,043001658555,HARRIS SCHOOL,Elementary,MENNONITES,4,4,3,4,4,4,0,3,3,0,0,0,0,0,0,0,0,29
CATTARAUGUS,043001658557,SEAGER HILL SCHOOL,Elementary,MENNONITES,5,4,5,3,3,3,0,3,3,0,0,0,0,0,0,0,0,29
CATTARAUGUS,043001658559,MAPLE ROW SCHOOL,Elementary,MENNONITES,4,5,6,3,2,3,0,3,2,0,0,0,0,0,0,0,0,28
CATTARAUGUS,043001658561,GARDNER SCHOOL,Elementary,MENNONITES,3,3,3,3,3,4,0,3,2,0,0,0,0,0,0,0,0,24
CATTARAUGUS,043001658933,GLOVER HILL ROAD AMISH SCHOOL,Elementary,MENNONITES,2,6,4,3,2,2,0,2,2,0,0,0,0,0,0,0,0,23
CATTARAUGUS,043001659682,MERCHANT HILL SCHOOL,Elementary,MENNONITES,3,2,3,5,2,3,0,3,2,0,0,0,0,0,0,0,0,23
CATTARAUGUS,043501856300,CENTRAL BAPTIST CHRISTIAN SCHOOL,Other,BAPTIST,11,5,10,11,6,12,0,9,12,6,20,10,8,1,7,8,0,136
CAYUGA,050100169701,ST JOSEPH SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,14,18,10,17,14,12,0,13,17,0,0,0,0,0,23,0,7,145
CAYUGA,050100996140,CREATIVE MINDS MONTESSORI SCHOOL,Elementary,INDEPENDENT,2,1,3,1,0,0,0,0,1,0,0,0,0,0,3,0,9,20
CAYUGA,050100996169,JOHN PAUL II ACADEMY OF AUBURN,Elementary,INDEPENDENT,1,0,2,4,2,2,0,0,0,0,0,0,0,0,1,0,0,12
CAYUGA,050100999499,TYBURN ACAD-MARY IMMACULATE,Junior Senior School,INDEPENDENT,0,0,0,0,0,0,0,4,9,4,9,9,20,0,0,0,0,55
CAYUGA,050100999591,MONTESSORI SCHOOL-FINGER LAKES,Elementary,INDEPENDENT,3,6,1,1,2,0,0,0,0,0,0,0,0,0,4,0,35,52
CAYUGA,050301999417,HILLSIDE CHLDRNS CTR-FINGER LAKES,Junior Senior School,INDEPENDENT,0,0,0,2,5,1,0,6,7,11,8,9,5,0,0,0,0,54
CAYUGA,050701999254,PEACHTOWN ELEMENTARY SCHOOL,Elementary,INDEPENDENT,2,3,0,0,2,0,0,2,3,0,0,0,0,0,3,0,2,17
CAYUGA,051101658562,CONQUEST PAROCHIAL SCHOOL,Elementary,MENNONITES,4,3,2,2,5,3,0,3,3,0,0,0,0,0,0,0,0,25
CAYUGA,051901425832,UNION SPRINGS ACADEMY,Senior High,SEVENTH-DAY ADVENTIST,0,0,0,0,0,0,0,0,0,11,12,17,10,0,0,0,0,50
CAYUGA,051901427119,FRONTENAC SDA SCHOOL,Elementary,SEVENTH-DAY ADVENTIST,2,3,0,2,2,1,0,1,3,0,0,0,0,0,0,0,0,14
CHAUTAUQUA,060201858116,BETHEL BAPTIST CHRISTIAN ACADEMY,K-12 School,BAPTIST,6,5,6,4,4,5,0,3,5,4,9,7,1,0,6,0,0,65
CHAUTAUQUA,060503658575,BURDICK ROAD AMISH SCHOOL,Elementary,MENNONITES,3,4,3,3,2,2,0,3,2,0,0,0,0,0,0,0,0,22
CHAUTAUQUA,060503659689,PLEASANT VIEW SCHOOL,Elementary,MENNONITES,4,3,2,3,3,2,0,3,2,0,0,0,0,0,0,0,0,22
CHAUTAUQUA,060601658556,FLAT IRON SCHOOL,Elementary,MENNONITES,3,3,7,4,2,3,0,2,2,0,0,0,0,0,0,0,0,26
CHAUTAUQUA,060601659292,CALDWELL SCHOOL,Elementary,MENNONITES,6,3,6,4,4,4,0,4,3,0,0,0,0,0,0,0,0,34
CHAUTAUQUA,060601659293,PINE VIEW SCHOOL,Elementary,MENNONITES,4,2,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,18
CHAUTAUQUA,060601659294,DEER RUN SCHOOL,Elementary,MENNONITES,2,3,2,3,2,2,0,2,2,0,0,0,0,0,0,0,0,18
CHAUTAUQUA,060601659295,PLEASANT VIEW SCHOOL,Elementary,MENNONITES,3,2,3,2,2,2,0,2,2,0,0,0,0,0,0,0,0,18
