County,BEDS Code,School Name,Grade Org,Affiliation,GR1,GR2,GR3,GR4,GR5,GR6,UGE,GR7,GR8,GR9,GR10,GR11,GR12,UGS,FULLK,HALFK,PREK,Enrollment
ALBANY,10100115658,Saint Anne Institute,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,0,0,2,6,14,17,16,4,0,0,0,12,71
ALBANY,10100115665,Blessed Sacrament School,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,16,11,12,24,15,17,0,15,20,0,0,0,0,0,20,0,22,172
ALBANY,10100115671,Mater  Christi School,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,27,20,23,22,22,24,0,23,22,0,0,0,0,0,25,0,48,256
ALBANY,10100115684,All Saints' Catholic Academy,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,13,15,18,16,10,14,0,22,16,0,0,0,0,0,17,0,24,165
ALBANY,10100115705,La Salle School,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,1,0,2,14,18,29,15,7,0,0,0,0,86
ALBANY,10100115724,Academy Of Holy Names-Upper School,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,15,0,22,24,40,47,53,37,0,0,0,0,238
ALBANY,10100118044,Bishop Maginn High School,Senior High,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,0,0,0,0,0,28,18,26,23,0,0,0,0,95
ALBANY,10100208496,Maimonides Hebrew Day School,Junior Senior School,JEWISH,10,6,6,11,4,9,0,6,5,7,0,1,0,0,5,0,13,83
ALBANY,10100317828,Saint Matthew Lutheran School,Pre-K Only,LUTHERAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
ALBANY,10100996053,Harriet Tubman School Democratic High School,Senior High,INDEPENDENT,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,6
ALBANY,10100996179,Castle Island Bilingual Montessori,Elementary,INDEPENDENT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,27
ALBANY,10100996428,Albany Academies (The),K-12 School,INDEPENDENT,19,24,21,25,48,53,0,66,76,92,108,115,100,7,23,0,17,794
ALBANY,10100996557,Parsons Child And Family Center,Special School,INDEPENDENT,0,0,0,0,0,0,29,0,0,0,0,0,0,123,0,0,0,152
ALBANY,10100997616,Free School,Elementary,INDEPENDENT,5,2,4,6,4,7,0,1,3,0,0,0,0,0,4,0,9,45
ALBANY,10100997791,Saint Catherine'S Center For Children,Elementary,INDEPENDENT,3,4,6,11,14,9,3,0,0,0,0,0,0,0,1,0,0,51
ALBANY,10100997850,Center For Disability Services,Special School,INDEPENDENT,0,0,0,0,0,0,95,0,0,0,0,0,0,111,0,0,73,279
ALBANY,10201805052,Helderberg Christian School,Junior Senior School,CHRISTIAN FUNDAMENTALIST,2,5,2,4,3,4,0,5,2,0,0,2,2,0,2,0,0,33
ALBANY,10306115761,Saint Thomas The Apostle School,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,22,23,20,22,21,25,0,17,16,0,0,0,0,0,25,0,44,235
ALBANY,10306809859,Mt Moriah Academy,Junior Senior School,CHRISTIAN FUNDAMENTALIST,2,3,0,0,5,1,0,3,3,0,0,3,2,0,3,0,3,28
ALBANY,10306999575,Bethlehem Childrens School,Elementary,INDEPENDENT,3,0,2,2,0,1,0,4,0,0,0,0,0,0,2,0,26,40
ALBANY,10500996017,"Albany Montessori Education Center, Llc",Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,10
ALBANY,10601115674,Christian Brothers Academy,Junior Senior School,ROMAN CATHOLIC - ALBANY DIOCESE,0,0,0,0,20,33,0,55,64,85,102,76,82,0,0,0,0,517
ALBANY,10601216559,Hebrew Academy Of The Capital District,Elementary,JEWISH,8,5,10,5,9,5,0,4,7,0,0,0,0,0,4,0,0,57
ALBANY,10601315801,Our Savior'S Lutheran School,Elementary,LUTHERAN,12,13,9,6,15,10,0,6,7,0,0,0,0,0,4,6,41,129
ALBANY,10601629639,An Nur Islamic School,K-12 School,ISLAMIC,14,17,11,13,14,12,0,10,12,2,5,3,2,0,15,0,6,136
ALBANY,10623115655,Saint Ambrose School,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,17,11,8,12,14,11,0,10,2,0,0,0,0,0,20,0,82,187
ALBANY,10623115753,Saint Pius X School,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,64,57,67,66,61,61,0,47,44,0,0,0,0,0,71,0,116,654
ALBANY,10623116561,Saint Gregory'S School For Boys,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,5,11,17,13,5,13,0,2,9,0,0,0,0,0,14,0,12,101
ALBANY,10623806562,Loudonville Christian School,K-12 School,CHRISTIAN FUNDAMENTALIST,19,21,19,21,11,29,0,21,22,20,21,15,14,0,15,0,7,255
ALBANY,10623995677,Saint Colman'S School,Junior Senior School,INDEPENDENT,3,0,3,6,1,3,21,2,0,0,0,0,1,32,1,0,0,73
ALBANY,10802115707,Saint Madeleine Sophie School,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,21,23,17,17,18,0,0,0,0,0,0,0,0,0,22,0,61,179
ALLEGANY,20801659054,Valleyview Amish School,Elementary,MENNONITES,3,3,3,3,2,3,0,3,3,0,0,0,0,0,0,0,0,23
ALLEGANY,21601658896,Friendship Amish School,Elementary,MENNONITES,3,3,3,3,3,2,0,1,2,0,0,0,0,0,0,0,0,20
ALLEGANY,22001807067,Houghton Academy,Junior Senior School,CHRISTIAN FUNDAMENTALIST,0,0,0,0,0,0,0,8,7,24,22,38,24,0,0,0,0,123
ALLEGANY,22601136563,Immaculate Conception School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,10,12,16,17,16,9,0,9,13,0,0,0,0,0,14,0,10,126
BROOME,30200185471,Seton Catholic Central Junior-Senior High School,Junior Senior School,ROMAN CATHOLIC - SYRACUSE DIOCESE,0,0,0,0,0,0,0,62,43,62,57,78,45,0,0,0,0,347
