SCHOOL YEAR,DATE OF REPORT,COUNTY,STATE DISTRICT ID,DISTRICT NAME,STATE LOCATION ID,LOCATION NAME,SCHOOL TYPE,SUBGROUP CODE,SUBGROUP NAME,Enrollment,PK (HALF DAY),PK (FULL DAY),KG (HALF DAY),KG (FULL DAY),GRADE 1,GRADE 2,GRADE 3,GRADE 4,GRADE 5,GRADE 6,UNGRADED (ELEMENTARY),GRADE 7,GRADE 8,GRADE 9,GRADE 10,GRADE 11,GRADE 12,UNGRADED (SECONDARY)
2014-15,5/4/2017,ALBANY,10100010000,ALBANY,10100010014,MONTESSORI MAGNET SCHOOL,PUBLIC,1,All Students,311,0,36,0,44,42,43,45,47,45,0,9,0,0,0,0,0,0,0
2014-15,5/4/2017,ALBANY,10100010000,ALBANY,10100010016,PINE HILLS ELEMENTARY SCHOOL,PUBLIC,1,All Students,423,0,0,0,70,77,71,56,54,44,50,0,1,0,0,0,0,0,0
2014-15,5/4/2017,ALBANY,10100010000,ALBANY,10100010018,DELAWARE COMMUNITY SCHOOL,PUBLIC,1,All Students,436,0,17,0,72,78,80,68,66,55,0,0,0,0,0,0,0,0,0
2014-15,5/4/2017,ALBANY,10100010000,ALBANY,10100010019,NEW SCOTLAND ELEMENTARY SCHOOL,PUBLIC,1,All Students,514,0,1,0,90,93,93,74,74,86,0,3,0,0,0,0,0,0,0
2014-15,5/4/2017,ALBANY,10100010000,ALBANY,10100010020,NORTH ALBANY ACADEMY,PUBLIC,1,All Students,363,0,0,0,50,38,40,31,22,19,40,10,38,54,0,0,0,0,21
2014-15,5/4/2017,ALBANY,10100010000,ALBANY,10100010023,ALBANY SCHOOL OF HUMANITIES,PUBLIC,1,All Students,490,0,18,0,64,67,66,70,60,56,74,15,0,0,0,0,0,0,0
2014-15,5/4/2017,ALBANY,10100010000,ALBANY,10100010027,EAGLE POINT ELEMENTARY SCHOOL,PUBLIC,1,All Students,315,0,0,0,47,46,48,42,52,37,43,0,0,0,0,0,0,0,0
2014-15,5/4/2017,ALBANY,10100010000,ALBANY,10100010028,THOMAS S O'BRIEN ACAD OF SCI & TECH,PUBLIC,1,All Students,511,0,18,0,72,78,79,77,69,70,38,10,0,0,0,0,0,0,0
2014-15,5/4/2017,ALBANY,10100010000,ALBANY,10100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,PUBLIC,1,All Students,470,0,19,0,73,97,59,63,50,63,46,0,0,0,0,0,0,0,0
2014-15,5/4/2017,ALBANY,10100010000,ALBANY,10100010030,WILLIAM S HACKETT MIDDLE SCHOOL,PUBLIC,1,All Students,633,0,0,0,0,0,0,0,0,0,119,0,248,266,0,0,0,0,0
