Year,Site Name,County,Enrollment,PBE
2015-2016,BAKER EARLY COLLEGE,BAKER ,188,28
2015-2016,BAKER HIGH SCHOOL,BAKER ,486,23
2015-2016,BAKER MIDDLE SCHOOL,BAKER ,248,11
2015-2016,BAKER WEB ACADEMY,BAKER ,582,99
2015-2016,BRIGHT EYES PRESCHOOL,BAKER ,27,3
2015-2016,BROOKLYN ELEMENTARY SCHOOL,BAKER ,464,20
2015-2016,BURNT RIVER SCHOOL DISTRICT,BAKER ,31,6
2015-2016,EAGLE CAP INNOVATIVE HIGH SCHOOL,BAKER ,33,4
2015-2016,EASTERN OREGON HEAD START,BAKER ,60,2
2015-2016,ELKHORN ADOLESCENT TREATMENT CENTER SCHOOL,BAKER ,15,1
2015-2016,HAINES ELEMENTARY SCHOOL,BAKER ,122,13
2015-2016,HARVEST CHRISTIAN ACADEMY,BAKER ,75,4
2015-2016,HUNTINGTON SCHOOL DISTRICT 16J,BAKER ,65,0
2015-2016,INTERMOUNTAIN ESD EARLY CHILDHOOD,BAKER ,23,0
2015-2016,KEATING ELEMENTARY SCHOOL,BAKER ,27,6
2015-2016,PINE EAGLE CHARTER SCHOOL,BAKER ,200,13
2015-2016,SOUTH BAKER INTERMEDIATE,BAKER ,316,17
2015-2016,YMCA PRESCHOOL,BAKER ,54,4
2015-2016,ADAMS ELEMENTARY SCHOOL,BENTON ,377,12
2015-2016,ALPINE CO-OP PRESCHOOL,BENTON ,20,0
2015-2016,ALSEA PRESCHOOL,BENTON ,17,0
2015-2016,ALSEA SCHOOL DISTRICT,BENTON ,168,2
2015-2016,ASHBROOK INDEPENDENT SCHOOL,BENTON ,158,6
2015-2016,BLODGETT ELEMENTARY SCHOOL,BENTON ,30,4
2015-2016,BRIGHT BEGINNINGS PRESCHOOL,BENTON ,22,1
2015-2016,CHELDELIN MIDDLE SCHOOL,BENTON ,567,20
2015-2016,CHILDREN'S FARM HOME,BENTON ,57,1
2015-2016,CLEMENS PRIMARY SCHOOL,BENTON ,91,2
2015-2016,CORVALLIS COMMUNITY CHILDREN'S CENTER - LANCASTER,BENTON ,59,0
2015-2016,CORVALLIS COMMUNITY CHILDREN'S CENTERS - GROWING O,BENTON ,60,1
2015-2016,CORVALLIS HIGH SCHOOL,BENTON ,"1,267",94
2015-2016,CORVALLIS HIGH SCHOOL PRESCHOOL,BENTON ,20,3
2015-2016,CORVALLIS MONTESSORI SCHOOL,BENTON ,93,1
2015-2016,CORVALLIS WALDORF SCHOOL,BENTON ,155,78
2015-2016,CRESCENT VALLEY HIGH SCHOOL,BENTON ,"1,007",56
2015-2016,CRESCENT VALLEY HIGH SCHOOL PRESCHOOL,BENTON ,24,1
2015-2016,FAMILY TREE RELIEF NURSERY,BENTON ,71,1
2015-2016,FRANKLIN ELEMENTARY SCHOOL,BENTON ,169,18
2015-2016,FRANKLIN MIDDLE SCHOOL,BENTON ,180,18
2015-2016,G3 DAY SCHOOL,BENTON ,10,1
2015-2016,GARFIELD ELEMENTARY SCHOOL,BENTON ,422,19
2015-2016,GOOD SAMARITAN PRESCHOOL,BENTON ,20,1
2015-2016,GRANT AVENUE PRESCHOOL,BENTON ,56,1
2015-2016,HAND IN HAND AT ZION LUTHERAN MINISTRIES,BENTON ,71,0
