Year,County,SiteName,Enrollment,PBE,PME
2017-2018,Baker,BAKER  HIGH SCHOOL,450,12,0
2017-2018,Baker,BAKER MIDDLE SCHOOL,237,13,3
2017-2018,Baker,BAKER VALLEY SEVENTH-DAY ADVENTIST SCHOOL,15,6,0
2017-2018,Baker,BAKER WEB ACADEMY,"1,334",336,2
2017-2018,Baker,BROOKLYN ELEMENTARY SCHOOL,459,24,1
2017-2018,Baker,BURNT RIVER SCHOOL DISTRICT,31,8,0
2017-2018,Baker,EAGLE CAP HIGH SCHOOL,27,1,0
2017-2018,Baker,ELKHORN ADOLESCENT TREATMENT CENTER SCHOOL,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Baker,HAINES ELEMENTARY SCHOOL,155,7,0
2017-2018,Baker,HARVEST CHRISTIAN ACADEMY,83,9,0
2017-2018,Baker,HUNTINGTON SCHOOL DISTRICT 16J,100,2,0
2017-2018,Baker,KEATING ELEMENTARY SCHOOL,26,4,0
2017-2018,Baker,PINE EAGLE CHARTER SCHOOL,192,20,1
2017-2018,Baker,SOUTH BAKER INTERMEDIATE,347,11,0
2017-2018,Benton,Adams Elementary School,466,6,0
2017-2018,Benton,Alsea Elementary School,68,4,1
2017-2018,Benton,Alsea Middle School and High School,83,2,1
2017-2018,Benton,Ashbrook Independent School,137,5,1
2017-2018,Benton,Blodgett Elementary School,28,5,0
2017-2018,Benton,Cheldelin Middle School,580,26,0
2017-2018,Benton,Clemens Primary School,178,11,1
2017-2018,Benton,Corvallis High School,"1,269",64,1
2017-2018,Benton,Corvallis Montessori School,16,2,0
2017-2018,Benton,Corvallis Waldorf School,148,66,0
2017-2018,Benton,Crescent Valley High School,987,58,2
2017-2018,Benton,Farm Home School - LBLESD,64,5,0
2017-2018,Benton,FH-Wake Robin School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Benton,Fir Grove Primary School,151,7,2
2017-2018,Benton,Franklin Elementary School,171,13,0
2017-2018,Benton,Franklin Middle School,163,13,0
2017-2018,Benton,Garfield Elementary School,438,17,0
2017-2018,Benton,Hoover Elementary School,432,12,0
2017-2018,Benton,Jefferson Elementary School,355,23,0
2017-2018,Benton,Kings Valley Charter School - Elementary,107,16,0
2017-2018,Benton,Kings Valley Charter School - Middle & High School,99,11,0
2017-2018,Benton,Lincoln Elementary School,385,25,0
2017-2018,Benton,Linus Pauling Middle School,738,46,2
2017-2018,Benton,Monroe Grade School,192,3,0
2017-2018,Benton,Monroe High School,133,5,0
2017-2018,Benton,Monroe Middle School,96,1,0
2017-2018,Benton,Mountain View Elementary School,335,16,0
2017-2018,Benton,Muddy Creek Charter School,111,25,0
2017-2018,Benton,North Albany Elementary School,270,5,0
2017-2018,Benton,North Albany Middle School,607,5,1
2017-2018,Benton,Oak Grove Elementary School,281,13,1
2017-2018,Benton,Philomath Elementary School,376,21,0
2017-2018,Benton,Philomath High School,476,18,0
2017-2018,Benton,Philomath Middle School,350,16,1
2017-2018,Benton,Philomath Montessori School,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Benton,Santiam Christian Schools,579,43,1
2017-2018,Benton,Wilson Elementary School,420,18,0
2017-2018,Benton,Zion Lutheran School,58,1,0
2017-2018,Clackamas,ALDER CREEK MIDDLE SCHOOL,924,36,2
2017-2018,Clackamas,ALLIANCE CHARTER ACADEMY,387,111,1
2017-2018,Clackamas,AMIGUITOS PRESCHOOL,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,ARBOR SCHOOL OF ARTS & SCIENCES,192,22,0
2017-2018,Clackamas,ARDENWALD ELEMENTARY,424,21,0
2017-2018,Clackamas,ARTS AND TECHNOLOGY HIGH SCHOOL,104,5,0
2017-2018,Clackamas,ATHEY CREEK MIDDLE SCHOOL,632,24,2
2017-2018,Clackamas,BAKER PRAIRIE MIDDLE SCHOOL,584,14,0
2017-2018,Clackamas,BASIC SKILLS ASSESSMENT & EDUCATIONAL SERVICES,74,19,0
2017-2018,Clackamas,BEAVERCREEK ELEMENTARY,547,59,0
2017-2018,Clackamas,BILQUIST ELEMENTARY,419,20,0
2017-2018,Clackamas,BOECKMAN CREEK PRIMARY,518,35,1
2017-2018,Clackamas,BOLTON PRIMARY,382,44,2
2017-2018,Clackamas,BOONES FERRY ELEMENTARY,584,28,0
2017-2018,Clackamas,BORING MIDDLE SCHOOL,412,8,1
2017-2018,Clackamas,BUTTE CREEK SCHOOL,319,76,0
2017-2018,Clackamas,CANBY HIGH SCHOOL,"1,333",56,2
2017-2018,Clackamas,CANBY KEY DISTRICT PROGRAMS,12,0,0
2017-2018,Clackamas,CANDY LANE ELEMENTARY,268,18,0
2017-2018,Clackamas,CARUS ELEMENTARY,470,27,0
2017-2018,Clackamas,CASCADE HEIGHTS PUBLIC CHARTER SCHOOL,221,18,1
2017-2018,Clackamas,CASCADE SUMMIT MONTESSORI SCHOOL,19,3,1
2017-2018,Clackamas,CEDAR RIDGE MIDDLE SCHOOL,418,18,1
2017-2018,Clackamas,CEDAROAK PARK PRIMARY,296,20,1
2017-2018,Clackamas,CHILDREN'S HOUR ACADEMY #1,10,0,0
2017-2018,Clackamas,CHINESE AMERICAN INTERNATIONAL SCHOOL,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,CHRIST THE KING CATHOLIC SCHOOL,232,2,0
2017-2018,Clackamas,Clackamas Academy of Industrial Sciences,202,58,0
2017-2018,Clackamas,Clackamas High School,"2,509",79,2
2017-2018,Clackamas,CLACKAMAS MIDDLE COLLEGE,296,34,0
2017-2018,Clackamas,CLACKAMAS RIVER ELEMENTARY,423,14,0
2017-2018,Clackamas,CLARKES ELEMENTARY,158,11,0
2017-2018,Clackamas,COLTON ELEMENTARY,263,12,0
2017-2018,Clackamas,COLTON HIGH SCHOOL,192,14,1
2017-2018,Clackamas,COLTON MIDDLE SCHOOL,141,6,0
2017-2018,Clackamas,COLTON SCHOOL DISTRICT OUTSIDE PLACEMENT,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,COLUMBIA ACADEMY,28,14,0
2017-2018,Clackamas,COUNTRY CHRISTIAN SCHOOL,185,14,0
2017-2018,Clackamas,DAMASCUS CHRISTIAN SCHOOL,206,31,0
2017-2018,Clackamas,DUNCAN ELMENTARY,565,37,0
2017-2018,Clackamas,ECCLES ELEMENTARY,426,19,0
2017-2018,Clackamas,EL PUENTE ELEMENTARY,273,9,0
2017-2018,Clackamas,ELLIOTT PRAIRIE CHRISTIAN,16,10,0
2017-2018,Clackamas,ESTACADA HIGH SCHOOL,509,17,2
2017-2018,Clackamas,ESTACADA JUNIOR HIGH,382,9,0
2017-2018,Clackamas,FIRST BAPTIST CHURCH SCHOOL,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,FIRWOOD ELEMENTARY,405,15,0
2017-2018,Clackamas,FOREST HILLS ELEMENTARY,407,32,0
2017-2018,Clackamas,GAFFNEY LANE ELEMENTARY,515,48,1
2017-2018,Clackamas,GARDINER MIDDLE SCHOOL,787,30,3
2017-2018,Clackamas,GLADSTONE CENTER FOR CHILDREN,132,11,0
2017-2018,Clackamas,GLADSTONE HIGH SCHOOL,636,5,0
2017-2018,Clackamas,GOOD SHEPHERD SCHOOL,171,30,0
2017-2018,Clackamas,GRAND VIEW CHRISTIAN ACADEMY,259,56,1
2017-2018,Clackamas,HALLINAN ELEMENTARY,468,33,0
2017-2018,Clackamas,HAPPY VALLEY ELEMENTARY,437,32,0
2017-2018,Clackamas,HAPPY VALLEY MIDDLE SCHOOL,"1,079",59,0
2017-2018,Clackamas,HCCR ELEMENTARY,16,2,0
2017-2018,Clackamas,HCCR FLS,11,2,0
2017-2018,Clackamas,HCCR HIGH SCHOOL,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,HCCR Junior High,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,HERON CREEK ACADEMY HIGH,14,0,0
2017-2018,Clackamas,HERON CREEK ACADEMY JR HIGH,15,0,0
2017-2018,Clackamas,HERON CREEK ELEMENTARY,14,1,0
2017-2018,Clackamas,HILLSVIEW MONTESSORI SCHOOL,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,HOLCOMB ELEMENTARY,494,36,0
2017-2018,Clackamas,HOOD VIEW JUNIOR ACADEMY,124,11,0
2017-2018,Clackamas,INTERNATIONAL LEADERSHIP ACADEMY,35,9,0
2017-2018,Clackamas,JENNINGS LODGE ELEMENTARY,261,22,0
2017-2018,Clackamas,JOHN MCLOUGHLIN ELEMENTARY,598,45,1
2017-2018,Clackamas,JOHN WETTEN ELEMENTARY,776,42,2
2017-2018,Clackamas,KELSO ELEMENTARY,370,21,0
2017-2018,Clackamas,KRAXBERGER MIDDLE SCHOOL,458,19,1
2017-2018,Clackamas,LA SALLE CATHOLIC COLLEGE PREPARATORY,696,12,1
2017-2018,Clackamas,LAKE GROVE ELEMENTARY,397,27,1
2017-2018,Clackamas,LAKE OSWEGO HIGH SCHOOL,"1,257",29,0
2017-2018,Clackamas,LAKE OSWEGO JR HIGH SCHOOL,873,34,3
2017-2018,Clackamas,LAKERIDGE HIGH SCHOOL,"1,077",35,4
2017-2018,Clackamas,LAKERIDGE JUNIOR HIGH,852,34,1
2017-2018,Clackamas,LEEP-BEAVERCREEK ELEMENTARY,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,LEEP-OGDEN,10,0,0
2017-2018,Clackamas,LEWELLING ELEMENTARY,368,21,3
2017-2018,Clackamas,LEWIS AND CLARK MONTESSORI CHILDREN'S HOUSE,359,81,0
2017-2018,Clackamas,LINWOOD ELEMENTARY,307,16,0
2017-2018,Clackamas,LOWRIE PRIMARY SCHOOL,580,26,1
2017-2018,Clackamas,MARYLHURST EARLY CHILDHOOD CENTER,78,15,0
2017-2018,Clackamas,Meridian Creek Middle School,349,23,1
2017-2018,Clackamas,MICHA-EL SCHOOL,117,71,0
2017-2018,Clackamas,MILWAUKIE ACADEMY OF ARTS,299,32,0
2017-2018,Clackamas,MILWAUKIE ELEMENTARY,149,4,0
2017-2018,Clackamas,MILWAUKIE HIGH SCHOOL,862,19,0
2017-2018,Clackamas,MILWAUKIE MONTESSORI SCHOOL AND DAYCARE,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,MOLALLA ELEMENTARY,412,15,1
2017-2018,Clackamas,MOLALLA HIGH SCHOOL,693,26,0
2017-2018,Clackamas,MOLALLA RIVER ACADEMY,215,27,0
2017-2018,Clackamas,MOLALLA RIVER MIDDLE SCHOOL,509,14,1
2017-2018,Clackamas,MRSD OUTSIDE PLACEMENT K-12,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,MT HOOD ACADEMY,11,0,0
2017-2018,Clackamas,MT SCOTT ELEMENTARY,381,20,0
2017-2018,Clackamas,MULINO ELEMENTARY,297,16,0
2017-2018,Clackamas,NAAS ELEMENTARY,413,17,0
2017-2018,Clackamas,NEW URBAN HIGH SCHOOL,125,3,0
2017-2018,Clackamas,NINETY ONE SCHOOL,479,48,2
2017-2018,Clackamas,NORTH CLACKAMAS CHRISTIAN SCHOOL,243,17,0
2017-2018,Clackamas,OAK CREEK ELEMENTARY,547,24,0
2017-2018,Clackamas,OAK GROVE CENTER,Site has fewer than 10 children in the adjusted enrollment.  No numbers are displayed.,,
2017-2018,Clackamas,OAK GROVE ELEMENTARY,326,29,1
2017-2018,Clackamas,OCSD Jackson Prep,68,3,0
2017-2018,Clackamas,OGDEN MIDDLE SCHOOL,863,48,1
2017-2018,Clackamas,OREGON CITY CHRISTIAN ACADEMY,23,0,0
2017-2018,Clackamas,OREGON CITY HIGH SCHOOL,"1,956",58,4
2017-2018,Clackamas,OREGON CITY SERVICE LEARNING ACADEMY,142,15,0
2017-2018,Clackamas,OREGON TRAIL ACADEMY,271,21,0
