Year,Region,County Name,Gender Name,Enrollment by Gender
2015-2016,7,ANDERSON,Female,4063
2015-2016,7,ANDERSON,Male,4386
2015-2016,18,ANDREWS,Female,1919
2015-2016,18,ANDREWS,Male,2057
2015-2016,7,ANGELINA,Female,8616
2015-2016,7,ANGELINA,Male,8990
2015-2016,2,ARANSAS,Female,1647
2015-2016,2,ARANSAS,Male,1758
2015-2016,9,ARCHER,Female,884
2015-2016,9,ARCHER,Male,967
2015-2016,16,ARMSTRONG,Female,174
2015-2016,16,ARMSTRONG,Male,179
2015-2016,20,ATASCOSA,Female,4417
2015-2016,20,ATASCOSA,Male,4664
2015-2016,6,AUSTIN,Female,2842
2015-2016,6,AUSTIN,Male,3029
2015-2016,17,BAILEY,Female,713
2015-2016,17,BAILEY,Male,755
2015-2016,20,BANDERA,Female,1199
2015-2016,20,BANDERA,Male,1303
2015-2016,13,BASTROP,Female,7994
2015-2016,13,BASTROP,Male,8614
2015-2016,9,BAYLOR,Female,273
2015-2016,9,BAYLOR,Male,323
2015-2016,2,BEE,Female,2686
2015-2016,2,BEE,Male,2781
2015-2016,AL,BELL,Female,36046
2015-2016,AL,BELL,Male,37644
2015-2016,20,BEXAR,Female,172306
2015-2016,20,BEXAR,Male,181315
2015-2016,13,BLANCO,Female,782
2015-2016,13,BLANCO,Male,910
2015-2016,17,BORDEN,Female,124
2015-2016,17,BORDEN,Male,119
2015-2016,12,BOSQUE,Female,1385
2015-2016,12,BOSQUE,Male,1487
2015-2016,8,BOWIE,Female,8687
2015-2016,8,BOWIE,Male,9107
2015-2016,4,BRAZORIA,Female,33089
2015-2016,4,BRAZORIA,Male,35408
2015-2016,6,BRAZOS,Female,14804
2015-2016,6,BRAZOS,Male,15345
2015-2016,18,BREWSTER,Female,593
2015-2016,18,BREWSTER,Male,660
2015-2016,16,BRISCOE,Female,81
2015-2016,16,BRISCOE,Male,106
2015-2016,2,BROOKS,Female,745
2015-2016,2,BROOKS,Male,797
2015-2016,15,BROWN,Female,3313
2015-2016,15,BROWN,Male,3464
2015-2016,6,BURLESON,Female,1310
2015-2016,6,BURLESON,Male,1436
2015-2016,13,BURNET,Female,3536
2015-2016,13,BURNET,Male,3778
2015-2016,13,CALDWELL,Female,3464
2015-2016,13,CALDWELL,Male,3511
2015-2016,3,CALHOUN,Female,2026
2015-2016,3,CALHOUN,Male,2153
2015-2016,14,CALLAHAN,Female,1214
2015-2016,14,CALLAHAN,Male,1335
2015-2016,1,CAMERON,Female,49630
2015-2016,1,CAMERON,Male,52362
2015-2016,8,CAMP,Female,1198
2015-2016,8,CAMP,Male,1278
2015-2016,16,CARSON,Female,577
2015-2016,16,CARSON,Male,599
2015-2016,8,CASS,Female,2709
2015-2016,8,CASS,Male,2790
2015-2016,16,CASTRO,Female,858
2015-2016,16,CASTRO,Male,836
2015-2016,AL,CHAMBERS,Female,3740
2015-2016,AL,CHAMBERS,Male,4105
2015-2016,7,CHEROKEE,Female,4166
2015-2016,7,CHEROKEE,Male,4455
2015-2016,16,CHILDRESS,Female,536
2015-2016,16,CHILDRESS,Male,599
2015-2016,9,CLAY,Female,807
2015-2016,9,CLAY,Male,925
2015-2016,17,COCHRAN,Female,372
2015-2016,17,COCHRAN,Male,391
2015-2016,15,COKE,Female,283
2015-2016,15,COKE,Male,268
2015-2016,15,COLEMAN,Female,636
2015-2016,15,COLEMAN,Male,688
2015-2016,10,COLLIN,Female,96124
2015-2016,10,COLLIN,Male,101204
2015-2016,16,COLLINGSWORTH,Female,279
2015-2016,16,COLLINGSWORTH,Male,314
2015-2016,3,COLORADO,Female,1694
2015-2016,3,COLORADO,Male,1861
2015-2016,13,COMAL,Female,14435
2015-2016,13,COMAL,Male,15683
2015-2016,14,COMANCHE,Female,1148
2015-2016,14,COMANCHE,Male,1195
2015-2016,15,CONCHO,Female,259
2015-2016,15,CONCHO,Male,239
2015-2016,11,COOKE,Female,3116
2015-2016,11,COOKE,Male,3280
2015-2016,12,CORYELL,Female,5550
2015-2016,12,CORYELL,Male,5938
2015-2016,17,COTTLE,Female,84
2015-2016,17,COTTLE,Male,120
2015-2016,18,CRANE,Female,561
2015-2016,18,CRANE,Male,587
2015-2016,15,CROCKETT,Female,413
2015-2016,15,CROCKETT,Male,415
2015-2016,17,CROSBY,Female,641
2015-2016,17,CROSBY,Male,625
2015-2016,18,CULBERSON,Female,224
2015-2016,18,CULBERSON,Male,212
2015-2016,16,DALLAM,Female,954
2015-2016,16,DALLAM,Male,981
2015-2016,10,DALLAS,Female,245165
2015-2016,10,DALLAS,Male,255381
2015-2016,17,DAWSON,Female,1271
2015-2016,17,DAWSON,Male,1468
2015-2016,16,DEAF SMITH,Female,2204
2015-2016,16,DEAF SMITH,Male,2197
2015-2016,8,DELTA,Female,493
2015-2016,8,DELTA,Male,481
2015-2016,AL,DENTON,Female,61035
2015-2016,AL,DENTON,Male,65117
2015-2016,3,DEWITT,Female,2198
2015-2016,3,DEWITT,Male,2455
2015-2016,17,DICKENS,Female,201
2015-2016,17,DICKENS,Male,185
2015-2016,20,DIMMIT,Female,1170
2015-2016,20,DIMMIT,Male,1144
2015-2016,16,DONLEY,Female,325
2015-2016,16,DONLEY,Male,294
2015-2016,2,DUVAL,Female,1259
2015-2016,2,DUVAL,Male,1320
2015-2016,14,EASTLAND,Female,1410
2015-2016,14,EASTLAND,Male,1467
2015-2016,18,ECTOR,Female,16055
2015-2016,18,ECTOR,Male,16732
2015-2016,15,EDWARDS,Female,262
2015-2016,15,EDWARDS,Male,296
2015-2016,19,EL PASO,Female,87310
2015-2016,19,EL PASO,Male,91501
2015-2016,10,ELLIS,Female,17714
2015-2016,10,ELLIS,Male,18692
2015-2016,11,ERATH,Female,6575
2015-2016,11,ERATH,Male,5724
2015-2016,12,FALLS,Female,1038
2015-2016,12,FALLS,Male,1154
2015-2016,10,FANNIN,Female,2543
2015-2016,10,FANNIN,Male,2738
2015-2016,13,FAYETTE,Female,1919
2015-2016,13,FAYETTE,Male,1905
2015-2016,14,FISHER,Female,271
2015-2016,14,FISHER,Male,289
2015-2016,17,FLOYD,Female,604
2015-2016,17,FLOYD,Male,659
2015-2016,9,FOARD,Female,102
