County,School Year,Percent_PBE
Anderson,2010-2011,0.2
Anderson,2011-2012,0.24
Anderson,2012-2013,0.33
Anderson,2013-2014,0.29
Anderson,2014-2015,0.29
Anderson,2015-2016,0.35
Anderson,2016-2017,0.5
Anderson,2017-2018,0.75
Andrews,2010-2011,0.36
Andrews,2011-2012,0.52
Andrews,2012-2013,0.63
Andrews,2013-2014,0.66
Andrews,2014-2015,0.82
Andrews,2015-2016,0.75
Andrews,2016-2017,0.9
Andrews,2017-2018,1.07
Angelina,2010-2011,0.33
Angelina,2011-2012,0.44
Angelina,2012-2013,0.46
Angelina,2013-2014,0.55
Angelina,2014-2015,0.49
Angelina,2015-2016,0.7
Angelina,2016-2017,0.63
Angelina,2017-2018,0.67
Aransas,2010-2011,0.25
Aransas,2011-2012,0.46
Aransas,2012-2013,0.52
Aransas,2013-2014,0.98
Aransas,2014-2015,1.2
Aransas,2015-2016,1.22
Aransas,2016-2017,1.39
Aransas,2017-2018,1.49
Archer,2010-2011,0.6
Archer,2011-2012,0.49
Archer,2012-2013,0.61
Archer,2013-2014,0.33
Archer,2014-2015,0.56
Archer,2015-2016,0.61
Archer,2016-2017,0.45
Archer,2017-2018,0.81
Armstrong,2010-2011,0.59
Armstrong,2011-2012,1.43
Armstrong,2012-2013,1.44
Armstrong,2013-2014,1.98
Armstrong,2014-2015,2.06
Armstrong,2015-2016,0.59
Armstrong,2016-2017,1.9
Armstrong,2017-2018,1.44
Atascosa,2010-2011,0.18
Atascosa,2011-2012,0.23
Atascosa,2012-2013,0.23
Atascosa,2013-2014,0.26
Atascosa,2014-2015,0.3
Atascosa,2015-2016,0.16
Atascosa,2016-2017,0.2
Atascosa,2017-2018,0.24
Austin,2010-2011,0.46
Austin,2011-2012,0.28
Austin,2012-2013,0.56
Austin,2013-2014,0.27
Austin,2014-2015,0.53
Austin,2015-2016,0.74
Austin,2016-2017,0.85
Austin,2017-2018,1.05
Bailey,2010-2011,0.59
Bailey,2011-2012,0.57
Bailey,2012-2013,0.58
Bailey,2013-2014,0.75
Bailey,2014-2015,0.68
Bailey,2015-2016,0.67
Bailey,2016-2017,0.74
Bailey,2017-2018,0.89
Bandera,2010-2011,0.38
Bandera,2011-2012,0.35
Bandera,2012-2013,0.67
Bandera,2013-2014,1
Bandera,2014-2015,1.03
Bandera,2015-2016,1.44
