,SCH_NAME,SCHOOL_YR,LEVEL_CODE,DIV_NUM,DIV_NAME,SCH_NUM,GRADE_CODE,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,PRIMARY_DISABILITY_TYPE,DEC1_CNT
0,A. Henderson Elementary,2010-2011,SCH,75.0,Prince William County ,330.0,01,5.0,M,Y,N,N,DD,10
1,A.G. Richardson Elementary,2010-2011,SCH,24.0,Culpeper County ,240.0,05,5.0,M,Y,N,Y,SLI,10
2,A.M. Davis Elementary,2010-2011,SCH,21.0,Chesterfield County ,620.0,01,3.0,M,Y,N,Y,SLI,10
3,A.P. Hill Elementary,2010-2011,SCH,120.0,Petersburg City ,110.0,02,3.0,M,Y,N,Y,AUT,11
4,A.S. Rhodes Elementary,2010-2011,SCH,93.0,Warren County ,90.0,,5.0,M,Y,N,N,SLI,11
5,A.W.E. Bassette Elementary,2010-2011,SCH,112.0,Hampton City ,500.0,01,3.0,M,Y,N,Y,SLD,11
6,Abbs Valley-Boissevain Elementary,2010-2011,SCH,92.0,Tazewell County ,1020.0,,5.0,F,Y,N,Y,SLI,11
7,Aberdeen Elementary,2010-2011,SCH,112.0,Hampton City ,160.0,03,3.0,M,Y,N,Y,SLD,13
8,Abingdon Elementary,2010-2011,SCH,7.0,Arlington County ,350.0,01,3.0,F,Y,N,Y,SLD,11
9,Abingdon High,2010-2011,SCH,94.0,Washington County ,1030.0,09,5.0,F,Y,N,N,OHI,10
10,Accawmacke Elementary,2010-2011,SCH,1.0,Accomack County ,701.0,02,3.0,M,Y,N,Y,SLD,10
11,Achievable Dream Academy,2010-2011,SCH,117.0,Newport News City ,1404.0,01,3.0,M,Y,N,Y,DD,13
12,Achilles Elementary,2010-2011,SCH,36.0,Gloucester County ,240.0,PS,5.0,M,Y,N,N,SLI,12
13,Acquinton Elementary,2010-2011,SCH,50.0,King William County ,180.0,03,5.0,M,Y,N,Y,SLD,10
14,Addison Aerospace Magnet Middle,2010-2011,SCH,124.0,Roanoke City ,280.0,06,3.0,M,Y,N,Y,SLD,10
15,Admiral Richard E. Byrd Middle,2010-2011,SCH,34.0,Frederick County ,586.0,06,5.0,M,Y,N,N,OHI,12
16,Agnor-Hurt Elementary,2010-2011,SCH,2.0,Albemarle County ,160.0,01,5.0,M,Y,N,N,SLI,11
17,Alanton Elementary,2010-2011,SCH,128.0,Virginia Beach City ,590.0,01,3.0,M,Y,N,N,DD,10
18,Albemarle County Community Public Charter School,2010-2011,SCH,2.0,Albemarle County ,1060.0,06,5.0,M,Y,N,N,,10
19,Albemarle High,2010-2011,SCH,2.0,Albemarle County ,880.0,09,3.0,M,Y,N,Y,OHI,10
20,Albert Harris Elementary,2010-2011,SCH,116.0,Martinsville City ,222.0,01,3.0,M,Y,N,Y,SLI,12
21,Albert Hill Middle,2010-2011,SCH,123.0,Richmond City ,30.0,06,3.0,F,Y,N,N,SLD,10
22,Alberta Smith Elementary,2010-2011,SCH,21.0,Chesterfield County ,861.0,01,5.0,M,Y,N,N,SLI,13
23,Aldrin Elementary,2010-2011,SCH,29.0,Fairfax County ,2203.0,01,5.0,M,Y,N,N,DD,11
24,Alfred S. Forrest Elementary,2010-2011,SCH,112.0,Hampton City ,260.0,01,3.0,M,Y,N,N,SLD,11
25,Algonkian Elementary,2010-2011,SCH,53.0,Loudoun County ,150.0,01,5.0,M,Y,N,N,AUT,10
26,Alleghany High,2010-2011,SCH,3.0,Alleghany County ,310.0,09,5.0,F,Y,N,N,OHI,11
27,Altavista Elementary,2010-2011,SCH,16.0,Campbell County ,560.0,01,5.0,M,Y,N,Y,SLI,10
