County,Year,Enrollment,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,PBE ,PME
ADAMS,2014-15,390,5,2,3,0,0,3,2
ASOTIN,2014-15,248,11,4,6,1,0,7,4
BENTON,2014-15,2866,69,20,45,4,0,49,20
CHELAN,2014-15,1014,38,6,29,2,1,32,6
CLALLAM,2014-15,305,10,2,9,0,0,9,2
CLARK,2014-15,5742,397,73,290,25,13,328,73
COLUMBIA,2014-15,39,2,2,0,0,0,0,2
COWLITZ,2014-15,1304,44,14,28,1,1,30,14
DOUGLAS,2014-15,535,6,10,5,0,0,5,10
FERRY,2014-15,44,4,2,2,0,0,2,2
FRANKLIN,2014-15,1546,18,3,13,2,0,15,3
GARFIELD,2014-15,23,0,0,0,0,0,0,0
GRANT,2014-15,1483,26,5,17,1,3,21,5
GRAYS HARBOR,2014-15,819,22,12,9,1,1,11,12
ISLAND,2014-15,747,47,20,24,6,0,30,20
JEFFERSON,2014-15,183,15,3,8,2,2,12,3
KING,2014-15,24861,1146,302,839,23,13,875,302
KITSAP,2014-15,2753,129,41,82,8,1,91,41
KITTITAS,2014-15,418,21,7,13,1,0,14,7
KLICKITAT,2014-15,199,12,8,3,1,0,4,8
LEWIS,2014-15,854,27,10,18,1,0,19,10
LINCOLN,2014-15,163,8,0,8,0,0,8,0
MASON,2014-15,612,25,4,18,2,1,21,4
OKANOGAN,2014-15,409,20,1,17,2,0,19,1
PACIFIC,2014-15,195,6,3,2,1,0,3,3
PEND OREILLE,2014-15,114,14,6,7,0,1,8,6
PIERCE,2014-15,10747,392,135,239,16,11,266,135
SAN JUAN,2014-15,82,10,6,4,1,0,5,6
SKAGIT,2014-15,1539,99,22,67,2,9,78,22
SKAMANIA,2014-15,69,6,2,4,0,0,4,2
SNOHOMISH,2014-15,8140,441,137,295,22,7,324,137
SPOKANE,2014-15,6151,431,58,302,24,15,341,58
STEVENS,2014-15,349,36,12,20,0,4,24,12
THURSTON,2014-15,3277,154,37,115,3,2,120,37
WAHKIAKUM,2014-15,33,3,1,2,1,0,3,1
WALLA WALLA,2014-15,735,19,4,13,3,0,16,4
WHATCOM,2014-15,2200,124,32,96,2,0,98,32
WHITMAN,2014-15,375,12,0,11,1,0,12,0
YAKIMA,2014-15,4191,38,12,23,3,1,27,12
