County,Year,Enrollment,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,PBE,PME
ADAMS,2015-16,446,3,0,3,0,0,3,0
ASOTIN,2015-16,61,3,1,2,0,0,2,1
BENTON,2015-16,"2,624",61,9,51,1,0,52,9
CHELAN,2015-16,981,32,5,27,1,0,28,5
CLALLAM,2015-16,645,33,7,25,1,0,26,7
CLARK,2015-16,"5,620",424,65,329,15,19,363,65
COLUMBIA,2015-16,25,0,0,0,0,0,0,0
COWLITZ,2015-16,"1,224",42,8,32,2,0,34,8
DOUGLAS,2015-16,511,4,2,2,0,0,2,2
FERRY,2015-16,34,0,0,0,0,0,0,0
FRANKLIN,2015-16,"1,586",18,7,11,0,0,11,7
GARFIELD,2015-16,19,1,0,1,0,0,1,0
GRANT,2015-16,"1,498",34,4,25,4,2,31,4
GRAYS HARBOR,2015-16,793,16,3,12,0,1,13,3
ISLAND,2015-16,801,40,12,29,1,0,30,12
JEFFERSON,2015-16,200,15,2,10,3,0,13,2
KING,2015-16,"24,659","1,023",216,798,47,14,859,216
KITSAP,2015-16,"2,738",103,17,87,8,2,97,17
KITTITAS,2015-16,417,16,2,14,0,0,14,2
KLICKITAT,2015-16,191,17,6,10,1,0,11,6
LEWIS,2015-16,920,29,7,21,0,1,22,7
LINCOLN,2015-16,105,2,0,2,0,0,2,0
MASON,2015-16,614,18,10,7,1,0,8,10
OKANOGAN,2015-16,434,15,3,12,0,0,12,3
PACIFIC,2015-16,226,10,1,7,1,1,9,1
PEND OREILLE,2015-16,107,18,3,16,0,0,16,3
PIERCE,2015-16,"10,468",434,125,291,21,13,325,125
SAN JUAN,2015-16,124,11,6,5,0,0,5,6
SKAGIT,2015-16,"1,462",98,17,72,6,9,87,17
SKAMANIA,2015-16,64,5,2,1,1,1,3,2
SNOHOMISH,2015-16,"8,020",383,89,274,24,6,304,89
SPOKANE,2015-16,"5,893",443,99,339,22,5,366,99
STEVENS,2015-16,238,26,2,22,2,0,24,2
THURSTON,2015-16,"3,181",134,26,100,7,2,109,26
WAHKIAKUM,2015-16,28,2,2,0,0,0,0,2
WALLA WALLA,2015-16,644,23,4,14,3,2,19,4
WHATCOM,2015-16,"2,175",144,28,114,7,1,122,28
WHITMAN,2015-16,400,15,1,12,1,1,14,1
YAKIMA,2015-16,"4,063",74,48,27,0,0,27,48
