Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2016,Arizona,Apache ,,,,,,CC,,,,0.0,,,5.0,,,0.0,0.0,257.0,2.0,252.0,3.0,221.0,3.0,257.0,2.0,2.0,,,256.0,2.0,251.0,2.0,236.0,3.0,0.0,0.0,,,,,
2016,Arizona,Apache ,,,,,,KG,,,,3.0,,,17.0,,,0.0,0.0,692.0,10.0,685.0,18.0,0.0,0.0,676.0,18.0,18.0,,,678.0,17.0,681.0,18.0,0.0,0.0,0.0,0.0,,,,,
2016,Arizona,Apache ,,,,,,MS,,,,1.0,,,29.0,,,732.0,10.0,839.0,7.0,841.0,6.0,0.0,0.0,839.0,7.0,7.0,,,840.0,6.0,840.0,7.0,0.0,0.0,740.0,9.0,,,,,
2016,Arizona,Cochise ,,,,,,CC,,,,0.0,,,15.0,,,0.0,0.0,1136.0,13.0,1129.0,15.0,950.0,15.0,1138.0,14.0,14.0,,,1130.0,14.0,1110.0,14.0,1124.0,15.0,0.0,0.0,,,,,
2016,Arizona,Cochise ,,,,,,KG,,,,2.0,,,23.0,,,0.0,0.0,1332.0,16.0,1322.0,24.0,0.0,0.0,1309.0,25.0,25.0,,,1313.0,25.0,1303.0,27.0,0.0,0.0,0.0,0.0,,,,,
2016,Arizona,Cochise ,,,,,,MS,,,,1.0,,,26.0,,,1336.0,58.0,1422.0,12.0,1427.0,18.0,0.0,0.0,1415.0,22.0,22.0,,,1421.0,15.0,1419.0,24.0,0.0,0.0,1333.0,35.0,,,,,
2016,Arizona,Coconino ,,,,,,CC,,,,4.0,,,58.0,,,0.0,0.0,1370.0,45.0,1388.0,48.0,1081.0,48.0,1373.0,44.0,44.0,,,1374.0,42.0,1372.0,44.0,1360.0,48.0,0.0,0.0,,,,,
2016,Arizona,Coconino ,,,,,,KG,,,,4.0,,,77.0,,,0.0,0.0,1021.0,49.0,1018.0,52.0,0.0,0.0,1006.0,61.0,61.0,,,1006.0,63.0,1003.0,64.0,0.0,0.0,0.0,0.0,,,,,
2016,Arizona,Coconino ,,,,,,MS,,,,5.0,,,74.0,,,1028.0,52.0,1086.0,64.0,1103.0,45.0,0.0,0.0,1102.0,49.0,49.0,,,1096.0,49.0,1104.0,44.0,0.0,0.0,1001.0,64.0,,,,,
2016,Arizona,Gila ,,,,,,CC,,,,3.0,,,5.0,,,0.0,0.0,316.0,3.0,306.0,8.0,247.0,8.0,312.0,7.0,7.0,,,308.0,10.0,307.0,10.0,312.0,8.0,0.0,0.0,,,,,
