Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2009,California,Alameda,,,,,,KG,17933,16346,,,35,,232,,,,,17407,,17348,,,,16901,,,,,16878,,16747,,,,,,,,,,
2009,California,Amador,,,,,,KG,324,303,,,2,,9,,,,,312,,311,,,,308,,,,,308,,305,,,,,,,,,,
2009,California,Butte,,,,,,KG,2503,2242,,,6,,106,,,,,2349,,2348,,,,2288,,,,,2277,,2272,,,,,,,,,,
2009,California,Calaveras,,,,,,KG,385,288,,,0,,24,,,,,350,,342,,,,314,,,,,314,,312,,,,,,,,,,
2009,California,Colusa,,,,,,KG,372,369,,,0,,1,,,,,370,,369,,,,370,,,,,369,,369,,,,,,,,,,
2009,California,Contra Costa,,,,,,KG,13786,12831,,,31,,256,,,,,13388,,13342,,,,13055,,,,,13049,,13007,,,,,,,,,,
2009,California,Del Norte,,,,,,KG,299,270,,,5,,16,,,,,274,,275,,,,270,,,,,272,,272,,,,,,,,,,
2009,California,El Dorado,,,,,,KG,2187,1953,,,20,,129,,,,,2016,,2011,,,,1975,,,,,1970,,1966,,,,,,,,,,
2009,California,Fresno,,,,,,KG,14810,13890,,,9,,142,,,,,14524,,14474,,,,14308,,,,,14170,,14082,,,,,,,,,,
2009,California,Glenn,,,,,,KG,390,376,,,0,,6,,,,,384,,381,,,,380,,,,,381,,379,,,,,,,,,,
2009,California,Humboldt,,,,,,KG,1354,1049,,,5,,138,,,,,1146,,1143,,,,1106,,,,,1088,,1087,,,,,,,,,,
2009,California,Imperial,,,,,,KG,2656,2440,,,3,,8,,,,,2605,,2605,,,,2519,,,,,2542,,2536,,,,,,,,,,
2009,California,Inyo,,,,,,KG,209,203,,,0,,3,,,,,206,,206,,,,205,,,,,204,,206,,,,,,,,,,
2009,California,Kern,,,,,,KG,13515,12377,,,42,,212,,,,,12894,,12848,,,,12593,,,,,12733,,12644,,,,,,,,,,
2009,California,Kings,,,,,,KG,2153,2069,,,0,,33,,,,,2118,,2110,,,,2098,,,,,2099,,2080,,,,,,,,,,
2009,California,Lake,,,,,,KG,753,643,,,1,,28,,,,,707,,701,,,,671,,,,,661,,662,,,,,,,,,,
2009,California,Lassen,,,,,,KG,314,264,,,2,,10,,,,,292,,295,,,,274,,,,,275,,270,,,,,,,,,,
2009,California,Los Angeles,,,,,,KG,118829,106293,,,157,,1632,,,,,114958,,114195,,,,110652,,,,,110863,,109951,,,,,,,,,,
2009,California,Lpine,,,,,,KG,12,11,,,0,,0,,,,,12,,12,,,,12,,,,,12,,11,,,,,,,,,,
2009,California,Madera,,,,,,KG,2190,2070,,,2,,24,,,,,2139,,2135,,,,2102,,,,,2111,,2106,,,,,,,,,,
2009,California,Marin,,,,,,KG,3204,2668,,,3,,226,,,,,2926,,2897,,,,2743,,,,,2786,,2778,,,,,,,,,,
2009,California,Mariposa,,,,,,KG,132,111,,,0,,5,,,,,123,,123,,,,114,,,,,117,,124,,,,,,,,,,
2009,California,Mendocino,,,,,,KG,967,823,,,2,,59,,,,,892,,895,,,,840,,,,,843,,843,,,,,,,,,,
2009,California,Merced,,,,,,KG,4009,3850,,,3,,22,,,,,3960,,3951,,,,3889,,,,,3905,,3881,,,,,,,,,,
2009,California,Modoc,,,,,,KG,118,107,,,0,,4,,,,,114,,114,,,,111,,,,,112,,109,,,,,,,,,,
2009,California,Mono,,,,,,KG,139,136,,,0,,3,,,,,136,,136,,,,136,,,,,136,,136,,,,,,,,,,
2009,California,Monterey,,,,,,KG,6219,5827,,,6,,83,,,,,6057,,6084,,,,5922,,,,,5908,,5894,,,,,,,,,,
2009,California,Napa,,,,,,KG,1718,1647,,,3,,33,,,,,1672,,1673,,,,1659,,,,,1659,,1655,,,,,,,,,,
2009,California,Nevada,,,,,,KG,718,539,,,0,,124,,,,,586,,583,,,,554,,,,,560,,558,,,,,,,,,,
2009,California,Orange,,,,,,KG,40541,36325,,,186,,1107,,,,,38921,,38740,,,,37292,,,,,37330,,37236,,,,,,,,,,
2009,California,Placer,,,,,,KG,5182,4577,,,9,,257,,,,,4858,,4836,,,,4671,,,,,4696,,4704,,,,,,,,,,
2009,California,Plumas,,,,,,KG,172,142,,,0,,25,,,,,147,,147,,,,146,,,,,144,,143,,,,,,,,,,
2009,California,Riverside,,,,,,KG,31624,29822,,,60,,410,,,,,31028,,30871,,,,30330,,,,,30326,,30205,,,,,,,,,,
2009,California,Sacramento,,,,,,KG,19292,16485,,,23,,492,,,,,18326,,18233,,,,17249,,,,,17132,,16989,,,,,,,,,,
2009,California,San Benito,,,,,,KG,827,796,,,0,,9,,,,,818,,815,,,,802,,,,,807,,803,,,,,,,,,,
2009,California,San Bernardino,,,,,,KG,30854,29153,,,41,,363,,,,,30253,,30081,,,,29722,,,,,29707,,29540,,,,,,,,,,
2009,California,San Diego,,,,,,KG,40454,37471,,,90,,1062,,,,,38981,,38811,,,,38031,,,,,38016,,37858,,,,,,,,,,
2009,California,San Francisco,,,,,,KG,6598,6005,,,6,,103,,,,,6319,,6284,,,,6193,,,,,6165,,6163,,,,,,,,,,
2009,California,San Joaquin,,,,,,KG,11041,10495,,,10,,107,,,,,10861,,10840,,,,10634,,,,,10605,,10583,,,,,,,,,,
2009,California,San Luis Obispo,,,,,,KG,2747,2452,,,13,,97,,,,,2620,,2610,,,,2526,,,,,2520,,2494,,,,,,,,,,
2009,California,San Mateo,,,,,,KG,9160,8143,,,20,,165,,,,,8875,,8861,,,,8479,,,,,8431,,8379,,,,,,,,,,
2009,California,Santa Barbara,,,,,,KG,5721,5313,,,11,,171,,,,,5502,,5493,,,,5391,,,,,5406,,5382,,,,,,,,,,
2009,California,Santa Clara,,,,,,KG,24794,23233,,,50,,362,,,,,24280,,24205,,,,23768,,,,,23774,,23709,,,,,,,,,,
2009,California,Santa Cruz,,,,,,KG,3342,2783,,,8,,213,,,,,3056,,3039,,,,2861,,,,,2883,,2882,,,,,,,,,,
2009,California,Shasta,,,,,,KG,2114,1790,,,9,,121,,,,,1940,,1948,,,,1844,,,,,1840,,1832,,,,,,,,,,
2009,California,Sierra,,,,,,KG,22,17,,,0,,0,,,,,22,,22,,,,17,,,,,17,,17,,,,,,,,,,
