Year,State,County,School _district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2010,California,Alameda,,,,,,KG,17721,15988,,,24,,216,,,,,17193,,17038,,,,16688,,,,,16479,,16559,,,,,,,,,,
2010,California,Amador,,,,,,KG,311,294,,,0,,12,,,,,299,,295,,,,298,,,,,298,,298,,,,,,,,,,
2010,California,Butte,,,,,,KG,2497,2210,,,10,,120,,,,,2314,,2308,,,,2233,,,,,2242,,2252,,,,,,,,,,
2010,California,Calaveras,,,,,,KG,394,297,,,2,,22,,,,,354,,346,,,,325,,,,,307,,311,,,,,,,,,,
2010,California,Colusa,,,,,,KG,369,357,,,0,,5,,,,,363,,363,,,,362,,,,,362,,360,,,,,,,,,,
2010,California,Contra Costa,,,,,,KG,13868,12775,,,45,,289,,,,,13393,,13384,,,,13104,,,,,13001,,13038,,,,,,,,,,
2010,California,Del Norte,,,,,,KG,309,281,,,0,,22,,,,,283,,284,,,,282,,,,,283,,284,,,,,,,,,,
2010,California,El Dorado,,,,,,KG,2512,2134,,,8,,191,,,,,2281,,2284,,,,2185,,,,,2178,,2189,,,,,,,,,,
2010,California,Fresno,,,,,,KG,15689,14919,,,16,,184,,,,,15372,,15351,,,,15235,,,,,15091,,15147,,,,,,,,,,
2010,California,Glenn,,,,,,KG,464,446,,,0,,1,,,,,461,,462,,,,448,,,,,448,,449,,,,,,,,,,
2010,California,Humboldt,,,,,,KG,1458,1119,,,2,,142,,,,,1240,,1257,,,,1186,,,,,1168,,1160,,,,,,,,,,
2010,California,Imperial,,,,,,KG,2880,2647,,,4,,11,,,,,2826,,2833,,,,2731,,,,,2757,,2767,,,,,,,,,,
2010,California,Inyo,,,,,,KG,199,192,,,0,,4,,,,,195,,192,,,,194,,,,,194,,194,,,,,,,,,,
2010,California,Kern,,,,,,KG,14406,12916,,,57,,229,,,,,13487,,13401,,,,13222,,,,,13125,,13204,,,,,,,,,,
2010,California,Kings,,,,,,KG,2612,2515,,,5,,33,,,,,2570,,2559,,,,2551,,,,,2535,,2547,,,,,,,,,,
2010,California,Lake,,,,,,KG,751,679,,,2,,20,,,,,723,,712,,,,705,,,,,687,,689,,,,,,,,,,
