Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2011,California,Alameda,,,,,,CC,22366,20622,,,42,,616,,,0,,21341,,21054,,,,21612,,,,,21448,,21174,,,,,,,,,,
2011,California,Alpine,,,,,,CC,24,24,,,0,,1,,,0,,23,,23,,,,23,,,,,23,,23,,,,,,,,,,
2011,California,Amador,,,,,,CC,261,254,,,1,,12,,,0,,249,,249,,,,246,,,,,248,,242,,,,,,,,,,
2011,California,Butte,,,,,,CC,2701,2347,,,4,,115,,,0,,2468,,2426,,,,2466,,,,,2509,,2419,,,,,,,,,,
2011,California,Calaveras,,,,,,CC,286,238,,,0,,24,,,0,,254,,260,,,,257,,,,,265,,248,,,,,,,,,,
2011,California,Colusa,,,,,,CC,315,312,,,1,,2,,,0,,314,,314,,,,313,,,,,315,,311,,,,,,,,,,
2011,California,Contra Costa,,,,,,CC,15725,14820,,,61,,457,,,0,,15090,,14996,,,,15186,,,,,15235,,15002,,,,,,,,,,
2011,California,Del Norte,,,,,,CC,218,173,,,0,,8,,,0,,205,,196,,,,208,,,,,201,,198,,,,,,,,,,
2011,California,El Dorado,,,,,,CC,1944,1734,,,1,,102,,,0,,1774,,1779,,,,1799,,,,,1791,,1723,,,,,,,,,,
2011,California,Fresno,,,,,,CC,13399,12794,,,32,,93,,,0,,13145,,13078,,,,13159,,,,,13175,,12869,,,,,,,,,,
2011,California,Glenn,,,,,,CC,324,312,,,3,,4,,,0,,317,,312,,,,318,,,,,317,,317,,,,,,,,,,
