Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2016,Colorado ,ADAMS,,,,,,CC,7572,7258,125,,,,,,,0.0,0.0,7286,115,7268,133,,,7325,182,,,,7235,123,7191,126,7247.0,125.0,,,7238.0,131.0,,,28
2016,Colorado ,ALAMOSA,,,,,,CC,383,348,0,,,,,,,0.0,0.0,342,0,363,0,,,337,21,,,,352,0,336,0,352.0,0.0,,,344.0,0.0,,,6
2016,Colorado ,ARAPAHOE,,,,,,CC,12896,12116,186,,,,,,,0.0,0.0,12143,198,12059,221,,,12155,477,,,,12180,188,12059,181,12114.0,168.0,,,12082.0,172.0,,,90
2016,Colorado ,ARCHULETA,,,,,,CC,48,44,3,,,,,,,0.0,0.0,44,3,44,3,,,44,3,,,,44,3,44,3,44.0,3.0,,,44.0,3.0,,,1
2016,Colorado ,BACA,,,,,,CC,79,77,1,,,,,,,0.0,0.0,77,1,77,1,,,77,2,,,,77,1,77,1,77.0,1.0,,,77.0,1.0,,,0
2016,Colorado ,BENT,,,,,,CC,105,104,1,,,,,,,0.0,0.0,103,1,105,0,,,103,2,,,,104,1,104,1,104.0,1.0,,,104.0,1.0,,,0
2016,Colorado ,BOULDER,,,,,,CC,6147,5397,363,,,,,,,0.0,0.0,5280,414,5263,483,,,5532,420,,,,5348,380,5393,302,5495.0,317.0,,,5468.0,325.0,,,100
2016,Colorado ,BROOMFIELD,,,,,,CC,1492,1400,36,,,,,,,0.0,0.0,1370,41,1391,45,,,1425,45,,,,1390,34,1394,29,1417.0,38.0,,,1417.0,34.0,,,9
2016,Colorado ,CHAFFEE,,,,,,CC,321,271,30,,,,,,,0.0,0.0,271,32,271,32,,,271,39,,,,272,30,267,30,269.0,31.0,,,274.0,30.0,,,5
2016,Colorado ,CHEYENNE,,,,,,CC,24,21,3,,,,,,,0.0,0.0,21,3,21,3,,,21,3,,,,21,3,21,3,21.0,3.0,,,21.0,3.0,,,0
2016,Colorado ,CLEAR CREEK,,,,,,CC,79,76,2,,,,,,,0.0,0.0,78,1,75,3,,,78,1,,,,75,4,76,3,77.0,2.0,,,76.0,3.0,,,0
2016,Colorado ,CONEJOS,,,,,,CC,152,141,5,,,,,,,0.0,0.0,144,5,140,5,,,143,5,,,,142,5,136,5,139.0,5.0,,,140.0,5.0,,,3
