ï»¿Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2012,Connecticut,Fairfield,,,202,,,KG,12091,,,30,,,,,201,,,11692,,11777,,11523,,11728,,,,,11752,,11752,,,,,,,,,,
2012,Connecticut,Hartford,,,188,,,KG,10512,,,24,,,,,117,,,10144,,10228,,9944,,10176,,,,,10186,,10197,,,,,,,,,,
2012,Connecticut,Litchfield,,,43,,,KG,1826,,,12,,,,,39,,,1760,,1768,,1695,,1764,,,,,1764,,1766,,,,,,,,,,
2012,Connecticut,Middlesex,,,26,,,KG,1538,,,6,,,,,43,,,1480,,1483,,1446,,1483,,,,,1476,,1469,,,,,,,,,,
2012,Connecticut,New Haven,,,164,,,KG,10062,,,24,,,,,72,,,9831,,9901,,9569,,9851,,,,,9881,,9871,,,,,,,,,,
2012,Connecticut,New London,,,57,,,KG,2962,,,13,,,,,49,,,2864,,2879,,2835,,2870,,,,,2867,,2867,,,,,,,,,,
2012,Connecticut,Tolland,,,26,,,KG,1361,,,9,,,,,43,,,1302,,1307,,1258,,1305,,,,,1302,,1302,,,,,,,,,,
2012,Connecticut,Windham,,,23,,,KG,1252,,,6,,,,,37,,,1206,,1206,,1183,,1203,,,,,1203,,1203,,,,,,,,,,
2012,Connecticut,Fairfield,,,123,,,MS,12346,,,53,,,,,102,11852,,11988,,12148,,,,12173,,,,,12173,,12161,,,,11716,,,,,,
2012,Connecticut,Hartford,,,127,,,MS,10345,,,15,,,,,68,9724,,9942,,10190,,,,10211,,,,,10211,,10211,,,,9611,,,,,,
2012,Connecticut,Litchfield,,,29,,,MS,1897,,,5,,,,,19,1721,,1722,,1869,,,,1872,,,,,1872,,1872,,,,1709,,,,,,
2012,Connecticut,Middlesex,,,18,,,MS,1831,,,4,,,,,17,1760,,1758,,1760,,,,1758,,,,,1760,,1760,,,,1758,,,,,,
2012,Connecticut,New Haven,,,120,,,MS,10581,,,17,,,,,52,10211,,10327,,10496,,,,10486,,,,,10486,,10486,,,,10179,,,,,,
2012,Connecticut,New London,,,40,,,MS,3166,,,14,,,,,33,3081,,3093,,3119,,,,3119,,,,,3119,,3119,,,,3071,,,,,,
2012,Connecticut,Tolland,,,14,,,MS,1722,,,10,,,,,14,1686,,1693,,1698,,,,1698,,,,,1698,,1698,,,,1681,,,,,,
2012,Connecticut,Windham,,,21,,,MS,1374,,,1,,,,,6,1338,,1352,,1366,,,,1367,,,,,1367,,1366,,,,1330,,,,,,
2012,Connecticut,Fairfield,,,96,,,CC,5126,,,38,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,3937,144,
2012,Connecticut,Hartford,,,118,,,CC,5810,,,46,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,4143,170,
2012,Connecticut,Litchfield,,,28,,,CC,735,,,9,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,629,14,
2012,Connecticut,Middlesex,,,15,,,CC,548,,,6,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,463,12,
2012,Connecticut,New Haven,,,113,,,CC,4741,,,58,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,4144,105,
2012,Connecticut,New London,,,41,,,CC,1742,,,22,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,1559,60,
2012,Connecticut,Tolland,,,20,,,CC,768,,,11,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,685,40,
2012,Connecticut,Windham,,,21,,,CC,927,,,15,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,816,32,
