Year,State,County,School_district ,City,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2017,Idaho,Ada County,,,,,,K12,18309.0,16442.0,1288.0,,,,,,,7618.0,,11443.0,,17242.0,,11564.0,,17097.0,,,,,17187,,17095.0,,,,7571.0,,,,,,479.0
2017,Idaho,Ada County,,,,,,KG,11529.0,10370.0,821.0,,,,,,,0.0,,10527.0,,10713.0,,10633.0,,10596.0,,,,,10631,,10625.0,,,,0.0,,,,,,254.0
2017,Idaho,Ada County,,,,,,MS,6780.0,6072.0,467.0,,,,,,,6246.0,,0.0,,6468.0,,0.0,,6439.0,,,,,6497,,6411.0,,,,6209.0,,,,,,225.0
2017,Idaho,Adams County,,,,,,K12,91.0,70.0,6.0,,,,,,,40.0,,56.0,,83.0,,57.0,,80.0,,,,,82,,82.0,,,,40.0,,,,,,10.0
2017,Idaho,Adams County,,,,,,KG,49.0,40.0,5.0,,,,,,,0.0,,28.0,,29.0,,29.0,,28.0,,,,,27,,27.0,,,,0.0,,,,,,1.0
2017,Idaho,Adams County,,,,,,MS,42.0,30.0,1.0,,,,,,,32.0,,0.0,,40.0,,0.0,,38.0,,,,,42,,41.0,,,,32.0,,,,,,9.0
2017,Idaho,Bannock County,,,,,,K12,3196.0,2961.0,98.0,,,,,,,1325.0,,1924.0,,3061.0,,1945.0,,3021.0,,,,,3029,,3017.0,,,,1321.0,,,,,,118.0
2017,Idaho,Bannock County,,,,,,KG,1992.0,1820.0,63.0,,,,,,,0.0,,1835.0,,1878.0,,1855.0,,1838.0,,,,,1840,,1837.0,,,,0.0,,,,,,91.0
2017,Idaho,Bannock County,,,,,,MS,1204.0,1141.0,35.0,,,,,,,1146.0,,0.0,,1169.0,,0.0,,1169.0,,,,,1175,,1166.0,,,,1142.0,,,,,,27.0
2017,Idaho,Bear Lake County,,,,,,K12,274.0,265.0,6.0,,,,,,,81.0,,186.0,,267.0,,186.0,,267.0,,,,,267,,267.0,,,,81.0,,,,,,1.0
