Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2007,Illinois,Adams,,,,,,,11694,,,,45,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Alexander,,,,,,,1295,,,,0,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Bond,,,,,,,2285,,,,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Boone,,,,,,,11310,,,,7,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Brown,,,,,,,876,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Bureau,,,,,,,6411,,,,13,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Calhoun,,,,,,,844,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Carroll,,,,,,,2676,,,,1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Cass,,,,,,,2579,,,,2,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Champaign,,,,,,,25856,,,,9,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Christian,,,,,,,6073,,,,7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Clark,,,,,,,2927,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Clay,,,,,,,2532,,,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Clinton,,,,,,,6499,,,,5,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Coles,,,,,,,7057,,,,5,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Cook,,,,,,,507057,,,,643,,1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Crawford,,,,,,,3312,,,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Cumberland,,,,,,,1817,,,,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,De Witt,,,,,,,3115,,,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,DeKalb,,,,,,,18487,,,,12,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Douglas,,,,,,,2922,,,,4,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,DuPage,,,,,,,184941,,,,239,,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Edgar,,,,,,,3439,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Edwards,,,,,,,994,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Effingham,,,,,,,6932,,,,1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Fayette,,,,,,,3382,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Ford,,,,,,,2629,,,,4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Franklin,,,,,,,6799,,,,4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Fulton,,,,,,,5465,,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Gallatin,,,,,,,902,,,,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Greene,,,,,,,2444,,,,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Grundy,,,,,,,12587,,,,15,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Hamilton,,,,,,,1265,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Hancock,,,,,,,3582,,,,11,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Hardin,,,,,,,655,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Henderson,,,,,,,1050,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Henry,,,,,,,9152,,,,4,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Iroquois,,,,,,,5390,,,,2,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Jackson,,,,,,,7417,,,,9,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Jasper,,,,,,,1605,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Jefferson,,,,,,,6441,,,,5,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Jersey,,,,,,,3403,,,,2,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Jo Daviess,,,,,,,3660,,,,3,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Johnson,,,,,,,1916,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Kane,,,,,,,130172,,,,160,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Kankakee,,,,,,,21622,,,,17,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Kendall,,,,,,,23367,,,,16,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Knox,,,,,,,8019,,,,5,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,LaSalle,,,,,,,18738,,,,30,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Illinois,Lake,,,,,,,154379,,,,138,,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
