ï»¿Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2015,Indiana,Adams,,,,,,KG,565,290,,,,,,,,371,,354,,385,,293,,369,,,,,409,,321,,,,0,,,,,,
2015,Indiana,Adams,,,,,,MS,566,334,,,,,,,,523,,339,,522,,N/A,,437,,,,,430,,394,,,,342,,,,,,
2015,Indiana,Allen,,,,,,KG,5336,2925,,,,,,,,3679,,4121,,3159,,3944,,4210,,,,,4026,,3320,,,,0,,,,,,
2015,Indiana,Allen,,,,,,MS,6071,3588,,,,,,,,5199,,4070,,5198,,N/A,,4582,,,,,4345,,3577,,,,4021,,,,,,
2015,Indiana,Bartholomew,,,,,,KG,1197,594,,,,,,,,860,,974,,624,,998,,970,,,,,964,,860,,,,0,,,,,,
2015,Indiana,Bartholomew,,,,,,MS,1137,855,,,,,,,,1107,,962,,1106,,N/A,,1029,,,,,999,,901,,,,877,,,,,,
2015,Indiana,Benton,,,,,,KG,102,70,,,,,,,,83,,82,,87,,99,,86,,,,,83,,76,,,,0,,,,,,
2015,Indiana,Benton,,,,,,MS,110,63,,,,,,,,100,,87,,100,,N/A,,96,,,,,92,,66,,,,84,,,,,,
2015,Indiana,Blackford,,,,,,KG,153,110,,,,,,,,137,,141,,136,,119,,143,,,,,139,,129,,,,0,,,,,,
2015,Indiana,Blackford,,,,,,MS,179,139,,,,,,,,165,,143,,176,,N/A,,162,,,,,156,,148,,,,144,,,,,,
2015,Indiana,Boone,,,,,,KG,966,515,,,,,,,,705,,741,,561,,730,,749,,,,,740,,705,,,,0,,,,,,
