Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2014,Maine,Androscoggin,,,,,,FG,1156,,28,0,,,27,23,4,,,802,,,,,,1117,,,,,1128,,1123,,,,,,,,,,2
2014,Maine,Androscoggin,,,,,,KG,1272,,47,3,,,44,43,1,,,808,,,,,,1156,,,,,1220,,1197,,,,,,,,,,17
2014,Maine,Androscoggin,,,,,,MS,1145,,13,0,,,13,13,0,,,536,,,,,,1129,,,,,1123,,863,,,,,,,,,,10
2014,Maine,Aroostook,,,,,,FG,678,,10,0,,,6,6,0,,,624,,,,,,665,,,,,673,,674,,,,,,,,,,0
2014,Maine,Aroostook,,,,,,KG,639,,6,2,,,4,4,0,,,601,,,,,,602,,,,,634,,629,,,,,,,,,,0
2014,Maine,Aroostook,,,,,,MS,688,,6,2,,,4,4,0,,,530,,,,,,683,,,,,683,,681,,,,,,,,,,1
2014,Maine,Cumberland,,,,,,FG,2532,,113,0,,,101,96,5,,,1796,,,,,,2334,,,,,2389,,2348,,,,,,,,,,23
2014,Maine,Cumberland,,,,,,KG,2441,,135,10,,,125,119,6,,,1736,,,,,,2167,,,,,2272,,2285,,,,,,,,,,37
2014,Maine,Cumberland,,,,,,MS,2329,,77,29,,,48,47,1,,,838,,,,,,2241,,,,,2245,,2224,,,,,,,,,,30
2014,Maine,Franklin,,,,,,FG,289,,7,0,,,7,7,0,,,257,,,,,,279,,,,,285,,282,,,,,,,,,,1
2014,Maine,Franklin,,,,,,KG,312,,15,2,,,13,13,0,,,261,,,,,,299,,,,,304,,302,,,,,,,,,,0
2014,Maine,Franklin,,,,,,MS,385,,11,0,,,11,11,0,,,136,,,,,,377,,,,,377,,377,,,,,,,,,,0
2014,Maine,Hancock,,,,,,FG,453,,32,0,,,31,29,2,,,241,,,,,,424,,,,,434,,435,,,,,,,,,,4
2014,Maine,Hancock,,,,,,KG,462,,46,0,,,46,46,0,,,246,,,,,,415,,,,,434,,438,,,,,,,,,,3
2014,Maine,Hancock,,,,,,MS,402,,27,1,,,26,26,0,,,136,,,,,,373,,,,,374,,375,,,,,,,,,,1
2014,Maine,Kennebec,,,,,,FG,1164,,48,0,,,46,45,1,,,1027,,,,,,1106,,,,,1129,,1124,,,,,,,,,,4
2014,Maine,Kennebec,,,,,,KG,1122,,46,11,,,35,35,0,,,962,,,,,,1020,,,,,1084,,1065,,,,,,,,,,10
2014,Maine,Kennebec,,,,,,MS,764,,15,1,,,14,14,0,,,511,,,,,,747,,,,,747,,747,,,,,,,,,,9
2014,Maine,Knox,,,,,,FG,371,,23,0,,,21,20,1,,,298,,,,,,347,,,,,357,,353,,,,,,,,,,2
2014,Maine,Knox,,,,,,KG,372,,22,0,,,22,21,1,,,255,,,,,,341,,,,,340,,356,,,,,,,,,,4
2014,Maine,Knox,,,,,,MS,515,,16,4,,,12,12,0,,,389,,,,,,504,,,,,506,,507,,,,,,,,,,1
2014,Maine,Lincoln,,,,,,FG,243,,14,0,,,14,14,0,,,164,,,,,,216,,,,,232,,234,,,,,,,,,,9
2014,Maine,Lincoln,,,,,,KG,239,,6,0,,,6,6,0,,,170,,,,,,200,,,,,224,,224,,,,,,,,,,9
2014,Maine,Lincoln,,,,,,MS,349,,5,1,,,4,4,0,,,219,,,,,,346,,,,,348,,348,,,,,,,,,,0
2014,Maine,Oxford,,,,,,FG,430,,17,0,,,17,17,0,,,389,,,,,,415,,,,,418,,418,,,,,,,,,,2
2014,Maine,Oxford,,,,,,KG,452,,25,1,,,24,24,0,,,412,,,,,,429,,,,,435,,436,,,,,,,,,,2
2014,Maine,Oxford,,,,,,MS,552,,16,3,,,13,13,0,,,269,,,,,,541,,,,,540,,539,,,,,,,,,,0
2014,Maine,Penobscot,,,,,,FG,1444,,47,0,,,38,29,9,,,1204,,,,,,1383,,,,,1400,,1399,,,,,,,,,,4
2014,Maine,Penobscot,,,,,,KG,1406,,61,8,,,53,41,12,,,1159,,,,,,1336,,,,,1366,,1368,,,,,,,,,,9
2014,Maine,Penobscot,,,,,,MS,1433,,22,2,,,20,15,5,,,770,,,,,,1410,,,,,1416,,1416,,,,,,,,,,0
