Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2017,Michigan,Alcona,,,,,,CC,47,46,0,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Alcona,,,,,,MS,46,41,4,3,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Alger,,,,,,CC,117,106,0,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Alger,,,,,,MS,72,66,1,1,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Allegan,,,,,,CC,1792,1643,26,1,,,,18.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Allegan,,,,,,MS,1363,1302,39,3,,,,29.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Alpena,,,,,,CC,566,506,15,1,,,,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Alpena,,,,,,KG,288,272,13,0,,,,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Alpena,,,,,,MS,297,285,10,2,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Antrim,,,,,,CC,297,267,7,0,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Antrim,,,,,,KG,262,246,9,0,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Antrim,,,,,,MS,284,259,13,0,,,,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Arenac,,,,,,CC,151,135,1,0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Arenac,,,,,,KG,144,141,1,0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Arenac,,,,,,MS,148,130,5,0,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Baraga,,,,,,CC,58,49,2,0,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Baraga,,,,,,KG,90,82,5,0,,,,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Baraga,,,,,,MS,97,94,2,0,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Barry,,,,,,CC,777,688,8,2,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Barry,,,,,,KG,645,615,19,0,,,,15.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Barry,,,,,,MS,556,538,9,1,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Bay,,,,,,CC,1566,1376,13,2,,,,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Bay,,,,,,KG,1016,978,21,5,,,,13.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Bay,,,,,,MS,1085,1033,20,3,,,,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Benzie,,,,,,CC,186,162,2,0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Benzie,,,,,,KG,129,118,6,1,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Benzie,,,,,,MS,128,114,4,1,,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Berrien,,,,,,CC,2311,2083,47,0,,,,33.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Berrien,,,,,,KG,2070,1982,51,3,,,,42.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Berrien,,,,,,MS,1845,1784,34,1,,,,29.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Branch,,,,,,CC,569,535,12,1,,,,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Branch,,,,,,KG,495,467,13,0,,,,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Branch,,,,,,MS,433,407,14,2,,,,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,COUNTY,,,,,,KG,65,60,2,0,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Calhoun,,,,,,CC,2180,1931,25,3,,,,17.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Calhoun,,,,,,KG,1626,1546,40,0,,,,34.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Calhoun,,,,,,MS,1518,1480,21,1,,,,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Cass,,,,,,CC,342,321,4,0,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Cass,,,,,,KG,466,446,12,1,,,,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Cass,,,,,,MS,429,420,6,0,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Charlevoix,,,,,,CC,269,244,13,0,,,,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Charlevoix,,,,,,KG,247,224,17,0,,,,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Charlevoix,,,,,,MS,263,243,8,1,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Michigan,Cheboygan,,,,,,CC,329,297,14,1,,,,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
