ï»¿Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2017,Minnesota,AITKIN,,,,,,KG,114,,,0,,,2,,,,,96,2,111,3,,,93,3,3,,,101,3,100,3,,,,,,,,,
2017,Minnesota,ANOKA,,,,,,KG,4059,,,1,,,65,,,,,3834,153,3908,121,,,3862,135,135,,,3875,125,3861,133,,,,,,,,,
2017,Minnesota,BECKER,,,,,,KG,343,,,0,,,5,,,,,323,11,333,9,,,319,16,16,,,318,16,318,16,,,,,,,,,
2017,Minnesota,BELTRAMI,,,,,,KG,664,,,1,,,15,,,,,605,22,639,17,,,610,21,21,,,611,20,608,20,,,,,,,,,
2017,Minnesota,BENTON,,,,,,KG,572,,,0,,,7,,,,,549,14,555,14,,,552,13,13,,,551,14,550,14,,,,,,,,,
2017,Minnesota,BIG STONE,,,,,,KG,60,,,0,,,0,,,,,56,0,58,0,,,56,0,0,,,56,0,56,0,,,,,,,,,
2017,Minnesota,BLUE EARTH,,,,,,KG,722,,,0,,,5,,,,,694,17,703,11,,,698,17,17,,,696,15,693,17,,,,,,,,,
2017,Minnesota,BROWN,,,,,,KG,343,,,0,,,3,,,,,337,4,338,3,,,339,4,4,,,339,3,337,3,,,,,,,,,
2017,Minnesota,CARLTON,,,,,,KG,513,,,1,,,7,,,,,483,12,494,10,,,486,11,11,,,487,13,488,13,,,,,,,,,
2017,Minnesota,CARVER,,,,,,KG,1377,,,0,,,32,,,,,1267,65,1313,46,,,1280,62,62,,,1290,57,1278,57,,,,,,,,,
2017,Minnesota,CASS,,,,,,KG,279,,,1,,,9,,,,,239,12,263,10,,,242,12,12,,,244,12,241,13,,,,,,,,,
2017,Minnesota,CHIPPEWA,,,,,,KG,106,,,0,,,1,,,,,99,5,101,4,,,101,3,3,,,100,4,101,3,,,,,,,,,
2017,Minnesota,CHISAGO,,,,,,KG,547,,,0,,,17,,,,,520,19,523,24,,,520,24,24,,,522,24,520,24,,,,,,,,,
2017,Minnesota,CLAY,,,,,,KG,941,,,0,,,17,,,,,840,20,878,20,,,845,19,19,,,851,19,848,20,,,,,,,,,
2017,Minnesota,CLEARWATER,,,,,,KG,108,,,0,,,3,,,,,91,3,101,3,,,93,3,3,,,95,3,93,3,,,,,,,,,
2017,Minnesota,COOK,,,,,,KG,71,,,0,,,1,,,,,65,2,66,2,,,66,1,1,,,66,1,66,1,,,,,,,,,
2017,Minnesota,COTTONWOOD,,,,,,KG,136,,,0,,,2,,,,,130,2,130,3,,,132,2,2,,,130,3,131,2,,,,,,,,,
2017,Minnesota,CROW WING,,,,,,KG,606,,,0,,,19,,,,,555,34,575,21,,,559,29,29,,,562,29,560,29,,,,,,,,,
2017,Minnesota,DAKOTA,,,,,,KG,5405,,,0,,,89,,,,,5090,188,5184,143,,,5110,194,194,,,5153,169,5150,160,,,,,,,,,
2017,Minnesota,DODGE,,,,,,KG,372,,,0,,,1,,,,,363,3,367,4,,,366,3,3,,,363,2,363,2,,,,,,,,,
2017,Minnesota,DOUGLAS,,,,,,KG,434,,,0,,,10,,,,,409,17,410,16,,,413,16,16,,,412,15,410,16,,,,,,,,,
2017,Minnesota,FARIBAULT,,,,,,KG,161,,,0,,,1,,,,,152,2,159,1,,,153,2,2,,,153,2,153,2,,,,,,,,,
2017,Minnesota,FILLMORE,,,,,,KG,243,,,1,,,0,,,,,203,6,227,1,,,206,4,4,,,207,3,209,3,,,,,,,,,
2017,Minnesota,FREEBORN,,,,,,KG,300,,,0,,,5,,,,,272,7,289,5,,,273,6,6,,,274,5,275,5,,,,,,,,,
2017,Minnesota,GOODHUE,,,,,,KG,504,,,0,,,5,,,,,485,11,493,9,,,489,11,11,,,489,12,488,11,,,,,,,,,
2017,Minnesota,GRANT,,,,,,KG,86,,,0,,,1,,,,,80,4,83,2,,,83,2,2,,,84,2,83,2,,,,,,,,,
2017,Minnesota,HENNEPIN,,,,,,KG,14448,,,9,,,219,,,,,13019,484,13490,422,,,13068,494,494,,,13189,438,13116,438,,,,,,,,,
2017,Minnesota,HOUSTON,,,,,,KG,278,,,0,,,6,,,,,245,6,255,7,,,248,6,6,,,251,6,248,6,,,,,,,,,
2017,Minnesota,HUBBARD,,,,,,KG,199,,,0,,,4,,,,,182,9,193,6,,,185,7,7,,,182,9,182,9,,,,,,,,,
2017,Minnesota,ISANTI,,,,,,KG,461,,,0,,,4,,,,,395,21,413,17,,,403,18,18,,,395,19,398,19,,,,,,,,,
2017,Minnesota,ITASCA,,,,,,KG,529,,,0,,,12,,,,,494,27,510,17,,,503,23,23,,,505,22,504,22,,,,,,,,,
2017,Minnesota,JACKSON,,,,,,KG,101,,,0,,,2,,,,,96,2,96,2,,,96,2,2,,,97,2,97,2,,,,,,,,,
2017,Minnesota,KANABEC,,,,,,KG,136,,,0,,,1,,,,,129,6,134,1,,,132,3,3,,,133,3,134,2,,,,,,,,,
2017,Minnesota,KANDIYOHI,,,,,,KG,506,,,0,,,12,,,,,478,14,487,12,,,478,14,14,,,478,15,478,15,,,,,,,,,
2017,Minnesota,KITTSON,,,,,,KG,52,,,0,,,0,,,,,50,0,52,0,,,50,0,0,,,50,0,50,0,,,,,,,,,
2017,Minnesota,KOOCHICHING,,,,,,KG,119,,,0,,,4,,,,,103,7,110,5,,,104,6,6,,,104,5,102,5,,,,,,,,,
2017,Minnesota,LAC QUI PARLE,,,,,,KG,66,,,0,,,0,,,,,66,0,66,0,,,66,0,0,,,65,0,64,0,,,,,,,,,
2017,Minnesota,LAKE,,,,,,KG,90,,,0,,,1,,,,,84,4,88,2,,,85,4,4,,,87,1,87,1,,,,,,,,,
2017,Minnesota,LAKE OF THE WOODS,,,,,,KG,30,,,0,,,0,,,,,30,0,30,0,,,30,0,0,,,30,0,30,0,,,,,,,,,
2017,Minnesota,LE SUEUR,,,,,,KG,279,,,0,,,6,,,,,257,13,265,9,,,261,11,11,,,262,10,263,8,,,,,,,,,
2017,Minnesota,LINCOLN,,,,,,KG,42,,,0,,,1,,,,,37,1,39,1,,,38,1,1,,,38,1,38,1,,,,,,,,,
2017,Minnesota,LYON,,,,,,KG,400,,,0,,,2,,,,,373,2,387,2,,,379,2,2,,,378,2,378,2,,,,,,,,,
2017,Minnesota,MAHNOMEN,,,,,,KG,150,,,0,,,0,,,,,139,3,147,0,,,139,3,3,,,138,3,138,3,,,,,,,,,
2017,Minnesota,MARSHALL,,,,,,KG,98,,,0,,,1,,,,,95,3,95,2,,,96,2,2,,,95,3,95,3,,,,,,,,,
2017,Minnesota,MARTIN,,,,,,KG,232,,,0,,,7,,,,,190,10,217,10,,,197,9,9,,,197,10,196,9,,,,,,,,,
2017,Minnesota,MCLEOD,,,,,,KG,418,,,0,,,13,,,,,388,20,399,18,,,390,19,19,,,391,19,391,19,,,,,,,,,
2017,Minnesota,MEEKER,,,,,,KG,266,,,0,,,13,,,,,236,16,249,15,,,244,15,15,,,247,14,247,14,,,,,,,,,
2017,Minnesota,MILLE LACS,,,,,,KG,435,,,0,,,9,,,,,386,17,411,15,,,392,16,16,,,397,14,393,14,,,,,,,,,
2017,Minnesota,MORRISON,,,,,,KG,367,,,0,,,7,,,,,338,16,348,11,,,342,14,14,,,340,15,340,14,,,,,,,,,
2017,Minnesota,MOWER,,,,,,KG,559,,,8,,,8,,,,,524,17,539,10,,,532,16,16,,,534,15,529,11,,,,,,,,,
2017,Minnesota,MURRAY,,,,,,KG,83,,,0,,,1,,,,,82,1,81,1,,,82,1,1,,,82,1,82,1,,,,,,,,,
2017,Minnesota,NICOLLET,,,,,,KG,399,,,0,,,1,,,,,383,4,392,3,,,382,5,5,,,385,4,385,4,,,,,,,,,
2017,Minnesota,NOBLES,,,,,,KG,428,,,0,,,26,,,,,378,30,395,27,,,385,29,29,,,379,31,387,29,,,,,,,,,
2017,Minnesota,NORMAN,,,,,,KG,66,,,0,,,0,,,,,60,0,64,0,,,60,0,0,,,60,0,60,0,,,,,,,,,
2017,Minnesota,OLMSTED,,,,,,KG,2149,,,1,,,27,,,,,2054,57,2101,42,,,2061,58,58,,,2075,56,2071,54,,,,,,,,,
2017,Minnesota,OTTER TAIL,,,,,,KG,595,,,0,,,19,,,,,521,30,549,28,,,530,26,26,,,530,24,533,27,,,,,,,,,
2017,Minnesota,PENNINGTON,,,,,,KG,191,,,0,,,1,,,,,181,2,189,2,,,183,2,2,,,184,2,183,2,,,,,,,,,
2017,Minnesota,PINE,,,,,,KG,241,,,0,,,3,,,,,222,8,233,4,,,224,8,8,,,228,5,225,5,,,,,,,,,
2017,Minnesota,PIPESTONE,,,,,,KG,201,,,0,,,3,,,,,167,4,185,3,,,169,4,4,,,171,4,170,4,,,,,,,,,
2017,Minnesota,POLK,,,,,,KG,432,,,0,,,9,,,,,408,12,415,9,,,412,11,11,,,412,11,408,11,,,,,,,,,
2017,Minnesota,POPE,,,,,,KG,114,,,0,,,0,,,,,103,2,113,1,,,105,1,1,,,106,1,107,1,,,,,,,,,
2017,Minnesota,RAMSEY,,,,,,KG,6813,,,3,,,90,,,,,6111,171,6436,148,,,6142,168,168,,,6156,157,6161,153,,,,,,,,,
2017,Minnesota,RED LAKE,,,,,,KG,62,,,1,,,1,,,,,58,2,61,1,,,58,2,2,,,59,2,58,2,,,,,,,,,
2017,Minnesota,REDWOOD,,,,,,KG,152,,,0,,,0,,,,,146,2,147,2,,,146,3,3,,,146,3,145,3,,,,,,,,,
2017,Minnesota,RENVILLE,,,,,,KG,188,,,1,,,20,,,,,166,21,166,21,,,166,22,22,,,167,21,167,21,,,,,,,,,
2017,Minnesota,RICE,,,,,,KG,682,,,0,,,11,,,,,640,24,642,20,,,644,22,22,,,642,20,638,19,,,,,,,,,
2017,Minnesota,ROCK,,,,,,KG,116,,,0,,,1,,,,,113,1,113,1,,,115,1,1,,,114,1,114,1,,,,,,,,,
2017,Minnesota,ROSEAU,,,,,,KG,178,,,0,,,3,,,,,168,5,174,4,,,168,5,5,,,168,5,167,5,,,,,,,,,
2017,Minnesota,SCOTT,,,,,,KG,2231,,,2,,,48,,,,,2070,115,2123,88,,,2090,115,115,,,2100,110,2107,95,,,,,,,,,
2017,Minnesota,SHERBURNE,,,,,,KG,1191,,,2,,,28,,,,,1111,62,1146,41,,,1122,57,57,,,1124,54,1115,55,,,,,,,,,
2017,Minnesota,SIBLEY,,,,,,KG,166,,,0,,,2,,,,,140,5,154,2,,,146,3,3,,,143,4,143,4,,,,,,,,,
2017,Minnesota,ST. LOUIS,,,,,,KG,1735,,,5,,,29,,,,,1558,67,1624,55,,,1598,64,64,,,1574,66,1595,62,,,,,,,,,
2017,Minnesota,STEARNS,,,,,,KG,1804,,,4,,,45,,,,,1616,79,1677,69,,,1637,75,75,,,1633,80,1631,77,,,,,,,,,
2017,Minnesota,STEELE,,,,,,KG,547,,,1,,,4,,,,,516,14,535,7,,,521,14,14,,,527,12,523,11,,,,,,,,,
2017,Minnesota,STEVENS,,,,,,KG,124,,,0,,,3,,,,,116,4,119,4,,,120,3,3,,,120,3,119,3,,,,,,,,,
2017,Minnesota,SWIFT,,,,,,KG,167,,,0,,,2,,,,,152,4,163,3,,,154,5,5,,,158,3,155,4,,,,,,,,,
2017,Minnesota,TODD,,,,,,KG,194,,,0,,,3,,,,,181,7,188,5,,,185,6,6,,,187,6,187,6,,,,,,,,,
2017,Minnesota,TRAVERSE,,,,,,KG,22,,,0,,,0,,,,,22,0,22,0,,,22,0,0,,,22,0,22,0,,,,,,,,,
2017,Minnesota,WABASHA,,,,,,KG,238,,,1,,,3,,,,,224,10,234,4,,,230,6,6,,,232,5,231,5,,,,,,,,,
2017,Minnesota,WADENA,,,,,,KG,232,,,0,,,23,,,,,186,30,207,23,,,202,30,30,,,202,29,200,30,,,,,,,,,
2017,Minnesota,WASECA,,,,,,KG,199,,,0,,,0,,,,,193,1,197,0,,,193,1,1,,,194,1,192,2,,,,,,,,,
2017,Minnesota,WASHINGTON,,,,,,KG,3232,,,1,,,40,,,,,3061,121,3108,93,,,3075,113,113,,,3075,106,3073,109,,,,,,,,,
2017,Minnesota,WATONWAN,,,,,,KG,160,,,0,,,0,,,,,158,0,158,0,,,159,0,0,,,156,0,156,0,,,,,,,,,
