Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2016,NY,ALBANY,,,,,,K12,36440.0,35624,,,54,,,,122,,,36134,,,,,,,,,36173,,36135,,,,,,,,,,,,
2016,NY,ALLEGANY,,,,,,K12,5627.0,5512,,,36,,,,38,,,5552,,,,,,,,,5557,,5569,,,,,,,,,,,,
2016,NY,BROOME,,,,,,K12,24643.0,24301,,,52,,,,111,,,24448,,,,,,,,,24480,,24474,,,,,,,,,,,,
2016,NY,CATTARAUGUS,,,,,,K12,12221.0,12011,,,13,,,,67,,,12135,,,,,,,,,12147,,12157,,,,,,,,,,,,
2016,NY,CAYUGA,,,,,,K12,8832.0,8765,,,9,,,,28,,,8800,,,,,,,,,8802,,8802,,,,,,,,,,,,
2016,NY,CHAUTAUQUA,,,,,,K12,18755.0,18446,,,89,,,,103,,,18553,,,,,,,,,18588,,18600,,,,,,,,,,,,
2016,NY,CHEMUNG,,,,,,K12,11217.0,11097,,,11,,,,44,,,11163,,,,,,,,,11161,,11163,,,,,,,,,,,,
2016,NY,CHENANGO,,,,,,K12,7268.0,7195,,,10,,,,38,,,7216,,,,,,,,,7219,,7217,,,,,,,,,,,,
2016,NY,CLINTON,,,,,,K12,10020.0,9893,,,12,,,,40,,,9944,,,,,,,,,9953,,9950,,,,,,,,,,,,
2016,NY,COLUMBIA,,,,,,K12,7072.0,6919,,,9,,,,66,,,6968,,,,,,,,,6975,,6986,,,,,,,,,,,,
2016,NY,CORTLAND,,,,,,K12,5613.0,5568,,,9,,,,29,,,5577,,,,,,,,,5573,,5580,,,,,,,,,,,,
2016,NY,DELAWARE,,,,,,K12,5527.0,5401,,,16,,,,51,,,5464,,,,,,,,,5469,,5471,,,,,,,,,,,,
2016,NY,DUTCHESS,,,,,,K12,38977.0,37919,,,82,,,,374,,,38427,,,,,,,,,38485,,38475,,,,,,,,,,,,
2016,NY,ERIE,,,,,,K12,112407.0,108905,,,355,,,,681,,,110847,,,,,,,,,110951,,110735,,,,,,,,,,,,
2016,NY,ESSEX,,,,,,K12,3591.0,3496,,,5,,,,11,,,3560,,,,,,,,,3571,,3569,,,,,,,,,,,,
2016,NY,FRANKLIN,,,,,,K12,5803.0,5740,,,15,,,,33,,,5763,,,,,,,,,5756,,5766,,,,,,,,,,,,
2016,NY,FULTON,,,,,,K12,7042.0,6950,,,9,,,,25,,,7002,,,,,,,,,7013,,7007,,,,,,,,,,,,
2016,NY,GENESEE,,,,,,K12,8145.0,7978,,,15,,,,56,,,8069,,,,,,,,,8083,,8081,,,,,,,,,,,,
2016,NY,GREENE,,,,,,K12,4509.0,4423,,,8,,,,53,,,4452,,,,,,,,,4448,,4452,,,,,,,,,,,,
2016,NY,HAMILTON,,,,,,K12,280.0,274,,,1,,,,1,,,278,,,,,,,,,279,,278,,,,,,,,,,,,
2016,NY,HERKIMER,,,,,,K12,8029.0,7872,,,17,,,,50,,,7956,,,,,,,,,7967,,7965,,,,,,,,,,,,
2016,NY,JEFFERSON,,,,,,K12,15734.0,15590,,,26,,,,64,,,15648,,,,,,,,,15654,,15653,,,,,,,,,,,,
2016,NY,LEWIS,,,,,,K12,3944.0,3893,,,4,,,,13,,,3930,,,,,,,,,3930,,3931,,,,,,,,,,,,
2016,NY,LIVINGSTON,,,,,,K12,5757.0,5666,,,10,,,,37,,,5710,,,,,,,,,5715,,5721,,,,,,,,,,,,
2016,NY,MADISON,,,,,,K12,9522.0,9413,,,13,,,,57,,,9448,,,,,,,,,9455,,9456,,,,,,,,,,,,
2016,NY,MONROE,,,,,,K12,101796.0,100519,,,147,,,,506,,,101127,,,,,,,,,101166,,101130,,,,,,,,,,,,
2016,NY,MONTGOMERY,,,,,,K12,6780.0,6600,,,12,,,,24,,,6713,,,,,,,,,6721,,6718,,,,,,,,,,,,
2016,NY,NASSAU,,,,,,K12,197571.0,192264,,,370,,,,1041,,,195598,,,,,,,,,195837,,195498,,,,,,,,,,,,
2016,NY,NIAGARA,,,,,,K12,27001.0,26634,,,51,,,,87,,,26844,,,,,,,,,26838,,26854,,,,,,,,,,,,
2016,NY,ONEIDA,,,,,,K12,30743.0,30348,,,42,,,,109,,,30546,,,,,,,,,30593,,30561,,,,,,,,,,,,
2016,NY,ONONDAGA,,,,,,K12,65995.0,64821,,,111,,,,269,,,65395,,,,,,,,,65552,,65351,,,,,,,,,,,,
2016,NY,ONTARIO,,,,,,K12,11777.0,11631,,,40,,,,65,,,11677,,,,,,,,,11702,,11699,,,,,,,,,,,,
2016,NY,ORANGE,,,,,,K12,57692.0,56374,,,95,,,,504,,,57007,,,,,,,,,57044,,56988,,,,,,,,,,,,
2016,NY,ORLEANS,,,,,,K12,5833.0,5734,,,7,,,,40,,,5784,,,,,,,,,5787,,5787,,,,,,,,,,,,
2016,NY,OSWEGO,,,,,,K12,18425.0,18185,,,57,,,,71,,,18290,,,,,,,,,18317,,18326,,,,,,,,,,,,
2016,NY,OTSEGO,,,,,,K12,5896.0,5801,,,13,,,,47,,,5842,,,,,,,,,5842,,5849,,,,,,,,,,,,
2016,NY,PUTNAM,,,,,,K12,14234.0,13732,,,37,,,,152,,,13892,,,,,,,,,14004,,13992,,,,,,,,,,,,
2016,NY,RENSSELAER,,,,,,K12,18727.0,18364,,,22,,,,78,,,18567,,,,,,,,,18587,,18593,,,,,,,,,,,,
2016,NY,ROCKLAND,,,,,,K12,38889.0,37376,,,36,,,,185,,,38298,,,,,,,,,38386,,38319,,,,,,,,,,,,
2016,NY,SARATOGA,,,,,,K12,31746.0,31307,,,66,,,,190,,,31512,,,,,,,,,31510,,31529,,,,,,,,,,,,
2016,NY,SCHENECTADY,,,,,,K12,19545.0,19006,,,18,,,,61,,,19344,,,,,,,,,19375,,19364,,,,,,,,,,,,
2016,NY,SCHOHARIE,,,,,,K12,4252.0,4071,,,9,,,,33,,,4197,,,,,,,,,4210,,4220,,,,,,,,,,,,
2016,NY,SCHUYLER,,,,,,K12,1493.0,1477,,,3,,,,3,,,1490,,,,,,,,,1491,,1491,,,,,,,,,,,,
2016,NY,SENECA,,,,,,K12,3677.0,3628,,,9,,,,18,,,3652,,,,,,,,,3653,,3653,,,,,,,,,,,,
2016,NY,ST. LAWRENCE,,,,,,K12,14098.0,13940,,,17,,,,61,,,14032,,,,,,,,,14044,,14042,,,,,,,,,,,,
2016,NY,STEUBEN,,,,,,K12,13132.0,12975,,,13,,,,81,,,13026,,,,,,,,,13033,,13037,,,,,,,,,,,,
2016,NY,SUFFOLK,,,,,,K12,236204.0,227398,,,974,,,,2187,,,232235,,,,,,,,,232493,,231747,,,,,,,,,,,,
2016,NY,SULLIVAN,,,,,,K12,8703.0,8457,,,15,,,,62,,,8605,,,,,,,,,8607,,8612,,,,,,,,,,,,
2016,NY,TIOGA,,,,,,K12,5744.0,5571,,,16,,,,67,,,5660,,,,,,,,,5662,,5669,,,,,,,,,,,,
2016,NY,TOMPKINS,,,,,,K12,9287.0,8942,,,16,,,,250,,,9014,,,,,,,,,9016,,9013,,,,,,,,,,,,
2016,NY,ULSTER,,,,,,K12,20025.0,19228,,,80,,,,411,,,19470,,,,,,,,,19504,,19489,,,,,,,,,,,,
2016,NY,WARREN,,,,,,K12,7934.0,7800,,,15,,,,39,,,7882,,,,,,,,,7892,,7893,,,,,,,,,,,,
2016,NY,WASHINGTON,,,,,,K12,6923.0,6838,,,9,,,,33,,,6881,,,,,,,,,6888,,6888,,,,,,,,,,,,
2016,NY,WAYNE,,,,,,K12,13068.0,12909,,,30,,,,40,,,12985,,,,,,,,,12991,,12996,,,,,,,,,,,,
2016,NY,WESTCHESTER,,,,,,K12,145111.0,140356,,,256,,,,612,,,143555,,,,,,,,,143795,,143719,,,,,,,,,,,,
2016,NY,WYOMING,,,,,,K12,4050.0,3905,,,4,,,,27,,,4017,,,,,,,,,4023,,4017,,,,,,,,,,,,
2016,NY,YATES,,,,,,K12,2152.0,2121,,,12,,,,8,,,2137,,,,,,,,,2143,,2140,,,,,,,,,,,,
