ï»¿Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2014,Oregon,Statewide Online Programs,,,5,,,KG,242,165,,4,,,50,,,,,195,,193,,180,,196,,,180,,183,,183,,,,,,,,,,3
2014,Oregon,Baker,,,7,,,KG,151,135,,1,,,11,,,,,142,,141,,138,,142,,,139,,140,,141,,,,,,,,,,0
2014,Oregon,Benton,,,23,,,KG,843,750,,1,,,50,,,,,794,,783,,771,,795,,,784,,780,,789,,,,,,,,,,0
2014,Oregon,Clackamas,,,107,,,KG,4328,3835,,12,,,314,,,,,4071,,4014,,3941,,4089,,,4015,,4010,,3997,,,,,,,,,,4
2014,Oregon,Clatsop,,,7,,,KG,417,373,,1,,,22,,,,,397,,394,,381,,399,,,391,,392,,390,,,,,,,,,,0
2014,Oregon,Columbia,,,15,,,KG,583,532,,2,,,29,,,,,556,,556,,545,,558,,,555,,550,,549,,,,,,,,,,0
2014,Oregon,Coos,,,13,,,KG,641,587,,2,,,20,,,,,623,,617,,596,,621,,,613,,611,,611,,,,,,,,,,0
2014,Oregon,Crook,,,6,,,KG,186,175,,0,,,5,,,,,180,,177,,177,,180,,,179,,175,,175,,,,,,,,,,0
2014,Oregon,Curry,,,4,,,KG,164,149,,1,,,10,,,,,155,,155,,152,,156,,,151,,152,,153,,,,,,,,,,0
2014,Oregon,Deschutes,,,50,,,KG,1907,1655,,2,,,159,,,,,1787,,1771,,1719,,1810,,,1774,,1764,,1763,,,,,,,,,,0
2014,Oregon,Douglas,,,32,,,KG,1122,997,,1,,,64,,,,,1073,,1064,,1039,,1076,,,1045,,1047,,1039,,,,,,,,,,2
2014,Oregon,Grant,,,6,,,KG,66,61,,0,,,3,,,,,62,,63,,62,,63,,,62,,61,,61,,,,,,,,,,0
2014,Oregon,Harney,,,4,,,KG,76,71,,0,,,2,,,,,74,,73,,74,,74,,,74,,74,,72,,,,,,,,,,0
2014,Oregon,Hood,,,9,,,KG,310,282,,0,,,11,,,,,297,,293,,286,,298,,,295,,292,,291,,,,,,,,,,2
2014,Oregon,Jackson,,,52,,,KG,2359,2082,,12,,,167,,,,,2214,,2201,,2143,,2226,,,2189,,2187,,2181,,,,,,,,,,1
2014,Oregon,Jefferson,,,5,,,KG,307,299,,0,,,3,,,,,305,,305,,301,,305,,,304,,303,,302,,,,,,,,,,0
2014,Oregon,Josephine,,,25,,,KG,821,723,,1,,,64,,,,,768,,762,,742,,770,,,754,,754,,749,,,,,,,,,,1
2014,Oregon,Klamath,,,23,,,KG,802,765,,0,,,16,,,,,786,,784,,769,,787,,,785,,781,,778,,,,,,,,,,1
2014,Oregon,Lake,,,5,,,KG,82,75,,0,,,3,,,,,81,,81,,77,,81,,,78,,79,,78,,,,,,,,,,0
2014,Oregon,Lane,,,91,,,KG,3417,3079,,2,,,204,,,,,3240,,3199,,3138,,3253,,,3200,,3192,,3207,,,,,,,,,,2
2014,Oregon,Lincoln,,,13,,,KG,425,395,,0,,,9,,,,,417,,411,,404,,417,,,409,,405,,403,,,,,,,,,,0
2014,Oregon,Linn,,,37,,,KG,1353,1244,,0,,,54,,,,,1309,,1311,,1274,,1312,,,1293,,1295,,1284,,,,,,,,,,1
2014,Oregon,Malheur,,,16,,,KG,460,424,,1,,,10,,,,,448,,448,,442,,450,,,435,,436,,430,,,,,,,,,,4
2014,Oregon,Marion,,,100,,,KG,4612,4236,,5,,,199,,,,,4427,,4425,,4327,,4431,,,4384,,4389,,4362,,,,,,,,,,1
2014,Oregon,Morrow,,,4,,,KG,192,179,,0,,,2,,,,,188,,187,,181,,189,,,189,,186,,186,,,,,,,,,,2
2014,Oregon,Multnomah,,,197,,,KG,8894,7601,,6,,,731,,,,,8331,,8056,,7959,,8448,,,8196,,8164,,8166,,,,,,,,,,30
2014,Oregon,North Central,,,12,,,KG,353,342,,1,,,7,,,,,347,,348,,343,,349,,,348,,347,,345,,,,,,,,,,0
2014,Oregon,Polk,,,19,,,KG,746,697,,1,,,26,,,,,723,,718,,714,,721,,,715,,713,,708,,,,,,,,,,0
2014,Oregon,Tillamook,,,11,,,KG,300,264,,1,,,16,,,,,285,,281,,272,,285,,,282,,279,,280,,,,,,,,,,0
2014,Oregon,Umatilla,,,27,,,KG,1090,1045,,0,,,18,,,,,1073,,1068,,1058,,1072,,,1068,,1061,,1055,,,,,,,,,,3
2014,Oregon,Union,,,11,,,KG,331,310,,0,,,13,,,,,323,,321,,319,,325,,,317,,317,,314,,,,,,,,,,0
2014,Oregon,Wallowa,,,4,,,KG,73,67,,0,,,6,,,,,71,,71,,69,,70,,,69,,71,,70,,,,,,,,,,0
2014,Oregon,Washington,,,168,,,KG,7322,6757,,17,,,337,,,,,7072,,6950,,6958,,7111,,,7025,,7046,,7049,,,,,,,,,,4
2014,Oregon,Wheeler,,,3,,,KG,17,17,,0,,,0,,,,,17,,17,,17,,17,,,17,,17,,17,,,,,,,,,,0
2014,Oregon,Yamhill,,,30,,,KG,1237,1135,,4,,,58,,,,,1188,,1181,,1166,,1197,,,1178,,1180,,1183,,,,,,,,,,0
