Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2017,Oregon,Baker,,,,,,K12,3456.0,2917.0,,7.0,,,453.0,,,3023.0,386.0,3138.0,298.0,3142.0,292.0,2315.0,293.0,3138.0,291.0,291.0,3077.0,346.0,3023.0,336.0,3023.0,386.0,,,,,,,,,1.0
2017,Oregon,Benton,,,,,,K12,11347.0,10636.0,,15.0,,,627.0,,,10861.0,451.0,10956.0,385.0,10872.0,454.0,8466.0,402.0,10975.0,358.0,358.0,10890.0,440.0,10861.0,470.0,10861.0,451.0,,,,,,,,,6.0
2017,Oregon,Clackamas,,,,,,K12,61791.0,57373.0,,79.0,,,3820.0,,,58398.0,3093.0,59096.0,2585.0,58827.0,2819.0,44557.0,2661.0,59207.0,2444.0,2451.0,58782.0,2920.0,58398.0,2879.0,58398.0,3093.0,,,,,,,,,21.0
2017,Oregon,Clatsop,,,,,,K12,5129.0,4783.0,,5.0,,,242.0,,,4843.0,210.0,4940.0,164.0,4936.0,165.0,3830.0,159.0,4957.0,151.0,151.0,4915.0,188.0,4843.0,181.0,4843.0,210.0,,,,,,,,,14.0
2017,Oregon,Columbia,,,,,,K12,7601.0,7181.0,,11.0,,,344.0,,,7298.0,267.0,7366.0,218.0,7351.0,234.0,5464.0,226.0,7402.0,185.0,185.0,7326.0,255.0,7298.0,248.0,7298.0,267.0,,,,,,,,,0.0
2017,Oregon,Coos,,,,,,K12,9954.0,9238.0,,15.0,,,552.0,,,9387.0,468.0,9567.0,339.0,9579.0,317.0,7153.0,341.0,9609.0,311.0,308.0,9501.0,391.0,9387.0,379.0,9387.0,468.0,,,,,,,,,11.0
2017,Oregon,Crook,,,,,,K12,3001.0,2858.0,,2.0,,,113.0,,,2890.0,90.0,2914.0,84.0,2920.0,78.0,2256.0,82.0,2919.0,79.0,78.0,2897.0,95.0,2890.0,95.0,2890.0,90.0,,,,,,,,,0.0
2017,Oregon,Curry,,,,,,K12,2346.0,2159.0,,7.0,,,164.0,,,2168.0,155.0,2236.0,104.0,2227.0,110.0,1640.0,115.0,2207.0,128.0,128.0,2204.0,132.0,2168.0,132.0,2168.0,155.0,,,,,,,,,2.0
2017,Oregon,Deschutes,,,,,,K12,27384.0,25112.0,,36.0,,,2048.0,,,25718.0,1602.0,26087.0,1274.0,25964.0,1393.0,19692.0,1443.0,26215.0,1160.0,1162.0,25863.0,1504.0,25718.0,1476.0,25718.0,1602.0,,,,,,,,,6.0
2017,Oregon,Douglas,,,,,,K12,14550.0,13617.0,,11.0,,,753.0,,,13795.0,653.0,14043.0,479.0,14072.0,446.0,10650.0,476.0,14078.0,446.0,450.0,13931.0,564.0,13795.0,542.0,13795.0,653.0,,,,,,,,,10.0
