ï»¿Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2012,Pennsylvania,Adams,,,,,,KG,1179,,,8,,,,0,11,0,,1049,,1131,,,,1060,,,,,1132,,1100,,,,0,,,,,,
2012,Pennsylvania,Adams,,,,,,MS,1224,,,5,,,,0,16,1029,,1149,,1214,,,,1214,,,,,1216,,1214,,,,986,,,,,,
2012,Pennsylvania,Allegheny,,,,,,KG,13578,,,74,,,,0,261,0,,12302,,12936,,,,12364,,,,,13046,,12568,,,,0,,,,,,
2012,Pennsylvania,Allegheny,,,,,,MS,13982,,,97,,,,0,335,12987,,12872,,13268,,,,13241,,,,,13296,,13362,,,,12983,,,,,,
2012,Pennsylvania,Armstrong,,,,,,KG,772,,,0,,,,0,20,0,,672,,750,,,,688,,,,,744,,695,,,,0,,,,,,
2012,Pennsylvania,Armstrong,,,,,,MS,827,,,3,,,,0,44,700,,747,,793,,,,789,,,,,795,,794,,,,652,,,,,,
2012,Pennsylvania,Beaver,,,,,,KG,2364,,,14,,,,0,37,0,,1901,,2136,,,,1922,,,,,2141,,2067,,,,0,,,,,,
2012,Pennsylvania,Beaver,,,,,,MS,2736,,,21,,,,0,84,1878,,2271,,2494,,,,2491,,,,,2513,,2501,,,,1854,,,,,,
2012,Pennsylvania,Bedford,,,,,,KG,528,,,0,,,,0,5,0,,438,,502,,,,447,,,,,508,,494,,,,0,,,,,,
2012,Pennsylvania,Bedford,,,,,,MS,626,,,4,,,,0,13,560,,562,,610,,,,610,,,,,610,,610,,,,544,,,,,,
2012,Pennsylvania,Berks,,,,,,KG,6124,,,26,,,,0,55,0,,4798,,5183,,,,4859,,,,,5230,,5022,,,,0,,,,,,
2012,Pennsylvania,Berks,,,,,,MS,6311,,,21,,,,0,93,5255,,5956,,6217,,,,6220,,,,,6236,,6159,,,,5187,,,,,,
2012,Pennsylvania,Blair,,,,,,KG,1487,,,2,,,,0,8,0,,974,,1354,,,,980,,,,,1406,,1397,,,,0,,,,,,
2012,Pennsylvania,Blair,,,,,,MS,1492,,,4,,,,0,20,1175,,1410,,1464,,,,1461,,,,,1465,,1457,,,,1160,,,,,,
2012,Pennsylvania,Bradford,,,,,,KG,837,,,7,,,,0,20,0,,770,,807,,,,773,,,,,815,,780,,,,0,,,,,,
2012,Pennsylvania,Bradford,,,,,,MS,808,,,2,,,,0,18,700,,745,,800,,,,797,,,,,800,,681,,,,697,,,,,,
2012,Pennsylvania,Bucks,,,,,,KG,7153,,,32,,,,0,136,0,,5924,,6752,,,,6146,,,,,6712,,6388,,,,0,,,,,,
2012,Pennsylvania,Bucks,,,,,,MS,8150,,,101,,,,0,160,6676,,7446,,7761,,,,8005,,,,,8019,,7850,,,,6633,,,,,,
2012,Pennsylvania,Butler,,,,,,KG,2003,,,14,,,,0,67,0,,1699,,1906,,,,1655,,,,,1924,,1780,,,,0,,,,,,
2012,Pennsylvania,Butler,,,,,,MS,2258,,,18,,,,0,80,2000,,2045,,2218,,,,2210,,,,,2235,,2229,,,,1975,,,,,,
2012,Pennsylvania,Cambria,,,,,,KG,1575,,,9,,,,0,18,0,,1394,,1493,,,,1399,,,,,1502,,1471,,,,0,,,,,,
2012,Pennsylvania,Cambria,,,,,,MS,1618,,,11,,,,0,16,1323,,1558,,1592,,,,1588,,,,,1593,,1593,,,,1322,,,,,,
2012,Pennsylvania,Cameron,,,,,,KG,52,,,0,,,,0,3,0,,48,,50,,,,50,,,,,51,,50,,,,0,,,,,,
2012,Pennsylvania,Cameron,,,,,,MS,64,,,0,,,,0,0,58,,60,,63,,,,64,,,,,63,,63,,,,63,,,,,,
2012,Pennsylvania,Carbon,,,,,,KG,736,,,0,,,,0,5,0,,644,,627,,,,654,,,,,712,,683,,,,0,,,,,,
2012,Pennsylvania,Carbon,,,,,,MS,784,,,9,,,,0,18,662,,731,,710,,,,774,,,,,710,,710,,,,662,,,,,,
2012,Pennsylvania,Centre,,,,,,KG,1111,,,3,,,,0,33,0,,918,,1042,,,,1004,,,,,1004,,1000,,,,0,,,,,,
2012,Pennsylvania,Centre,,,,,,MS,1166,,,15,,,,0,72,912,,1036,,1092,,,,1099,,,,,1099,,1092,,,,897,,,,,,
2012,Pennsylvania,Chester,,,,,,KG,6575,,,16,,,,0,113,0,,5537,,6262,,,,5727,,,,,6295,,5998,,,,0,,,,,,
2012,Pennsylvania,Chester,,,,,,MS,7296,,,27,,,,4,160,6217,,6690,,7127,,,,7134,,,,,7150,,7141,,,,6158,,,,,,
2012,Pennsylvania,Clarion,,,,,,KG,506,,,3,,,,0,7,0,,466,,495,,,,478,,,,,500,,489,,,,0,,,,,,
2012,Pennsylvania,Clarion,,,,,,MS,512,,,4,,,,0,13,469,,462,,504,,,,502,,,,,506,,506,,,,464,,,,,,
2012,Pennsylvania,Clearfield,,,,,,KG,1071,,,4,,,,0,16,0,,931,,1040,,,,962,,,,,1061,,1020,,,,0,,,,,,
2012,Pennsylvania,Clearfield,,,,,,MS,1153,,,7,,,,0,19,1004,,1066,,1142,,,,1137,,,,,1142,,1135,,,,1008,,,,,,
2012,Pennsylvania,Clinton,,,,,,KG,358,,,0,,,,0,4,0,,295,,352,,,,351,,,,,351,,336,,,,0,,,,,,
2012,Pennsylvania,Clinton,,,,,,MS,418,,,4,,,,0,46,285,,338,,370,,,,374,,,,,374,,373,,,,278,,,,,,
2012,Pennsylvania,Columbia,,,,,,KG,786,,,6,,,,0,6,0,,726,,769,,,,729,,,,,774,,745,,,,0,,,,,,
2012,Pennsylvania,Columbia,,,,,,MS,807,,,17,,,,0,21,711,,730,,798,,,,796,,,,,798,,798,,,,701,,,,,,
2012,Pennsylvania,Crawford,,,,,,KG,771,,,3,,,,0,8,0,,575,,729,,,,612,,,,,742,,675,,,,0,,,,,,
2012,Pennsylvania,Crawford,,,,,,MS,1011,,,1,,,,0,37,787,,894,,975,,,,970,,,,,980,,980,,,,783,,,,,,
2012,Pennsylvania,Cumberland,,,,,,KG,2561,,,14,,,,0,32,0,,2065,,2439,,,,2180,,,,,2493,,2362,,,,0,,,,,,
2012,Pennsylvania,Cumberland,,,,,,MS,2661,,,26,,,,0,54,2159,,2385,,2590,,,,2591,,,,,2604,,2596,,,,2135,,,,,,
2012,Pennsylvania,Dauphin,,,,,,KG,3463,,,19,,,,0,82,0,,2904,,3240,,,,2955,,,,,3237,,3089,,,,0,,,,,,
2012,Pennsylvania,Dauphin,,,,,,MS,3782,,,28,,,,0,67,2713,,3289,,3690,,,,3683,,,,,3699,,3439,,,,2592,,,,,,
2012,Pennsylvania,Delaware,,,,,,KG,6503,,,10,,,,0,47,0,,5904,,6305,,,,5985,,,,,6333,,6126,,,,0,,,,,,
2012,Pennsylvania,Delaware,,,,,,MS,6770,,,15,,,,0,36,5138,,6432,,6687,,,,6700,,,,,6714,,6505,,,,5081,,,,,,
2012,Pennsylvania,Elk,,,,,,KG,345,,,4,,,,0,6,0,,278,,333,,,,308,,,,,321,,317,,,,0,,,,,,
