Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2014,South Dakota,Aurora,,,,,,KG,29.0,,0.0,,,,,,,,,29.0,,29.0,,,,29.0,,,,,29.0,,29.0,,,,,,,,,,
2014,South Dakota,Beadle,,,,,,KG,319.0,,3.0,,,,,,,,,293.0,,307.0,,,,305.0,,,,,309.0,,305.0,,,,,,,,,,
2014,South Dakota,Benne,,,,,,KG,95.0,,0.0,,,,,,,,,91.0,,95.0,,,,93.0,,,,,90.0,,95.0,,,,,,,,,,
2014,South Dakota,BonHomme,,,,,,KG,65.0,,0.0,,,,,,,,,64.0,,65.0,,,,64.0,,,,,64.0,,64.0,,,,,,,,,,
2014,South Dakota,Brookings,,,,,,KG,207.0,,8.0,,,,,,,,,194.0,,199.0,,,,194.0,,,,,186.0,,189.0,,,,,,,,,,
2014,South Dakota,Brown,,,,,,KG,477.0,,7.0,,,,,,,,,458.0,,469.0,,,,469.0,,,,,470.0,,470.0,,,,,,,,,,
2014,South Dakota,Brule,,,,,,KG,93.0,,0.0,,,,,,,,,92.0,,93.0,,,,92.0,,,,,93.0,,91.0,,,,,,,,,,
2014,South Dakota,Buffalo,,,,,,KG,33.0,,0.0,,,,,,,,,32.0,,32.0,,,,32.0,,,,,32.0,,32.0,,,,,,,,,,
2014,South Dakota,Butte,,,,,,KG,152.0,,3.0,,,,,,,,,146.0,,127.0,,,,145.0,,,,,150.0,,145.0,,,,,,,,,,
2014,South Dakota,Campbell,,,,,,KG,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,
2014,South Dakota,CharlesMix,,,,,,KG,158.0,,2.0,,,,,,,,,153.0,,153.0,,,,153.0,,,,,154.0,,155.0,,,,,,,,,,
2014,South Dakota,Clark,,,,,,KG,32.0,,0.0,,,,,,,,,31.0,,31.0,,,,31.0,,,,,31.0,,31.0,,,,,,,,,,
2014,South Dakota,Clay,,,,,,KG,137.0,,2.0,,,,,,,,,132.0,,135.0,,,,134.0,,,,,135.0,,135.0,,,,,,,,,,
2014,South Dakota,Codington,,,,,,KG,413.0,,1.0,,,,,,,,,405.0,,392.0,,,,407.0,,,,,404.0,,403.0,,,,,,,,,,
2014,South Dakota,Corson,,,,,,KG,85.0,,0.0,,,,,,,,,85.0,,66.0,,,,85.0,,,,,85.0,,85.0,,,,,,,,,,
2014,South Dakota,Custer,,,,,,KG,72.0,,4.0,,,,,,,,,66.0,,62.0,,,,67.0,,,,,67.0,,67.0,,,,,,,,,,
2014,South Dakota,Davison,,,,,,KG,272.0,,3.0,,,,,,,,,264.0,,271.0,,,,268.0,,,,,268.0,,268.0,,,,,,,,,,
2014,South Dakota,Day,,,,,,KG,73.0,,1.0,,,,,,,,,72.0,,73.0,,,,72.0,,,,,71.0,,71.0,,,,,,,,,,
2014,South Dakota,Deuel,,,,,,KG,47.0,,0.0,,,,,,,,,47.0,,47.0,,,,47.0,,,,,47.0,,47.0,,,,,,,,,,
2014,South Dakota,Dewey,,,,,,KG,132.0,,0.0,,,,,,,,,130.0,,130.0,,,,130.0,,,,,130.0,,130.0,,,,,,,,,,
2014,South Dakota,Douglas,,,,,,KG,12.0,,0.0,,,,,,,,,12.0,,12.0,,,,12.0,,,,,12.0,,12.0,,,,,,,,,,
2014,South Dakota,EdmuN/As,,,,,,KG,29.0,,0.0,,,,,,,,,29.0,,29.0,,,,29.0,,,,,29.0,,29.0,,,,,,,,,,
2014,South Dakota,Fall River,,,,,,KG,45.0,,4.0,,,,,,,,,44.0,,44.0,,,,44.0,,,,,44.0,,44.0,,,,,,,,,,
2014,South Dakota,Faulk,,,,,,KG,14.0,,0.0,,,,,,,,,14.0,,14.0,,,,14.0,,,,,14.0,,14.0,,,,,,,,,,
2014,South Dakota,Grant,,,,,,KG,77.0,,2.0,,,,,,,,,72.0,,74.0,,,,74.0,,,,,74.0,,75.0,,,,,,,,,,
2014,South Dakota,Gregory,,,,,,KG,58.0,,0.0,,,,,,,,,54.0,,58.0,,,,56.0,,,,,57.0,,57.0,,,,,,,,,,
2014,South Dakota,HaN/A,,,,,,KG,29.0,,0.0,,,,,,,,,28.0,,29.0,,,,29.0,,,,,29.0,,29.0,,,,,,,,,,
2014,South Dakota,Haakon,,,,,,KG,19.0,,1.0,,,,,,,,,18.0,,16.0,,,,18.0,,,,,18.0,,18.0,,,,,,,,,,
2014,South Dakota,Hamlin,,,,,,KG,119.0,,2.0,,,,,,,,,110.0,,111.0,,,,115.0,,,,,113.0,,115.0,,,,,,,,,,
2014,South Dakota,Hanson,,,,,,KG,48.0,,0.0,,,,,,,,,47.0,,47.0,,,,48.0,,,,,48.0,,48.0,,,,,,,,,,
2014,South Dakota,Harding,,,,,,KG,11.0,,1.0,,,,,,,,,10.0,,11.0,,,,11.0,,,,,11.0,,11.0,,,,,,,,,,
2014,South Dakota,Hughes,,,,,,KG,252.0,,3.0,,,,,,,,,247.0,,251.0,,,,247.0,,,,,243.0,,250.0,,,,,,,,,,
2014,South Dakota,Hutchinson,,,,,,KG,97.0,,0.0,,,,,,,,,95.0,,94.0,,,,95.0,,,,,96.0,,96.0,,,,,,,,,,
2014,South Dakota,Hyde,,,,,,KG,14.0,,0.0,,,,,,,,,14.0,,14.0,,,,14.0,,,,,14.0,,14.0,,,,,,,,,,
2014,South Dakota,Jackson,,,,,,KG,34.0,,1.0,,,,,,,,,31.0,,33.0,,,,33.0,,,,,33.0,,33.0,,,,,,,,,,
2014,South Dakota,Jerauld,,,,,,KG,21.0,,0.0,,,,,,,,,21.0,,21.0,,,,21.0,,,,,21.0,,21.0,,,,,,,,,,
2014,South Dakota,Jones,,,,,,KG,13.0,,0.0,,,,,,,,,11.0,,13.0,,,,12.0,,,,,11.0,,13.0,,,,,,,,,,
2014,South Dakota,Kingsbury,,,,,,KG,69.0,,2.0,,,,,,,,,61.0,,68.0,,,,65.0,,,,,67.0,,68.0,,,,,,,,,,
2014,South Dakota,Lake,,,,,,KG,131.0,,4.0,,,,,,,,,127.0,,128.0,,,,128.0,,,,,128.0,,128.0,,,,,,,,,,
2014,South Dakota,Lawrence,,,,,,KG,214.0,,7.0,,,,,,,,,197.0,,190.0,,,,199.0,,,,,199.0,,200.0,,,,,,,,,,
2014,South Dakota,Lincoln,,,,,,KG,644.0,,18.0,,,,,,,,,606.0,,618.0,,,,613.0,,,,,618.0,,619.0,,,,,,,,,,
2014,South Dakota,Lyman,,,,,,KG,54.0,,0.0,,,,,,,,,53.0,,54.0,,,,54.0,,,,,53.0,,53.0,,,,,,,,,,
2014,South Dakota,Marshall,,,,,,KG,41.0,,2.0,,,,,,,,,39.0,,40.0,,,,39.0,,,,,40.0,,40.0,,,,,,,,,,
2014,South Dakota,McCook,,,,,,KG,60.0,,1.0,,,,,,,,,58.0,,60.0,,,,58.0,,,,,58.0,,59.0,,,,,,,,,,
2014,South Dakota,McPherson,,,,,,KG,26.0,,2.0,,,,,,,,,23.0,,25.0,,,,25.0,,,,,25.0,,25.0,,,,,,,,,,
2014,South Dakota,Meade,,,,,,KG,223.0,,6.0,,,,,,,,,214.0,,137.0,,,,215.0,,,,,214.0,,215.0,,,,,,,,,,
2014,South Dakota,Mellee,,,,,,KG,40.0,,0.0,,,,,,,,,40.0,,40.0,,,,40.0,,,,,40.0,,40.0,,,,,,,,,,
2014,South Dakota,Miner,,,,,,KG,31.0,,0.0,,,,,,,,,31.0,,31.0,,,,31.0,,,,,31.0,,31.0,,,,,,,,,,
2014,South Dakota,Minnehaha,,,,,,KG,2992.0,,58.0,,,,,,,,,2796.0,,2668.0,,,,2917.0,,,,,2909.0,,2916.0,,,,,,,,,,
2014,South Dakota,Moody,,,,,,KG,72.0,,1.0,,,,,,,,,70.0,,71.0,,,,72.0,,,,,72.0,,72.0,,,,,,,,,,
2014,South Dakota,Oglala Lakota,,,,,,KG,280.0,,1.0,,,,,,,,,268.0,,261.0,,,,270.0,,,,,266.0,,273.0,,,,,,,,,,
2014,South Dakota,Pennington,,,,,,KG,1617.0,,29.0,,,,,,,,,1574.0,,1374.0,,,,1586.0,,,,,1575.0,,1583.0,,,,,,,,,,
2014,South Dakota,Perkins,,,,,,KG,48.0,,0.0,,,,,,,,,44.0,,47.0,,,,45.0,,,,,45.0,,45.0,,,,,,,,,,
2014,South Dakota,Poer,,,,,,KG,16.0,,0.0,,,,,,,,,14.0,,14.0,,,,14.0,,,,,14.0,,14.0,,,,,,,,,,
2014,South Dakota,Roberts,,,,,,KG,151.0,,1.0,,,,,,,,,144.0,,148.0,,,,148.0,,,,,147.0,,146.0,,,,,,,,,,
2014,South Dakota,Sanborn,,,,,,KG,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,
2014,South Dakota,Spink,,,,,,KG,75.0,,0.0,,,,,,,,,75.0,,75.0,,,,75.0,,,,,75.0,,75.0,,,,,,,,,,
2014,South Dakota,Stanley,,,,,,KG,19.0,,0.0,,,,,,,,,18.0,,19.0,,,,19.0,,,,,19.0,,19.0,,,,,,,,,,
2014,South Dakota,Sully,,,,,,KG,10.0,,2.0,,,,,,,,,8.0,,9.0,,,,8.0,,,,,8.0,,8.0,,,,,,,,,,
2014,South Dakota,Todd,,,,,,KG,271.0,,0.0,,,,,,,,,266.0,,266.0,,,,267.0,,,,,265.0,,263.0,,,,,,,,,,
2014,South Dakota,Tripp,,,,,,KG,61.0,,0.0,,,,,,,,,61.0,,60.0,,,,61.0,,,,,61.0,,61.0,,,,,,,,,,
