Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2015,South Dakota,Aurora,,,,,,KG,42.0,,0.0,,,,,,,,,41.0,,41.0,,37.0,,41.0,,,,,41.0,,41.0,,,,,,,,,,
2015,South Dakota,Beadle,,,,,,KG,312.0,,4.0,,,,,,,,,290.0,,300.0,,232.0,,292.0,,,,,289.0,,285.0,,,,,,,,,,
2015,South Dakota,Bennett,,,,,,KG,82.0,,0.0,,,,,,,,,78.0,,82.0,,80.0,,79.0,,,,,81.0,,81.0,,,,,,,,,,
2015,South Dakota,BonHomme,,,,,,KG,43.0,,0.0,,,,,,,,,43.0,,43.0,,24.0,,43.0,,,,,43.0,,43.0,,,,,,,,,,
2015,South Dakota,Brookings,,,,,,KG,361.0,,3.0,,,,,,,,,338.0,,334.0,,0.0,,341.0,,,,,335.0,,335.0,,,,,,,,,,
2015,South Dakota,Brown,,,,,,KG,466.0,,6.0,,,,,,,,,454.0,,461.0,,245.0,,456.0,,,,,458.0,,457.0,,,,,,,,,,
2015,South Dakota,Brule,,,,,,KG,107.0,,0.0,,,,,,,,,107.0,,106.0,,106.0,,107.0,,,,,107.0,,107.0,,,,,,,,,,
2015,South Dakota,Buffalo,,,,,,KG,28.0,,0.0,,,,,,,,,28.0,,28.0,,2800.0,,28.0,,,,,27.0,,28.0,,,,,,,,,,
2015,South Dakota,Butte,,,,,,KG,129.0,,0.0,,,,,,,,,123.0,,115.0,,94.0,,123.0,,,,,122.0,,123.0,,,,,,,,,,
2015,South Dakota,Campbell,,,,,,KG,0.0,,0.0,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,0.0,,,,,,,,,,
2015,South Dakota,Charles Mix,,,,,,KG,160.0,,7.0,,,,,,,,,153.0,,158.0,,129.0,,153.0,,,,,154.0,,154.0,,,,,,,,,,
