Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2017,Tennessee,Anderson,,,,,,KG,21,19,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Anderson ,,,,,,KG,834,793,,2,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,3
2017,Tennessee,Bedford,,,,,,KG,10,10,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Bedford ,,,,,,KG,614,578,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,Tennessee,Benton ,,,,,,KG,145,142,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Bledsoe ,,,,,,KG,114,114,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Blount,,,,,,KG,21,14,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Blount ,,,,,,KG,1378,1312,,5,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,5
2017,Tennessee,Bradley,,,,,,KG,29,23,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,5
2017,Tennessee,Bradley ,,,,,,KG,1117,1060,,0,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,5
2017,Tennessee,Campbell ,,,,,,KG,411,406,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,3
2017,Tennessee,Cannon ,,,,,,KG,156,154,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Carroll ,,,,,,KG,340,154,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,Tennessee,Carter ,,,,,,KG,528,514,,0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Cheatham,,,,,,KG,422,414,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Chester ,,,,,,KG,219,213,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,Tennessee,Claiborne ,,,,,,KG,322,310,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1
