ï»¿Year,State,County,School District ,City ,Number Reporting,School,Public/Private,Age,Total_enrolled,Total_Complete,Total_Exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No Record
2017,Texas,Anderson,,,,,,,8442,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Andrews,,,,,,,4066,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Angelina,,,,,,,17412,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Aransas,,,,,,,2547,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Archer,,,,,,,1909,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Armstrong,,,,,,,372,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Atascosa,,,,,,,9138,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Austin,,,,,,,5900,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Bailey,,,,,,,1441,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Bandera,,,,,,,2605,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Bastrop,,,,,,,17333,,,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Baylor,,,,,,,579,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Bee,,,,,,,5338,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Bell,,,,,,,76158,,,,,,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Bexar,,,,,,,354828,,,,,,2839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Blanco,,,,,,,1690,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Borden,,,,,,,233,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Bosque,,,,,,,2947,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Bowie,,,,,,,17888,,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Brazoria,,,,,,,71766,,,,,,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Brazos,,,,,,,30774,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Brewster,,,,,,,1284,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Briscoe,,,,,,,207,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Brooks,,,,,,,1589,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Brown,,,,,,,6666,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Burleson,,,,,,,2805,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Burnet,,,,,,,7433,,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Caldwell,,,,,,,7556,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Calhoun,,,,,,,3907,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Callahan,,,,,,,2521,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Cameron,,,,,,,99090,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Camp,,,,,,,2344,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Carson,,,,,,,1252,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Cass,,,,,,,5480,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Castro,,,,,,,1714,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Chambers,,,,,,,8247,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Cherokee,,,,,,,8603,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Childress,,,,,,,1114,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Clay,,,,,,,1737,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Cochran,,,,,,,714,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Coke,,,,,,,531,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Coleman,,,,,,,1323,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Collin,,,,,,,210030,,,,,,4642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Collingsworth,,,,,,,588,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Colorado,,,,,,,3577,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Comal,,,,,,,32558,,,,,,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Comanche,,,,,,,2324,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Concho,,,,,,,479,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Cooke,,,,,,,6671,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Coryell,,,,,,,11705,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Cottle,,,,,,,214,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Crane,,,,,,,1156,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Crockett,,,,,,,758,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Crosby,,,,,,,1151,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Culberson,,,,,,,391,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Dallam,,,,,,,1952,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Dallas,,,,,,,515625,,,,,,3816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Dawson,,,,,,,2542,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Deaf Smith,,,,,,,4318,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Delta,,,,,,,996,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Denton,,,,,,,131528,,,,,,2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Dewitt,,,,,,,4556,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Dickens,,,,,,,357,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Dimmit,,,,,,,2211,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Donley,,,,,,,576,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Duval,,,,,,,2640,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Eastland,,,,,,,2842,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Ector,,,,,,,33948,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Edwards,,,,,,,588,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,El Paso,,,,,,,177596,,,,,,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Ellis,,,,,,,37958,,,,,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Erath,,,,,,,13181,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Falls,,,,,,,2135,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Fannin,,,,,,,5443,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Fayette,,,,,,,3829,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Fisher,,,,,,,560,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Floyd,,,,,,,1219,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Foard,,,,,,,215,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Fort Bend,,,,,,,114256,,,,,,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Franklin,,,,,,,1625,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Freestone,,,,,,,3715,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Frio,,,,,,,3269,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Gaines,,,,,,,3594,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Galveston,,,,,,,83071,,,,,,1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Garza,,,,,,,1003,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Gillespie,,,,,,,3821,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Glasscock,,,,,,,313,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Goliad,,,,,,,1341,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Gonzales,,,,,,,4247,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Gray,,,,,,,4033,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Grayson,,,,,,,23276,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Gregg,,,,,,,24206,,,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Grimes,,,,,,,4572,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
