Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2017,Vermont,Addison,,,,,,K12,4372,4170.0,,0.0,,,0.0,,0.0,4228.0,,4233.0,,4231.0,,,,4255.0,,,,,4239.0,,4228.0,,,,0.0,,,,,,
2017,Vermont,Addison,,,,,,KG,357,329.0,,0.0,,,12.0,,12.0,0.0,,335.0,,338.0,,,,341.0,,,,,337.0,,339.0,,,,0.0,,,,,,
2017,Vermont,Bennington,,,,,,K12,5416,5015.0,,0.0,,,0.0,,0.0,5160.0,,5184.0,,5227.0,,,,5245.0,,,,,5224.0,,5160.0,,,,746.0,,,,,,
2017,Vermont,Bennington,,,,,,KG,344,306.0,,1.0,,,10.0,,10.0,0.0,,321.0,,326.0,,,,326.0,,,,,325.0,,317.0,,,,0.0,,,,,,
2017,Vermont,Caledonia,,,,,,K12,4758,4576.0,,0.0,,,0.0,,0.0,4641.0,,4643.0,,4652.0,,,,4663.0,,,,,4666.0,,4641.0,,,,1602.0,,,,,,
2017,Vermont,Caledonia,,,,,,KG,278,260.0,,0.0,,,7.0,,7.0,0.0,,261.0,,268.0,,,,264.0,,,,,265.0,,265.0,,,,0.0,,,,,,
2017,Vermont,Chittenden,,,,,,K12,21785,20711.0,,0.0,,,0.0,,0.0,21162.0,,21140.0,,21122.0,,,,21260.0,,,,,21174.0,,21162.0,,,,61.0,,,,,,
2017,Vermont,Chittenden,,,,,,KG,1573,1454.0,,3.0,,,58.0,,58.0,0.0,,1489.0,,1506.0,,,,1502.0,,,,,1492.0,,1498.0,,,,0.0,,,,,,
2017,Vermont,Essex,,,,,,K12,516,480.0,,0.0,,,0.0,,0.0,490.0,,494.0,,496.0,,,,497.0,,,,,494.0,,490.0,,,,0.0,,,,,,
2017,Vermont,Essex,,,,,,KG,51,45.0,,0.0,,,2.0,,2.0,0.0,,47.0,,48.0,,,,48.0,,,,,46.0,,47.0,,,,0.0,,,,,,
2017,Vermont,Franklin,,,,,,K12,7423,7167.0,,0.0,,,0.0,,0.0,7299.0,,7255.0,,7328.0,,,,7332.0,,,,,7308.0,,7299.0,,,,0.0,,,,,,
2017,Vermont,Franklin,,,,,,KG,600,565.0,,1.0,,,11.0,,11.0,0.0,,572.0,,589.0,,,,582.0,,,,,578.0,,578.0,,,,0.0,,,,,,
