Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2013,Washington,ADAMS,,,,,,K12,468.0,415.0,,1.0,,,7,7.0,0,,43.0,,45.0,,12.0,,,,46.0,46.0,,46.0,,39.0,,,,,,,,,,,
2013,Washington,ASOTIN,,,,,,K12,58.0,53.0,,1.0,,,0,0.0,0,,1.0,,5.0,,0.0,,,,3.0,3.0,,3.0,,1.0,,,,,,,,,,,
2013,Washington,BENTON,,,,,,K12,2789.0,2524.0,,20.0,,,76,70.0,6,,155.0,,157.0,,106.0,,,,161.0,161.0,,161.0,,157.0,,,,,,,,,,,
2013,Washington,CHELAN,,,,,,K12,999.0,935.0,,2.0,,,24,23.0,1,,43.0,,43.0,,34.0,,,,42.0,42.0,,42.0,,43.0,,,,,,,,,,,
2013,Washington,CLALLAM,,,,,,K12,584.0,455.0,,8.0,,,21,21.0,0,,93.0,,103.0,,68.0,,,,88.0,88.0,,88.0,,98.0,,,,,,,,,,,
2013,Washington,CLARK,,,,,,K12,5347.0,4234.0,,55.0,,,331,288.0,43,,729.0,,795.0,,638.0,,,,721.0,721.0,,721.0,,751.0,,,,,,,,,,,
2013,Washington,COLUMBIA,,,,,,K12,3.0,3.0,,0.0,,,0,0.0,0,,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,
2013,Washington,COWLITZ,,,,,,K12,1353.0,1215.0,,15.0,,,43,39.0,4,,92.0,,108.0,,74.0,,,,98.0,98.0,,98.0,,90.0,,,,,,,,,,,
2013,Washington,DOUGLAS,,,,,,K12,581.0,534.0,,3.0,,,5,3.0,2,,39.0,,42.0,,32.0,,,,40.0,40.0,,40.0,,40.0,,,,,,,,,,,
2013,Washington,FERRY,,,,,,K12,44.0,25.0,,2.0,,,4,2.0,2,,11.0,,13.0,,6.0,,,,12.0,12.0,,12.0,,11.0,,,,,,,,,,,
2013,Washington,FRANKLIN,,,,,,K12,1658.0,1603.0,,2.0,,,17,17.0,0,,32.0,,38.0,,22.0,,,,36.0,36.0,,36.0,,32.0,,,,,,,,,,,
2013,Washington,GARFIELD,,,,,,K12,58.0,48.0,,0.0,,,2,2.0,0,,8.0,,8.0,,6.0,,,,6.0,6.0,,6.0,,10.0,,,,,,,,,,,
2013,Washington,GRANT,,,,,,K12,1516.0,1404.0,,5.0,,,22,16.0,6,,80.0,,87.0,,39.0,,,,77.0,77.0,,77.0,,86.0,,,,,,,,,,,
2013,Washington,GRAYS HARBOR,,,,,,K12,763.0,621.0,,3.0,,,21,20.0,1,,100.0,,111.0,,53.0,,,,97.0,97.0,,97.0,,104.0,,,,,,,,,,,
2013,Washington,ISLAND,,,,,,K12,778.0,578.0,,15.0,,,41,38.0,3,,150.0,,137.0,,89.0,,,,153.0,153.0,,153.0,,148.0,,,,,,,,,,,
2013,Washington,JEFFERSON,,,,,,K12,213.0,157.0,,2.0,,,23,14.0,9,,32.0,,39.0,,24.0,,,,33.0,33.0,,33.0,,27.0,,,,,,,,,,,
