Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2015,Washington,ADAMS,,,,,,K12,4870.0,4551.0,,15.0,,,90.0,86.0,4.0,,51.0,,63.0,,49.0,,,,52.0,52.0,,52.0,,44.0,,,,,,,,,,,
2015,Washington,ASOTIN,,,,,,K12,766.0,705.0,,11.0,,,31.0,30.0,1.0,,32.0,,25.0,,21.0,,,,28.0,28.0,,28.0,,26.0,,,,,,,,,,,
2015,Washington,BENTON,,,,,,K12,34629.0,32166.0,,153.0,,,856.0,789.0,67.0,,767.0,,743.0,,661.0,,,,696.0,696.0,,696.0,,706.0,,,,,,,,,,,
2015,Washington,CHELAN,,,,,,K12,13606.0,12896.0,,70.0,,,408.0,390.0,18.0,,310.0,,311.0,,332.0,,,,306.0,306.0,,306.0,,308.0,,,,,,,,,,,
2015,Washington,CLALLAM,,,,,,K12,10811.0,7454.0,,115.0,,,537.0,472.0,65.0,,408.0,,354.0,,366.0,,,,352.0,352.0,,352.0,,352.0,,,,,,,,,,,
2015,Washington,CLARK,,,,,,K12,79871.0,62912.0,,575.0,,,4889.0,4256.0,633.0,,3998.0,,3373.0,,3570.0,,,,3918.0,3918.0,,3918.0,,3710.0,,,,,,,,,,,
2015,Washington,COLUMBIA,,,,,,K12,430.0,350.0,,5.0,,,12.0,11.0,1.0,,14.0,,11.0,,13.0,,,,13.0,13.0,,13.0,,12.0,,,,,,,,,,,
2015,Washington,COWLITZ,,,,,,K12,16724.0,14956.0,,102.0,,,534.0,456.0,78.0,,465.0,,371.0,,350.0,,,,429.0,429.0,,429.0,,406.0,,,,,,,,,,,
2015,Washington,DOUGLAS,,,,,,K12,7115.0,6755.0,,32.0,,,75.0,65.0,10.0,,66.0,,55.0,,72.0,,,,72.0,72.0,,72.0,,65.0,,,,,,,,,,,
2015,Washington,FERRY,,,,,,K12,637.0,526.0,,12.0,,,59.0,46.0,13.0,,40.0,,41.0,,34.0,,,,34.0,34.0,,34.0,,34.0,,,,,,,,,,,
2015,Washington,FRANKLIN,,,,,,K12,20142.0,18604.0,,51.0,,,220.0,212.0,8.0,,181.0,,198.0,,143.0,,,,189.0,189.0,,189.0,,160.0,,,,,,,,,,,
2015,Washington,GARFIELD,,,,,,K12,323.0,303.0,,2.0,,,11.0,11.0,0.0,,6.0,,7.0,,7.0,,,,8.0,8.0,,8.0,,8.0,,,,,,,,,,,
2015,Washington,GRANT,,,,,,K12,20112.0,18775.0,,70.0,,,447.0,362.0,85.0,,383.0,,294.0,,319.0,,,,344.0,344.0,,344.0,,344.0,,,,,,,,,,,
2015,Washington,GRAYS HARBOR,,,,,,K12,10043.0,8588.0,,49.0,,,320.0,289.0,31.0,,258.0,,200.0,,201.0,,,,216.0,216.0,,216.0,,206.0,,,,,,,,,,,
2015,Washington,ISLAND,,,,,,K12,8671.0,7801.0,,95.0,,,514.0,490.0,24.0,,371.0,,357.0,,367.0,,,,354.0,354.0,,354.0,,352.0,,,,,,,,,,,
2015,Washington,JEFFERSON,,,,,,K12,2668.0,1769.0,,36.0,,,325.0,288.0,37.0,,240.0,,210.0,,280.0,,,,262.0,262.0,,262.0,,244.0,,,,,,,,,,,
2015,Washington,KING,,,,,,K12,316283.0,282323.0,,4956.0,,,12141.0,11351.0,790.0,,8048.0,,10524.0,,9341.0,,,,8390.0,8390.0,,8390.0,,8096.0,,,,,,,,,,,
2015,Washington,KITSAP,,,,,,K12,36967.0,34301.0,,286.0,,,1515.0,1397.0,118.0,,1165.0,,1011.0,,1135.0,,,,1084.0,1084.0,,1084.0,,1017.0,,,,,,,,,,,
2015,Washington,KITTITAS,,,,,,K12,5414.0,4750.0,,43.0,,,251.0,231.0,20.0,,189.0,,177.0,,196.0,,,,192.0,192.0,,192.0,,193.0,,,,,,,,,,,
2015,Washington,KLICKITAT,,,,,,K12,2419.0,2165.0,,35.0,,,137.0,113.0,24.0,,85.0,,94.0,,99.0,,,,87.0,87.0,,87.0,,89.0,,,,,,,,,,,
2015,Washington,LEWIS,,,,,,K12,12090.0,11003.0,,77.0,,,339.0,295.0,44.0,,276.0,,216.0,,236.0,,,,259.0,259.0,,259.0,,252.0,,,,,,,,,,,
2015,Washington,LINCOLN,,,,,,K12,2070.0,1726.0,,14.0,,,144.0,115.0,29.0,,103.0,,119.0,,91.0,,,,106.0,106.0,,106.0,,97.0,,,,,,,,,,,
2015,Washington,MASON,,,,,,K12,7939.0,7040.0,,60.0,,,264.0,236.0,28.0,,234.0,,175.0,,178.0,,,,193.0,193.0,,193.0,,199.0,,,,,,,,,,,
2015,Washington,OKANOGAN,,,,,,K12,6292.0,5555.0,,23.0,,,383.0,337.0,46.0,,190.0,,218.0,,251.0,,,,228.0,228.0,,228.0,,205.0,,,,,,,,,,,
2015,Washington,PACIFIC,,,,,,K12,2953.0,2791.0,,12.0,,,102.0,91.0,11.0,,84.0,,60.0,,63.0,,,,72.0,72.0,,72.0,,76.0,,,,,,,,,,,
2015,Washington,PEND OREILLE,,,,,,K12,1548.0,1006.0,,59.0,,,190.0,175.0,15.0,,100.0,,188.0,,101.0,,,,114.0,114.0,,114.0,,99.0,,,,,,,,,,,
2015,Washington,PIERCE,,,,,,K12,137078.0,126631.0,,1065.0,,,4701.0,4254.0,447.0,,3391.0,,3326.0,,3209.0,,,,3259.0,3259.0,,3259.0,,3204.0,,,,,,,,,,,
2015,Washington,SAN JUAN,,,,,,K12,1939.0,1104.0,,40.0,,,201.0,194.0,7.0,,133.0,,125.0,,181.0,,,,132.0,132.0,,132.0,,164.0,,,,,,,,,,,
