Year,State,County,School_districtåÊ,CityåÊ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2016,Washington,ADAMS,,,,,,K12,4907.0,4531.0,,32.0,,,88.0,84.0,4.0,,58.0,,91.0,,56.0,,,,63.0,63.0,,63.0,,53.0,,,,,,,,,,,
2016,Washington,ASOTIN,,,,,,K12,780.0,725.0,,16.0,,,31.0,30.0,1.0,,35.0,,38.0,,24.0,,,,29.0,29.0,,29.0,,28.0,,,,,,,,,,,
2016,Washington,BENTON,,,,,,K12,33867.0,29711.0,,170.0,,,819.0,760.0,59.0,,657.0,,1358.0,,582.0,,,,627.0,627.0,,627.0,,612.0,,,,,,,,,,,
2016,Washington,CHELAN,,,,,,K12,13654.0,12731.0,,61.0,,,469.0,434.0,35.0,,336.0,,402.0,,331.0,,,,336.0,336.0,,336.0,,329.0,,,,,,,,,,,
2016,Washington,CLALLAM,,,,,,K12,10261.0,7403.0,,110.0,,,557.0,478.0,79.0,,398.0,,509.0,,375.0,,,,347.0,347.0,,347.0,,367.0,,,,,,,,,,,
2016,Washington,CLARK,,,,,,K12,81818.0,62790.0,,699.0,,,5212.0,4528.0,684.0,,4163.0,,4603.0,,3797.0,,,,4104.0,4104.0,,4104.0,,3931.0,,,,,,,,,,,
2016,Washington,COLUMBIA,,,,,,K12,429.0,360.0,,4.0,,,11.0,10.0,1.0,,11.0,,12.0,,12.0,,,,12.0,12.0,,12.0,,12.0,,,,,,,,,,,
2016,Washington,COWLITZ,,,,,,K12,17283.0,15951.0,,134.0,,,568.0,488.0,80.0,,447.0,,512.0,,355.0,,,,452.0,452.0,,452.0,,419.0,,,,,,,,,,,
2016,Washington,DOUGLAS,,,,,,K12,7402.0,6953.0,,29.0,,,119.0,109.0,10.0,,91.0,,90.0,,69.0,,,,72.0,72.0,,72.0,,70.0,,,,,,,,,,,
2016,Washington,FERRY,,,,,,K12,1463.0,1147.0,,20.0,,,84.0,63.0,21.0,,57.0,,91.0,,51.0,,,,55.0,55.0,,55.0,,56.0,,,,,,,,,,,
2016,Washington,FRANKLIN,,,,,,K12,19752.0,18953.0,,50.0,,,279.0,257.0,22.0,,218.0,,265.0,,195.0,,,,228.0,228.0,,228.0,,212.0,,,,,,,,,,,
2016,Washington,GARFIELD,,,,,,K12,299.0,266.0,,10.0,,,8.0,8.0,0.0,,5.0,,6.0,,6.0,,,,3.0,3.0,,3.0,,8.0,,,,,,,,,,,
2016,Washington,GRANT,,,,,,K12,20496.0,18844.0,,95.0,,,499.0,405.0,94.0,,454.0,,430.0,,374.0,,,,404.0,404.0,,404.0,,407.0,,,,,,,,,,,
2016,Washington,GRAYS HARBOR,,,,,,K12,10332.0,8667.0,,59.0,,,325.0,296.0,29.0,,266.0,,289.0,,200.0,,,,224.0,224.0,,224.0,,222.0,,,,,,,,,,,
2016,Washington,ISLAND,,,,,,K12,7375.0,6689.0,,93.0,,,371.0,354.0,17.0,,241.0,,306.0,,244.0,,,,225.0,225.0,,225.0,,240.0,,,,,,,,,,,
2016,Washington,JEFFERSON,,,,,,K12,2635.0,1762.0,,41.0,,,318.0,287.0,31.0,,264.0,,313.0,,292.0,,,,260.0,260.0,,260.0,,263.0,,,,,,,,,,,
2016,Washington,KING,,,,,,K12,320700.0,280645.0,,5386.0,,,12521.0,11747.0,774.0,,8305.0,,12997.0,,9806.0,,,,8658.0,8658.0,,8658.0,,8526.0,,,,,,,,,,,
2016,Washington,KITSAP,,,,,,K12,37148.0,34149.0,,343.0,,,1569.0,1450.0,119.0,,1139.0,,1380.0,,1137.0,,,,1024.0,1024.0,,1024.0,,1021.0,,,,,,,,,,,
2016,Washington,KITTITAS,,,,,,K12,5512.0,4623.0,,39.0,,,248.0,229.0,19.0,,177.0,,189.0,,191.0,,,,177.0,177.0,,177.0,,181.0,,,,,,,,,,,
2016,Washington,KLICKITAT,,,,,,K12,2750.0,2255.0,,49.0,,,200.0,146.0,54.0,,124.0,,178.0,,132.0,,,,127.0,127.0,,127.0,,129.0,,,,,,,,,,,
2016,Washington,LEWIS,,,,,,K12,12073.0,10825.0,,84.0,,,413.0,364.0,49.0,,332.0,,365.0,,307.0,,,,322.0,322.0,,322.0,,311.0,,,,,,,,,,,
